,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2016-06-30,86.4,102.1,-8.1,94,64.3,31.2,-12.9,101.3,281.7,-251.8,0,0,-29,-280.8,0,74.2,74.2,13.8,13.8,-66.7,-20.5,0.8,1.7,-66.7
2016-03-31,99.10000,102.50000,25.50000,128.00000,9.20000,-31.20000,-4.20000,1.20000,228.30000,-239.20000,,,19.20000,-220.00000,,53.60000,53.60000,,,-66.50000,3.60000,-9.30000,-1.00000,-66.50000
2015-12-31,36.6,113.8,24.3,138.1,29.1,0,-27.9,1.2,175.9,-353.6,0,0,47.4,-306.2,-1,50.7,49.7,5.8,5.8,-62.2,3.6,-3.1,-133.4,-62.2
2015-09-30,182.5,99.3,78.1,177.4,-121,0,-16.9,-181.9,178,-104.6,0,0,-38.1,-142.7,220.1,-123,97.1,5.9,5.9,-62.2,8.3,49.1,84.4,-62.2
2015-06-30,70.1,100.4,64.9,165.3,53.1,32.8,-113.2,-32.8,202.6,-190.4,0,0,-29,-219.4,-151.4,190.6,39.2,17.4,17.4,-62.2,-20.4,-26,-42.8,-62.2
2015-03-31,99.20000,100.20000,29.60000,129.80000,58.60000,-32.80000,10.40000,85.70000,314.70000,-245.80000,,,-5.10000,-250.90000,,-99.80000,-99.80000,122.10000,122.10000,-60.70000,15.30000,-23.10000,40.70000,-60.70000
2014-12-31,62.5,153.9,-8.8,145.1,-54.4,0,-25.5,-79.9,127.7,-251.5,0,0,-25.8,-277.3,499.2,-212.5,286.7,0,0,-56.5,-34.7,195.5,45.9,-56.5
2014-09-30,155.9,97.1,76.8,173.9,67.5,-35.8,-45.8,-14.1,315.7,-222.9,0,0,-48.5,-271.4,-44,45.9,1.9,0,0,-56.4,5,-49.5,-5.2,-56.4
2014-06-30,64.3,95.8,58.7,154.5,38.2,10.4,-84.3,-64.2,154.6,-191.5,0,0,-0.7,-192.2,-0.8,86.6,85.8,0,0,-56.4,9.9,39.3,1.7,-56.4
2014-03-31,110.60000,95.50000,41.80000,137.30000,-9.60000,25.40000,1.40000,45.70000,293.60000,-173.00000,,,-3.80000,-176.80000,,-58.10000,-58.10000,,,-56.50000,2.50000,-112.10000,4.70000,-56.50000
2013-12-31,68.1,104.6,30.5,135.1001,-147.4,0,32.1,-115.3,87.9,-207.2,0,0,-34.3,-241.5,249.3,-22.9,226.4,0,0,-43.2,-37.5,145.7,-7.9,-52.1
2013-09-30,160.2,101.9,77,178.9,8.6,-53.3,-74.6,-119.3,219.8,-182.9,0,0,-8.1,-191,-0.8,24.2,23.4,0,0,-54.6,8.6,-22.6,6.2,-52
2013-06-30,67.8,102.3,53.3,155.6,31.5,51.8,-53.3,1.3,224.7,-174.2,0,0,-28.3,-202.5,0,-0.3,-0.3,0,0,-54.5,-9.3,-64.1,-41.9,-52
2013-03-31,80.10000,102.30000,17.10000,119.40000,-42.90000,1.50000,11.80000,-0.90000,198.60000,-167.30000,,,47.60000,-119.70000,,10.90000,10.90000,,-11.00000,-56.00000,9.40000,-46.70000,32.20000,-52.20000
2012-12-31,72.3,98.7,29.5,128.2,85.4,0,-45.1,40.3,240.8,-612.8,0,0,-25,-637.8,308.6,147.1,455.7,0,0,-53.7,-24.9,377.1,-19.9,-49.7
2012-09-30,154.7,97.3,90.8,188.1,-61.1,-28.9,8.3,-81.7,261.1,-90.3,0,0,-105.6,-195.9,75,-92.4,-17.4,0,0,-53.9,16.4,-54.9,10.3,-49.9
2012-06-30,69.8,94.3,42.9,137.2,-41.9,28.9,-39.5,-82.8,124.2,-200.3,0,0,13.6,-186.7,0,130.8,130.8,0,0,-53.7,-14.7,62.4,-0.1,-49.8
2012-03-31,38.90000,97.60000,29.30000,126.90000,68.90000,,-50.00000,49.20000,215.00000,-122.10000,,,-13.00000,-135.10000,,-20.80000,-20.80000,,,-53.90000,14.30000,-60.40000,19.50000,-49.90000
2011-12-31,61,95.7,124.2,219.9,20.4,-25.9,-88.6,-190.9,90,-127.9,0,0,-17.8,-145.7,0,80.7,80.7,0,0,-50.9,-8.4,21.4,-34.3,-47
2011-09-30,125.9,95.1,-19.4,75.7,-82.5,25.9,-97,-55.7,145.9,-142.1,0,0,-23.2,-165.3,0.4,22.1,22.5,0,0,-50.9,16.4,-12,-31.4,-46.9
2011-06-30,55.3,96.7,17.8,114.5,73.2,0,-2,35.7,205.5,-108.7,0,0,0.9,-107.8,0,-32.4,-32.4,0,-40,-51.3,-23,-146.7,-49,-47.1
2011-03-31,79.70000,92.60000,40.60000,133.20000,9.60000,,4.40000,48.40000,261.30000,-229.40000,,,-3.90000,-233.30000,,-15.00000,-15.00000,,,-51.80000,5.60000,-61.20000,-33.20000,-47.10000
2010-12-31,52,91.1,37.3,128.4,-41.7,12.1,0.5,108.9,289.3,-245.7,-14.6,-14.6,0.3,-260,-0.7,47.4,46.7,0,0,-48.4,-5.3,-7,22.3,-43.7
2010-09-30,153.7,89.5,170.1,259.6,-61.6,-12.1,-49,-196.9,216.4,-202.8,14.6,14.6,-22.7,-210.9,-6.3,0,-6.3,0,0,-48.3,15,-39.6,-34.1,-43.7
2010-06-30,52.5,75.8,28.6,104.4,161.5,36.9,-21.5,133.1,290,-162.2,0,0,-1.2,-163.4,299.2,-350.3,-51.1,0,0,-48.3,3.7,-95.7,30.9,-43.6
2010-03-31,48.10000,87.70000,25.70000,113.40000,23.10000,-36.90000,-2.30000,27.70000,189.20000,-222.60000,,,-9.60000,-232.20000,-100.00000,160.30000,60.30000,,,-48.30000,-4.10000,7.90000,-35.10000,-43.60000
2009-12-31,58.3,83.1,74.2,157.3,-126,57.2,-130.7,-149,66.6,-249.4,-34.1,-34.1,17.8,-265.7,249.1,20,269.1,0,0,-46.1,-25.3,197.7,-1.4,-41.4
2009-09-30,-39.7,81.9,272,353.9,-68.2,3.2,-52.6,-163.6,150.6,-302.4,5,5,2.5,-294.9,173.9,-67.5,106.4,0,0,-46,14.4,74.8,-69.5,-41.4
2009-06-30,33.8,76.9,26.4,103.3,119.7,-22.2,-34.8,35.2,172.3,-302.2,25.5,25.5,-0.2,-276.9,-0.7,124.2,123.5,0,0,-46,-10.4,67.1,-37.5,-41.3
2009-03-31,77.30000,75.80000,39.50000,115.30000,123.00000,-38.20000,-17.00000,75.00000,267.60000,-295.60000,3.60000,3.60000,-19.40000,-311.40000,,27.20000,27.20000,,,-46.10000,-0.50000,-19.40000,-63.20000,-41.40000
