,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,198.936,140.1091,-61.806,78.303,0,-16.056,-16.056,251.164,11.047,0,-2.597,-2.597,0.927,9.377,-0.358,-105,-105.358,0,0,-145.269,-2.397,-253.024,7.517,4.183,-144.347
2022-09-30,125.703,138.552,12.067,150.619,0,57.067,57.067,343.408,-360.762,0,-1.766,-1.766,5.71,-356.818,-125.352,125,-0.352,0,0,-145.22,-9.166,-154.738,-168.148,3.875,-144.298
2022-06-30,216.56,135.911,-85.525,50.386,0,-57.067,-57.067,284.284,6.605,0,-1.543,-1.543,20.675,25.737,-0.348,-20,-20.348,0,0,-126.45,-14.145,-160.943,149.078,4.1,-125.528
2022-03-31,113.57700,135.49600,4.95500,140.45100,,,,179.62300,-76.12700,,-7.40500,-7.40500,,-83.53200,-0.34300,20.00000,19.65700,,,-126.35400,-47.36800,-154.06500,-57.97400,6.64000,-125.43200
2021-12-31,190.916,137.247,-100.321,36.9259,0,55.925,55.925,216.717,11.355,0,-2.684,-2.684,7.398,16.069,-0.336,-25,-25.336,0,0,-118.939,0.566,-143.709,89.077,3.861,-118.017
2021-09-30,87.047,136.234,-19.797,116.437,0,10.398,10.398,280.932,-140.153,0,-0.766,-0.766,3.802,-137.117,247.087,-255,-7.913,0,0,-118.715,-18.67,-145.298,-1.483,3.592,-117.793
2021-06-30,223.875,133.422,-150.464,-17.042,0,-10.398,-10.398,249.207,-22.823,0,-0.836,-0.836,3.62,-20.039,-0.327,-105,-105.327,0,0,-118.271,-5.941,-229.539,-0.371,3.843,-117.349
2021-03-31,48.86400,133.16400,18.85500,152.01900,,,,148.11100,-112.61300,,0.11400,0.11400,,-112.49900,-119.15400,213.00000,93.84600,,,-118.16400,-3.53400,-27.85200,7.76000,5.36900,-117.24200
2020-12-31,86.299,131.105,-21.021,110.084,0,-16.319,-16.319,180.064,-191.379,0,-1.757,-1.757,1.557,-191.579,-0.886,137,136.114,0,0,-115.294,-1.279,19.541,8.026,1.797,-114.372
2020-09-30,62.036,129.138,1.654,130.792,0,61.442,61.442,254.27,-93.715,0,-1.602,-1.602,0,-95.317,10.854,-55,-44.146,0,0,-115.287,-7.525,-166.958,-8.005,4.382,-114.365
