,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-12409,-2463,1016,-1447,2371,1795,-1,1262,-11979,1615,74,-1801,-296,-2097,-713,-1121,-1121,0,-1121,9901,9901,928,1303,11011,-2089,928
2022-09-30,5020,806,-854,-48,3911,1184,-1,-2120,2514,-694,0,496,456,952,243,501,-27,0,-27,-3891,-3891,-285,-512,-4715,-1700,-285
2022-06-30,6217,833,-110,723,-1655,-1556,0,202,6952,-433,38,-788,-160,-948,255,-1088,-19,0,-19,-3260,-3260,-313,-340,-3932,1932,-313
2022-03-31,1172.00000,824.00000,-52.00000,772.00000,-4627.00000,-1423.00000,2.00000,656.00000,2513.00000,-488.00000,-112.00000,2093.00000,,2093.00000,215.00000,1708.00000,1167.00000,,1167.00000,-2750.00000,-2750.00000,-330.00000,-451.00000,-2364.00000,1857.00000,-330.00000
2021-12-31,1105,833,-1079,-246,-1534,1173,-2,2781,3674,-426,0,1631,111,1742,132,1448,-1951,0,-1951,-2707,-2707,-354,-691,-5703,-581,-354
2021-09-30,1030,854,-3489,-2635,182,-326,1,565,-1148,-360,0,-1933,-1,-1934,240,-2054,-1018,0,-1018,-910,-910,-370,-464,-2762,-5824,-370
2021-06-30,8802,890,-8209,-7319,-2224,-472,-1,-75,1380,-297,51,-5417,-111,-5528,21444,15670,-2453,-1716,-4169,-954,-954,-381,-466,-5970,11074,-381
2021-03-31,64.00000,866.00000,-174.00000,692.00000,-1723.00000,-408.00000,5.00000,-251.00000,454.00000,-228.00000,-51.00000,,1.00000,1.00000,11.00000,-267.00000,172.00000,693.00000,865.00000,23.00000,23.00000,-379.00000,-493.00000,16.00000,209.00000,-379.00000
2020-12-31,574,869,-422,447,-863,585,-17,161,1328,-380,436,-348,-122,-470,-19,-433,-1366,1024,-342,5,5,-377,-343,-1057,-204,-377
2020-09-30,-609,849,-141,708,-767,750,-2,1129,1321,-619,-53,0,4,4,-79,-747,-216,0,-216,0,0,-378,-355,-949,-339,-378
2020-06-30,276,849,-969,-120,1239,812,6,429,538,-735,-383,169,41,210,-81,-989,555,0,555,2,2,-378,-329,-150,-601,-378
