,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2025,2521,-782,1739,-106,-41,0,397,-458,3306,-346,374,967,218,1185,0,1213,0,136,136,-2416,-2416,-1145,179,-3246,1368,119,-1145
2022-09-30,1608,2588,-673,1915,-674,-16,0,1094,164,3687,-247,-3040,1356,-150,1206,0,-2081,-2785,-72,-2857,-585,-585,-1154,53,-4543,-3003,115,-1154
2022-06-30,1429,2583,-178,2405,-669,-13,0,329,-1573,2261,-272,-275,110,148,258,0,-289,-2877,88,-2789,0,0,-1150,419,-3520,-1619,116,-1150
2022-03-31,1283.00000,2584.00000,307.00000,2891.00000,786.00000,1.00000,,-2003.00000,-362.00000,3812.00000,-253.00000,-40.00000,386.00000,2.00000,388.00000,,95.00000,157.00000,42.00000,199.00000,-5000.00000,-5000.00000,-1185.00000,333.00000,-5653.00000,-1737.00000,107.00000,-1185.00000
2021-12-31,2372,2579,-835,1744,-168,-128,0,233,-59,4057,-320,26,-1884,2579,695,0,401,0,-114,-114,-2751,-2751,-1099,-3,-3967,437,133,-1099
2021-09-30,1552,2727,338,3065,-260,30,0,1064,649,5266,-270,-869,977,-814,163,0,-976,-500,139,-361,-525,-525,-1090,196,-1780,2482,142,-1090
2021-06-30,1061,2712,703,3415,-693,5,0,439,-1416,3060,-210,-164,145,409,554,0,180,-1000,-123,-1123,-1236,-1236,-1099,276,-3182,76,157,-1099
2021-03-31,2029.00000,2668.00000,-438.00000,2230.00000,67.00000,106.00000,,-1138.00000,-435.00000,3824.00000,-173.00000,145.00000,-520.00000,405.00000,-115.00000,,-143.00000,-4522.00000,-62.00000,-4584.00000,-1775.00000,-1775.00000,-1108.00000,172.00000,-7295.00000,-3652.00000,151.00000,-1108.00000
2020-12-31,-10027,2690,10692,13382,-290,101,0,118,-140,3355,-283,-12143,499,115,614,0,-11812,5695,-3,5692,-1465,-1465,-1021,277,3483,-4887,171,-1021
2020-09-30,1878,2655,-824,1831,-159,481,0,1089,-1302,2267,-153,-91,29,2,31,0,-213,-1500,-242,-1742,0,0,-1016,171,-2587,-502,185,-1016
2020-06-30,-80,2558,824,3382,546,642,0,229,1150,4493,-131,-246,921,12,933,0,556,0,-48,-48,0,0,-1021,76,-993,4116,213,-1021
2020-03-31,-766.00000,2477.00000,988.00000,3465.00000,-743.00000,1448.00000,,-358.00000,1279.00000,3937.00000,-186.00000,137.00000,659.00000,,659.00000,,610.00000,,26.00000,26.00000,-81.00000,-81.00000,-1017.00000,18.00000,-1054.00000,3426.00000,210.00000,-1017.00000
2019-12-31,-1060,1236,30,1266,318,470,0,121,2001,2181,-251,-11260,1490,-2158,-668,0,-12179,-12,16,4,-7000,-7000,-668,-13,-7677,-17669,284,-668
