,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,80.775,48.102,-8.836,39.266,1.163,-5.528,-64.605,-66.161,53.88,-9.231,-43.358,0.991,0,0,0,-51.598,-205.042,235.022,29.98,2.451,2.451,-35.745,-5.175,-8.489,-6.207,-6.998,-35.745
2022-09-30,106.54900,45.61000,-11.47100,34.13900,101.50900,-2.16800,-99.87000,-3.85700,136.83100,-8.14500,-38.71500,-202.73400,,,,-249.59400,,129.97800,129.97800,3.23300,3.23300,-35.70900,-1.55600,95.94600,-16.81700,6.99800,-35.70900
2022-06-30,80.426,44.722,21.767,66.489,-125.376,4.037,153.249,56.319,203.234,-14.719,-31.563,-0.038,0,-5,-5,-51.32,0,-110.036,-110.036,3.249,3.249,-35.694,-0.443,-142.924,8.99,5.477,-35.694
2022-03-31,84.707,44.449,10.445,54.894,13.4,-0.386,-69.429,-35.555,104.046,-6.013,-37.959,0,0,0,0,-43.972,80.065,-95.091,-15.026,3.02,3.02,-35.68,-1.711,-49.397,10.677,19.303,-35.68
2021-12-31,95.669,44.28,12.515,56.795,17.064,0.136,-78.806,-61.662,90.802,-11.879,-42.746,0.024,0,0,0,-54.601,-80.065,255.027,174.962,-191.589,-191.589,-33.66,-1.045,-51.332,-15.131,-6.071,-33.66
2021-09-30,102.11400,44.17300,12.32500,56.49800,53.40400,2.85900,-81.00700,-52.06300,106.54900,-10.49400,-35.97100,0.01400,,,,-46.45100,,-35.02700,-35.02700,3.17700,3.17700,-34.03600,-0.95300,-66.83900,-6.74100,6.07100,-34.03600
2021-06-30,76.862,43.743,9.56,53.303,-98.828,1.435,161.389,65.649,195.814,-8.391,-26.532,-6.187,0,5,5,-36.11,0,-100.028,-100.028,-44.239,-44.239,-34.022,-0.539,-178.828,-19.124,5.787,-34.022
2021-03-31,71.409,44.189,9.574,53.763,5.198,-1.545,-59.664,-52.841,72.331,-5.373,-34.753,-2.27,0,-1.2,-1.2,-43.596,0,199.971,199.971,-271.597,-271.597,-34.262,-0.493,-106.381,-77.646,5.207,-34.262
2020-12-31,71.982,44.073,9.525,53.598,10.079,2.26,-54.608,-46.073,79.507,-11.18,-34.233,6.157,0,-12.1,-12.1,-51.356,0,-0.029,-0.029,-41.795,-41.795,-32.701,-1.184,-75.709,-47.558,5.127,-32.701
2020-09-30,91.21600,43.74300,6.85900,50.60200,77.43900,-2.24400,-97.63500,-27.34100,114.47700,1.63700,-32.82500,,,,,-31.18800,,-0.02800,-0.02800,-62.96600,-62.96600,-32.81500,-5.50500,-101.31400,-18.02500,4.62500,-32.81500
2020-06-30,61.345,43.833,22.334,66.167,-88.885,2.082,165.832,106.567,234.079,3.288,-36.688,0,0,-11.106,-11.106,-44.506,0.006,-55.033,-55.027,9.833,9.833,-32.935,-7.613,-85.742,103.831,5.195,-32.935
2020-03-31,73.855,43.735,12.836,56.571,-7.357,-1.867,-57.062,-68.986,61.44,-14.938,-23.847,0,-0.326,11.106,10.78,-28.005,-0.006,55,54.994,-24.942,-24.942,-32.984,6.498,3.566,37.001,4.69,-32.984
2019-12-31,72.098,42.149,5.809,47.958,29.659,-2.127,-56.975,-28.095,91.961,-17.657,-32.538,-0.091,0.316,0,0.316,-49.97,0,0,0,-34.874,-34.874,-30.731,-0.552,-66.157,-24.166,4.145,-30.731
2019-09-30,89.37000,42.08800,5.22000,47.30800,77.12300,1.86500,-82.42500,-13.62600,123.05200,-13.10100,-30.89900,-30.28500,0.01000,-1.15000,-1.14000,-75.42500,,,,-11.73300,-11.73300,-30.77100,-2.07200,-44.57600,3.05100,2.85300,-30.77100
2019-06-30,85.776,52.478,34.078,86.556,-96.995,6.057,191.901,104.831,277.163,74.642,-112.976,-10.395,0,-1.15,-1.15,-49.879,0,-35.033,-35.033,-47.1,-47.1,-39.451,10.059,-111.525,115.759,8.232,-39.451
2019-03-31,59.252,40.711,5.741,46.452,-6.028,4.431,-57.599,-64.379,41.325,-90.868,52.494,0,0,0,0,-38.374,0,35,35,2.47,2.47,-30.866,-0.313,6.291,9.242,3.505,-30.866
2018-12-31,68.089,39.886,3.849,43.735,14.855,-4.753,-79.705,-66.514,45.31,-8.924,-28.485,-19.981,0,0,0,-57.39,0,0,0,-19.304,-19.304,-57.104,-0.228,-76.636,-88.716,3.375,-57.104
2018-09-30,83.55100,38.73000,2.53100,41.26100,98.70800,-5.78200,-85.22700,21.92200,146.73400,-23.96800,-28.29500,,,,,-52.26300,,,,2.21800,2.21800,,-13.25700,-11.03900,83.43200,1.77100,0.00000
2018-06-30,67.835,39.729,16.352,56.081,-120.31,7.354,162.126,53.354,177.27,-118.876,66.013,0.092,0,0,0,-52.771,0,-105,-105,-16.815,-16.815,-28.592,-0.054,-150.461,-25.962,3.924,-28.592
2018-03-31,69.086,38.944,3.84,42.784,-2.115,-5.803,-65.41,-53.906,57.964,-5.556,-26.19,0,0,-5,-5,-36.746,0,5,5,2.185,2.185,-28.585,-0.135,-21.535,-0.317,3.225,-28.585
2017-12-31,161.243,37.038,-87.555,-50.517,41.981,3.371,-87.146,-72.54,38.186,-8.442,-26.533,-127.049,0,0,0,-162.024,0,100,100,1.568,1.568,-23.94,-0.111,77.517,-46.321,4.609,-23.94
2017-09-30,66.87000,36.27500,3.28300,39.55800,101.93300,2.00000,-90.97800,32.29400,138.72200,-3.60200,-26.42800,-10.25500,,,,-40.28500,,-50.00000,-50.00000,-28.22500,-28.22500,-23.90400,-7.03300,-109.16200,-10.72500,,-23.90400
2017-06-30,48.459,35.35,13.453,48.803,-147.516,1.576,214.668,61.193,158.455,-13.778,-27.655,3.346,0,0,0,-38.087,0,0,0,-24.416,-24.416,-24.066,-0.037,-48.519,71.849,3.767,-24.066
2017-03-31,60.044,34.976,9.988,44.964,6.753,-10.609,-68.609,-70.008,35,-10.626,-25.456,2.286,0,0,0,-33.796,0,0,0,1.632,1.632,-24.059,-0.049,-22.476,-21.272,3.132,-24.059
2016-12-31,58.814,35.324,4.472,39.796,2.172,8.725,-62.354,-68.114,30.496,10.998,-48.8,0,0,0,0,-37.802,0,50,50,-41.243,-41.243,-21.725,-0.057,-13.025,-20.331,3.033,-21.725
2016-09-30,62.24400,34.13600,9.17400,43.31000,105.49500,-7.50400,-73.49900,27.81700,133.37100,-27.57300,-4.32800,,,,,-31.90100,,-0.20000,-0.20000,-59.86700,-59.86700,-21.85700,-5.33700,-87.26100,14.20900,1.19700,-21.85700
2016-06-30,84.27,34.529,-1.504,33.025,-121.907,7.536,147.25,41.756,159.051,61.684,-98.08,34.03,0,0,0,-2.366,0,-100.016,-100.016,-18.25,-18.25,-22.081,-0.029,-140.376,16.309,2.507,-22.081
2016-03-31,53.883,32.134,21.771,53.905,9.685,1.407,-51.639,-47.697,60.091,-38.503,-1.974,0,0,0,0,-40.477,0,-0.11,-0.11,1.496,1.496,-22.065,-0.06,-20.739,-1.125,3.101,-22.065
