,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1572,418,515,933,0,4945,982,5927,8432,-513,0,-130,-130,-10131,-10774,133,-268,-135,-638,-638,-405,6754,5576,2732,93,-405
2022-09-30,1879,413,919,1332,0,1134,163,1297,4508,-443,0,-565,-565,-6515,-7523,2010,-375,1635,-2808,-601,-407,7088,7715,4905,84,-407
2022-06-30,1964,397,326,723,0,1649,-77,1572,4259,-452,-15,-17,-17,-12131,-12615,2264,-4,2260,-49,-686,-408,5519,6685,-1401,76,-408
2022-03-31,2099.00000,398.00000,-27.00000,371.00000,,1087.00000,323.00000,1410.00000,3880.00000,-447.00000,,-1545.00000,-1545.00000,-785.00000,-2777.00000,-83.00000,-59.00000,-142.00000,49.00000,-1521.00000,-345.00000,6541.00000,4533.00000,5650.00000,122.00000,-345.00000
2021-12-31,1719,419,95,514,0,2570,205,2775,5008,-471,0,6916,6916,-17767,-11322,4335,33,4368,-2961,-3711,-358,66,365,-5888,74,-358
2021-09-30,1826,442,-270,172,0,1593,581,2174,4172,-470,0,2764,2764,-3510,-1216,-2818,411,-2407,-4627,-2541,-366,-568,-5882,-2880,73,-366
2021-06-30,2280,412,-734,-322,0,1422,-195,1227,3185,-290,1,8673,8673,-11149,-2765,-4641,288,-4353,-31,-870,-361,-4293,-9877,-9484,85,-361
2021-03-31,2235.00000,422.00000,-658.00000,-236.00000,,-196.00000,477.00000,281.00000,2280.00000,-319.00000,,224.00000,224.00000,4869.00000,4774.00000,-750.00000,-271.00000,-1021.00000,31.00000,-482.00000,-363.00000,2327.00000,461.00000,7315.00000,98.00000,-363.00000
2020-12-31,1438,428,-372,56,0,2359,-353,2006,3500,-436,-597,704,704,-5228,-5557,-1825,110,-1715,7,7,-362,1384,-686,-2662,74,-362
2020-09-30,1073,404,475,879,0,868,-640,228,2180,-353,0,-2515,-2515,-2089,-4957,-4000,122,-3878,0,0,-363,639,-3602,-6476,66,-363
2020-06-30,257,374,1623,1997,0,977,-1101,-124,2130,-354,0,-14902,-14902,15475,219,-3850,-1979,-5829,-1008,15,-366,6818,638,3495,66,-366
2020-03-31,367.00000,337.00000,2997.00000,3334.00000,,-6229.00000,309.00000,-5920.00000,-2219.00000,-335.00000,,3379.00000,3379.00000,18883.00000,21927.00000,-5849.00000,-2880.00000,-8729.00000,16.00000,-1007.00000,-383.00000,4701.00000,-5418.00000,14162.00000,43.00000,-383.00000
2019-12-31,1693,305,897,1202,0,626,-325,301,3196,-431,-82,30,30,-4972,-5455,-575,3601,3026,-4676,-1213,-374,-16,1423,-908,66,-374
2019-09-30,1755,300,1074,1374,0,-4599,429,-4170,-1041,-374,-179,39,39,-239,-753,630,37,667,2023,-1440,-346,721,-398,-1978,61,-346
2019-06-30,1761,286,1280,1566,0,-282,-115,-397,2930,-492,-71,-2051,-2051,-5176,-7790,-1011,777,-234,-613,-613,-347,-267,-1461,-6299,71,-347
2019-03-31,1550.00000,297.00000,1031.00000,1328.00000,,6026.00000,-357.00000,5669.00000,8547.00000,-348.00000,-20.00000,-1833.00000,-1833.00000,-508.00000,-2709.00000,-188.00000,-1099.00000,-1287.00000,-1333.00000,-1333.00000,-355.00000,2892.00000,-83.00000,5823.00000,85.00000,-355.00000
2018-12-31,2010,286,1809,2095,88,-6498,1053,-5357,-1252,-439,-8,12728,12728,-17725,-5444,2856,821,3677,-749,-749,-354,666,3240,-3454,53,-354
2018-09-30,1654,322,712,1034,76,2315,7,2398,5086,-335,-31,-12833,-12833,7409,-5790,-546,338,-208,-760,-760,-325,1919,626,0,76,-325
2018-06-30,1623,337,964,1301,-286,249,146,109,3033,-299,-6,-1497,-1497,-5886,-7688,3538,182,3720,34,34,-321,751,4184,-244,70,-321
2018-03-31,1634.00000,348.00000,605.00000,953.00000,122.00000,-431.00000,-215.00000,-524.00000,2063.00000,-237.00000,-475.00000,-329.00000,-329.00000,348.00000,-693.00000,-3219.00000,-1489.00000,-4708.00000,-123.00000,-123.00000,-324.00000,2206.00000,-2949.00000,-1757.00000,84.00000,-324.00000
2017-12-31,-1206,368,1733,2101,-1026,4063,1027,4064,4959,-250,-1,24,24,-9318,-9545,7156,932,8088,-1266,-1266,-326,3166,9662,5008,70,-326
2017-09-30,1359,338,768,1106,208,2095,-471,1832,4297,-274,-36,125,125,-4366,-4551,-3249,-1108,-4357,-1282,-1282,-305,3553,-2391,-2507,60,-305
2017-06-30,1344,319,643,962,32,1163,-377,818,3124,-261,-146,1029,1029,-5479,-4857,156,-183,-27,-828,-828,-307,3931,2769,1085,63,-307
2017-03-31,1251.00000,296.00000,680.00000,976.00000,786.00000,-2072.00000,219.00000,-1067.00000,1160.00000,-277.00000,-28.00000,-1294.00000,-1294.00000,2310.00000,711.00000,4619.00000,-1941.00000,2678.00000,-895.00000,-895.00000,-313.00000,735.00000,2205.00000,4183.00000,89.00000,-313.00000
2016-12-31,792,285,700,985,-817,2143,237,1563,3340,-400,-296,460,460,-8171,-8407,2399,2928,5327,-857,-857,-315,-436,3719,-1503,64,-315
2016-09-30,1142,274,337,611,192,-266,72,-2,1751,-326,-29,84,84,-1737,-2008,-5643,480,-5163,-625,-625,-291,-905,-6984,-7247,57,-291
2016-06-30,2015,275,-544,-269,-134,-401,-540,-1075,671,-347,-7,-105,-105,8957,8498,3221,-303,2918,-1662,-1662,-299,-1367,-410,8722,63,-299
2016-03-31,1426.00000,261.00000,722.00000,983.00000,427.00000,-296.00000,-11.00000,120.00000,2529.00000,-302.00000,-155.00000,-74.00000,-74.00000,4171.00000,3640.00000,-1001.00000,-2217.00000,-3218.00000,-1177.00000,-1177.00000,-302.00000,773.00000,-3924.00000,2283.00000,70.00000,-302.00000
2015-12-31,899,263,978,1241,-511,847,406,742,2882,-462,-33,121,121,-5112,-5486,-388,1668,1280,-1221,-1221,-304,5707,5462,2824,34,-304
2015-09-30,1266,266,578,844,68,1328,83,1479,3589,-342,-48,490,490,123,223,-3982,-1306,-5288,-1333,-1333,-335,2154,-4802,-1133,60,-335
2015-06-30,1473,263,463,726,-446,-151,507,-90,2109,-281,-15,-213,-213,-5242,-5751,-1853,2095,242,-1091,-1091,-265,2233,1119,-2501,69,-265
2015-03-31,1525.00000,251.00000,710.00000,961.00000,175.00000,-1230.00000,695.00000,-360.00000,2126.00000,-256.00000,-59.00000,-8.00000,-8.00000,3144.00000,2821.00000,-3100.00000,-1062.00000,-4162.00000,-737.00000,104.00000,-268.00000,784.00000,-3542.00000,1284.00000,71.00000,-268.00000
2014-12-31,1447,248,218,466,-331,801,21,491,2404,-341,-99,1199,1199,-5746,-4987,2582,221,2803,-1073,-331,-271,1542,3743,1024,80,-271
2014-09-30,1477,249,434,683,976,651,-86,1541,3701,-308,-21,101,101,-1176,-1404,1376,59,1435,-1056,-1056,-281,546,644,2834,46,-281
2014-06-30,1529,266,124,390,-998,535,144,-319,1600,-320,-103,-165,-165,-2545,-3133,554,591,1145,-1170,-1170,-243,-547,-815,-2310,76,-243
2014-03-31,1432.00000,249.00000,617.00000,866.00000,297.00000,607.00000,83.00000,987.00000,3285.00000,-226.00000,-6.00000,327.00000,327.00000,1462.00000,1557.00000,-1260.00000,-2245.00000,-3505.00000,-728.00000,-728.00000,-246.00000,918.00000,-3561.00000,1254.00000,88.00000,-246.00000
2013-12-31,1308,257,660,917,-35,-893,-953,-1881,344,-371,-25,3,3,-5409,-5802,2837,1792,4629,-574,-574,-246,-1108,2701,-2800,75,-246
2013-09-30,1366,266,431,697,-228,-4266,405,-4089,-2026,-160,21,32,32,570,463,-287,270,-17,-1007,-1007,-250,1956,682,-843,78,-250
2013-06-30,1405,252,491,743,-296,301,529,534,2682,-271,-180,331,331,-1842,-1962,-2915,-385,-3300,-1129,-1129,-221,-794,-5444,-4835,101,-221
2013-03-31,1280.00000,245.00000,595.00000,840.00000,486.00000,4946.00000,-5.00000,5427.00000,7547.00000,-204.00000,-11.00000,-205.00000,-205.00000,452.00000,32.00000,-2403.00000,166.00000,-2237.00000,-512.00000,-512.00000,-222.00000,1141.00000,-1830.00000,5714.00000,96.00000,-222.00000
2012-12-31,637,240,842,1082,-170,-3953,-1128,-5251,-3532,-288,-10,413,413,-3674,-3559,3444,-669,2775,-949,-949,-227,2616,4215,-2893,65,-227
2012-09-30,1250,244,407,651,-539,2367,143,1971,3872,-269,1,319,319,-1266,-1215,-77,402,325,-980,-980,-229,1187,303,3071,68,-229
2012-06-30,1339,253,704,957,55,726,233,1014,3310,-230,-455,314,314,-3348,-3719,-617,-208,-825,-1640,-1640,-235,-1770,-4470,-5010,72,-235
2012-03-31,1256.00000,254.00000,552.00000,806.00000,807.00000,502.00000,61.00000,1370.00000,3432.00000,-266.00000,-2.00000,568.00000,568.00000,1648.00000,1948.00000,-2892.00000,-540.00000,-3432.00000,60.00000,60.00000,-211.00000,267.00000,-3316.00000,2189.00000,92.00000,-211.00000
2011-12-31,1192,185,256,441,617,1454,-310,1761,3394,-304,0,1338,1338,-6471,-5437,-2245,-33,-2278,-263,-263,-215,4777,2021,-52,74,-215
2011-09-30,1235,228,985,1213,132,-381,199,-50,2398,-327,-28,14,14,-220,-561,467,121,588,-1123,-1123,-213,910,162,1863,71,-213
2011-06-30,1331,278,910,1188,-115,1484,-449,920,3439,-303,-5,1219,1219,-4067,-3156,462,525,987,-549,-549,-216,534,756,1055,80,-216
2011-03-31,1177.00000,227.00000,44.00000,271.00000,29.00000,-371.00000,-569.00000,-911.00000,537.00000,-255.00000,-577.00000,3521.00000,3521.00000,5974.00000,8663.00000,-5731.00000,92.00000,-5639.00000,229.00000,229.00000,-217.00000,2011.00000,-3616.00000,5671.00000,76.00000,-217.00000
2010-12-31,1062,228,741,969,-266,-312,49,-529,1502,-292,-146,2755,2755,-8844,-6527,-2361,1536,-825,-302,-302,-217,1351,7,-4985,102,-217
2010-09-30,1093,248,463,711,-434,1924,-517,973,2777,-264,0,336,336,-259,-187,-1326,-572,-1898,80,80,-217,-13,-2048,654,54,-217
2010-06-30,1017,220,1269,1489,-76,-283,41,-318,2188,-175,0,1023,1023,-3043,-2195,-3055,677,-2378,174,174,-217,245,-2176,-2221,67,-217
2010-03-31,885.00000,221.00000,1156.00000,1377.00000,278.00000,202.00000,-480.00000,,2262.00000,-147.00000,-254.00000,2344.00000,2344.00000,5737.00000,7680.00000,-5010.00000,-379.00000,-5389.00000,121.00000,121.00000,-216.00000,1823.00000,-3661.00000,6309.00000,64.00000,-216.00000
2009-12-31,716,293,814,1107,-1758,889,471,-398,1425,-270,0,-3340,-3340,-2858,-6468,-561,150,-411,83,83,-215,2492,1949,-3091,72,-215
2009-09-30,640,209,1107,1316,606,364,-615,355,2311,-154,0,-1348,-1348,408,-1094,-1237,-5,-1242,3049,-340,-215,3838,2041,3242,37,-215
2009-06-30,337,376,479,855,-1044,953,506,415,1607,-219,0,-9102,-9102,8333,-988,-4431,-678,-5109,-2858,-2858,-268,2103,-6132,-5466,68,-268
2009-03-31,437.00000,192.00000,1488.00000,1680.00000,1466.00000,-2304.00000,-285.00000,-1123.00000,994.00000,-79.00000,,3345.00000,3345.00000,-1468.00000,1798.00000,-2271.00000,-6041.00000,-8312.00000,,3389.00000,-226.00000,2644.00000,-2505.00000,260.00000,53.00000,-226.00000
