,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1095,87,1333,1420,-1560,-252,1295,-488,-1034,-1398,-115,-6,-2,0,-8,-8,4,-127,4,-5,-1,-122,-122,-80,391,188,-1335,-80
2022-09-30,67,170,-3055,-2885,0,0,0,1387,1387,-1431,-89,19,-7,0,-5,-5,-4,-86,-2,0,-2,-118,-118,-84,645,441,-1081,-84
2022-06-30,513,174,3405,3579,0,0,0,-3268,-3268,1513,-8,-19,-27,0,-3,-3,18,-39,-1,0,-1,-178,-178,-83,389,127,1598,-83
2022-03-31,1736.00000,363.00000,564.00000,927.00000,,,,-987.00000,-987.00000,1676.00000,-46.00000,,-26.00000,,10.00000,10.00000,-18.00000,-80.00000,-1.00000,,-1.00000,-188.00000,-188.00000,-85.00000,561.00000,287.00000,1886.00000,-85.00000
2021-12-31,-427,246,-49,197,-1232,-61,476,-260,-1132,-1362,582,0,-25,0,-5,-5,-6,546,-501,0,-501,-39,-39,-80,525,-95,-911,-80
2021-09-30,1618,239,-60,179,0,0,0,-319,-319,1478,-76,-1,-13,0,-9,-9,6,-93,-331,0,-331,0,0,-80,141,-270,1112,-80
2021-06-30,1078,192,1360,1552,0,0,0,-1336,-1336,1294,-79,1,-39,0,-16,-16,5,-128,-753,0,-753,0,0,-79,1,-831,335,-79
2021-03-31,-82.00000,355.00000,539.00000,894.00000,,,,-1729.00000,-1729.00000,-917.00000,134.00000,,-3482.00000,,-11.00000,-11.00000,-5.00000,-3364.00000,824.00000,,824.00000,-8.00000,-8.00000,-80.00000,188.00000,924.00000,-3356.00000,-80.00000
2020-12-31,-173,170,308,478,0,27,-56,217,146,451,3,0,-7,0,-9,-9,3,-10,2902,0,2902,-229,0,-74,-57,2771,3212,-74
2020-09-30,249,185,75,260,0,0,0,185,185,694,-51,4,-272,0,-7,-7,-13,-339,21,-22,-1,229,0,-73,-24,-98,256,-73
2020-06-30,313,168,170,338,0,0,0,-167,-167,484,-50,-4,-5,0,-26,-26,8,-77,-575,-61,-636,-49,-49,-74,-3,-762,-356,-74
2020-03-31,121.00000,151.00000,63.00000,214.00000,,,,-127.00000,-127.00000,208.00000,-51.00000,,,,-9.00000,-9.00000,-8.00000,-68.00000,551.00000,,551.00000,-179.00000,-179.00000,-74.00000,-5.00000,293.00000,433.00000,-74.00000
2019-12-31,3385,199,-3134,-2935,5,22,-177,291,66,516,-44,0,-7,0,-102,-102,95,-58,-299,83,-216,-118,-118,-8,-8,-350,108,-8
2019-09-30,372,147,-27,120,0,0,0,-20,-20,472,-72,1,-327,0,-13,-13,-78,-489,-2272,2485,213,-246,-246,-8,-1,-42,-59,-8
2019-06-30,202,126,182,308,0,0,0,6,6,516,-82,-1,-5,0,-6,-6,1,-93,1870,-2485,-615,-292,-292,-8,-57,-972,-549,-8
2019-03-31,482.00000,122.00000,-332.00000,-210.00000,,,,-363.00000,-363.00000,-91.00000,1264.00000,,-16.00000,,-5.00000,-5.00000,-47.00000,1196.00000,-37.00000,,-37.00000,-781.00000,-781.00000,-8.00000,42.00000,-784.00000,272.00000,-8.00000
2018-12-31,-13,167,-21,146,-83,29,113,310,177,310,-36,19,-34,0,-47,-47,-48,-146,1075,-1734,-659,-244,-244,-9,37,-875,-737,-9
2018-09-30,-48,141,366,507,0,0,0,95,95,554,1348,-3,-106,0,7,7,-143,1103,25,-646,-621,-496,-496,-9,25,-1101,473,-9
2018-06-30,96,159,402,561,0,0,0,-494,-494,163,-34,-3,-369,0,-16,-16,-280,-702,39,646,685,-403,-403,-9,191,464,-139,-9
