,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-09-30,71.545,27.428,12.41,39.838,-268.417,-27.873,265.752,-30.935,80.448,-4.071,-5.929,-0.59,-0.59,-10.59,-13.75,-13.75,12.921,12.921,-17.189,-16.463,-34.481,35.377,4.919,-17.189
2016-06-30,66.25,27.42,13.144,40.564,-42.011,161.793,-15.564,98.651,205.465,-3.868,-66.687,-4.524,-4.524,-75.079,-13.75,-13.75,-4.888,-4.888,-17.166,4.082,-31.722,98.664,3.902,-17.166
2016-03-31,62.07000,27.40500,6.42300,33.82800,-20.93200,-78.07000,37.57500,-62.67600,33.22200,-1.78500,-40.60300,-2.50200,-2.50200,-44.89000,-6.87500,-6.87500,-0.46900,-0.46900,-16.96200,-4.27800,-28.58400,-40.25200,2.77200,-16.96200
2015-12-31,57.935,27.309,-1.047,26.262,-4.203,44.417,-32.446,6.994,91.191,0.18,-26.074,1.577,1.577,-24.317,-6.875,-6.875,-75.524,-75.524,-17.268,-2.621,-102.288,-35.414,-1.835,-17.268
2015-09-30,67.427,26.608,9.086,35.694,33.165,-25.691,-46.663,-39.864,63.257,-3.38,-4.87,-1.502,-1.502,-9.752,-6.875,-6.875,15.225,15.225,-15.56,-10.084,-17.294,36.211,4.889,-15.56
2015-06-30,61.005,27.314,7.528,34.842,-49.875,46.375,84.379,80.835,176.682,-4.584,-68.861,-2.32,-2.32,-75.765,-6.875,-6.875,-0.044,-0.044,-15.495,-6.627,-29.041,71.876,6.102,-15.495
2015-03-31,56.95100,27.23700,14.15500,41.39200,-5.19000,-33.09200,-7.57600,-47.64100,50.70200,-0.01500,-36.19500,1.40700,1.40700,-34.80300,-25.00000,-25.00000,-101.62400,-101.62400,-15.78500,-2.80700,-145.21600,-129.31700,6.35700,-15.78500
2014-12-31,24.395,28.062,38.866,66.928,-22.08,29.534,1.207,8.346,99.669,5.505,-1.67,0.554,0.554,4.389,-0.007,-0.007,-0.446,-0.446,-15.787,0.138,-16.102,87.956,0.214,-15.787
2014-09-30,68.331,27.439,8.879,36.318,47.397,-36.53,-7.252,3.099,107.748,-7.427,-0.079,0.055,0.055,-7.451,398.432,23.432,-36.292,-36.292,-14.505,0.053,-27.312,72.985,5.64,-14.505
2014-06-30,61.755,25.865,5.203,31.068,-16.095,117.379,-83.441,17.634,110.457,-5.472,-693.724,0.199,0.199,-698.997,320,695,-27.451,-27.451,-14.496,-5.423,647.63,59.09,5.994,-14.496
2014-03-31,52.41500,22.51600,23.64800,46.16400,-8.17200,-21.97900,0.97500,-31.43400,67.14500,-3.89800,-1.01300,-0.34300,-0.34300,-5.25400,,,0.72000,0.72000,-14.54600,-1.00000,-14.82600,47.06500,7.51500,-14.54600
2013-12-31,47.225,22.381,8.577,30.958,-22.632,66.714,-40.999,1.287,79.47,0.106,-28.36,1.069,1.069,-27.185,0,0,-0.125,-0.125,-14.533,-5.64,-20.298,31.987,7.699,-14.533
2013-09-30,57.749,22.324,15.539,37.863,-11.79,-32.288,36.74,-7.593,88.019,-3.976,-324.968,0.512,0.512,-328.432,29.967,29.967,10.634,10.634,-13.101,-1.647,25.853,-214.56,7.431,-13.101
2013-06-30,52.007,20.384,8.682,29.066,-6.569,41.568,-31.153,3.791,84.864,-3.906,-14.323,-4.977,-4.977,-23.206,-0.06,-0.06,0.027,0.027,-12.959,-3.347,-16.339,45.319,3.623,-12.959
2013-03-31,60.13100,20.32800,18.99100,39.31900,0.26200,61.68200,-24.12100,37.57100,137.02100,-2.70400,-0.06100,0.95600,0.95600,-1.80900,,,0.62500,0.62500,-12.95300,-2.49900,-14.82700,120.38500,3.85000,-12.95300
2012-12-31,42.637,20.113,4.708,24.821,-20.11,-19.901,12.272,-36.119,31.339,3.743,-40.458,-0.006,-0.006,-36.721,0,0,-4.027,-4.027,-12.943,-2.464,-19.434,-24.816,4.472,-12.943
2012-09-30,49.504,19.914,7.59,27.504,15.153,-46.632,30.922,-0.781,76.227,-5.503,-14.863,-0.444,-0.444,-20.81,-0.603,-0.603,9.165,9.165,-12.228,-0.826,-4.492,50.925,3.908,-12.228
2012-06-30,42.471,19.665,10.711,30.376,0.136,41.168,-27.164,14.114,86.961,-6.371,-27.975,-0.083,-0.083,-34.429,-0.01,-0.01,-0.859,-0.859,-12.179,-1.486,-14.534,37.998,3.738,-12.179
2012-03-31,49.43300,19.25400,18.80600,38.06000,-6.49100,14.16000,-69.34500,-61.70500,25.78800,-1.80200,-341.75800,0.02000,0.02000,-343.54000,199.38600,199.38600,0.06300,0.06300,-12.18400,-0.10400,187.16100,-130.59100,3.74700,-12.18400
2011-12-31,36.494,17.081,-3.225,13.856,-25.997,12.421,0.222,-14.042,36.308,-1.745,-66.995,-0.001,-0.001,-68.741,-0.229,-0.229,-0.454,-0.454,-12.188,-2.888,-15.759,-48.192,2.856,-12.188
2011-09-30,44.173,16.787,8.019,24.806,36.199,-33.298,5.841,8.646,77.625,-2.373,-13.45,0.114,0.114,-15.709,-0.599,-0.599,7.979,7.979,-11.47,-2.195,-6.285,55.631,2.856,-11.47
2011-06-30,37.035,16.635,10.229,26.864,-12.76,44.543,-23.647,8.095,71.994,-3.013,-41.755,-0.055,-0.055,-44.823,-0.145,-0.145,0.171,0.171,-11.436,-2.577,-13.987,13.184,2.709,-11.436
2011-03-31,46.29300,16.64400,21.03400,37.67800,-18.01200,-13.05100,-1.21300,-32.36700,51.60400,-2.79100,-43.85500,0.19400,0.19400,-46.45200,-1.09900,-1.09900,0.31200,0.31200,-11.40000,-0.26700,-12.45400,-7.30200,2.77300,-11.40000
2010-12-31,32.146,16.511,-3.617,12.894,10.686,16.839,8.673,24.807,69.847,-2.751,-38.264,-0.508,-0.508,-41.523,-1.574,-1.574,-8.495,-8.495,-11.413,8.991,-12.491,15.833,1.615,-11.413
2010-09-30,44.293,15.985,7.389,23.374,9.801,-29.263,11.269,-8.193,59.474,-1.807,-85.4,0.469,0.469,-86.738,-5.074,-5.074,7.436,7.436,-11.053,0.095,-8.596,-35.86,1.495,-11.053
2010-06-30,41.185,15.779,6.522,22.301,-20.607,44.922,5.139,29.454,92.94,-2.525,-16.769,0.207,0.207,-19.087,-0.381,-0.381,1.58,1.58,-11.015,0.169,-9.647,64.206,1.78,-11.015
2010-03-31,44.12800,15.80600,15.99000,31.79600,-2.43500,-5.90300,6.20500,-2.13300,73.79100,-1.81300,-17.20400,-0.12600,-0.12600,-19.14300,-12.39600,-12.39600,0.45500,0.45500,-11.01500,,-22.95600,31.69200,1.95500,-11.01500
2009-12-31,23.653,15.77,-2.188,13.582,29.31,-24.706,-9.512,-4.908,32.327,-2.157,-2.41,-0.02,-0.02,-4.587,-6.285,-6.285,0.287,0.287,-11.009,0.133,-16.874,10.866,2.115,-11.009
2009-09-30,40.961,15.791,11.128,26.919,-3.286,-61.857,1.534,-63.609,4.271,-2.22,-3.499,-0.573,-0.573,-6.292,-0.538,-0.538,9.354,9.354,-10.652,0.11,-1.726,-3.747,1.732,-10.652
2009-06-30,40.668,15.818,6.495,22.313,-4.585,54.359,-20.928,28.846,91.827,-2.502,-10.803,-0.167,-0.167,-13.472,-4.188,-4.188,0.005,0.005,-10.617,0,-14.8,63.555,1.695,-10.617
2009-03-31,48.01200,15.71800,20.14800,35.86600,15.50400,-18.59400,12.37200,9.28200,93.16000,-3.12600,-27.97000,0.01800,0.01800,-31.07800,-4.07800,-4.07800,0.49600,0.49600,-10.61800,,-14.20000,47.88200,1.81600,-10.61800
