,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,145.2,46.7,6.6,53.3,177.1,126,-220,83.1001,281.6,38,-38,0,0,0,-16.9,-166.9,48.9,48.9,-32.6,-0.5,-151.1,182.4,15.8,-32.6
2022-09-30,161.1,55.9,2.6,58.5,-956,-15.2,1005.2,33.9999,253.6,-16.3,-1432.5,3.7,3.7,-1445.1,-16.9,-116.9,-12.2,-12.2,-29,-31.3,-189.4,-1436.7,16.3,-29
2022-06-30,145.2,43.7,11.9,55.6,13.1,221.2,-192.5,41.8,242.6,-4.1,-21.2,3.6,3.6,-21.7,783.1,683.1,-49.1,-49.1,-29,162.5,767.5,861.4,13.9,-29
2022-03-31,220.30000,39.90000,18.20000,58.10000,-63.00000,-150.60000,38.80000,-174.80000,103.60000,-9.80000,-436.00000,,,-445.80000,1189.40000,1539.40000,-24.10000,-24.10000,-28.90000,-188.00000,1298.40000,955.90000,20.10000,-28.90000
2021-12-31,101.7,32.5,28.9,61.4,171.3,48.6,-202,17.9,181,-3.1,-188.8,1.5,1.5,-190.4,-20.6,-20.6,49.8,49.8,-29,54.8,55,44.3,14.3,-29
2021-09-30,146.4,39.4,41.3,80.7,-187.2,46.5,161.5,20.8,247.9,-8.5,-61.4,-0.2,-0.2,-70.1,-17.5,-17.5,-17.9,-17.9,-26,-39.9,-101.3,74.9,14,-26
2021-06-30,139.3,39.1,16.4,55.5,5.8,110,-68.7,47.1,241.9,-5.6,-46.2,-2.1,-2.1,-53.9,-17.5,-17.5,-10.5,-10.5,-26.1,77,22.9,210.3,14,-26.1
2021-03-31,199.70000,37.70000,27.80000,65.50000,-71.40000,-69.20000,13.40000,-127.20000,138.00000,-11.20000,-70.40000,-0.80000,-0.80000,-82.40000,-17.50000,-17.50000,-70.00000,-70.00000,-26.10000,-73.10000,-186.70000,-131.20000,18.70000,-26.10000
2020-12-31,97.337,35.629,15.56,51.189,125.083,36.737,-136.934,24.886,173.412,-13.902,-292.442,-0.505,-0.505,-306.849,-13.75,-13.75,-47.627,-47.627,-28.525,-6.627,-96.529,-229.966,16.235,-28.525
2020-09-30,133.979,34.27,36.631,70.901,4.732,-100.703,13.98,-81.991,122.889,-11.555,-110.934,-3.333,-3.333,-125.822,686.25,486.25,23.469,23.469,-24.089,-43.06,442.57,439.637,13.378,-24.089
2020-06-30,96.784,33.47,21.926,55.396,-88.674,377.508,-58.132,230.702,382.882,-19.57,-138.133,0.483,0.483,-157.22,-13.75,86.25,0.587,0.587,-24.084,-1.389,61.364,287.026,21.04,-24.084
2020-03-31,152.40000,32.93100,-7.41700,25.51400,-28.14100,-155.64200,39.68600,-144.09700,33.81700,-16.07300,-153.29100,0.15500,0.15500,-169.20900,-13.75000,-13.75000,-1.42900,-1.42900,-23.90200,-13.32400,-52.40500,-187.79700,9.04700,-23.90200
2019-12-31,76.519,33.32,18.638,51.958,205.582,240.855,-343.854,102.583,231.06,-7.657,-64.65,-1.642,-1.642,-73.949,-13.75,-13.75,-39.811,-39.811,-23.912,8.742,-68.731,88.38,12.315,-23.912
2019-09-30,115.506,32.621,12.949,45.57,-201.916,-116.616,298.873,-19.659,141.417,-10.786,-141.747,-2.624,-2.624,-155.157,-13.75,86.25,14.305,14.305,-22.551,-4.45,73.554,59.814,10.551,-22.551
2019-06-30,92.593,32.147,16.395,48.542,-91.109,239.689,10.632,159.212,300.347,-9.919,-51.565,-7.121,-7.121,-68.605,-13.75,-13.75,-12.283,-12.283,-22.533,6.718,-41.848,189.894,11.134,-22.533
2019-03-31,113.89600,32.67600,0.12800,32.80400,7.55600,-126.03900,-22.86100,-141.34400,5.35600,-23.15400,-95.08100,2.36100,2.36100,-115.87400,341.25000,-8.75000,-6.81600,-6.81600,-22.34800,-4.27700,-42.19100,-152.70900,12.99400,-22.34800
2018-12-31,73.452,30.408,40.424,70.832,-35.95,153.284,-49.606,67.728,212.012,-11.015,-669.038,-0.015,-0.015,-680.068,295,645,-92.129,-92.129,-22.334,-9.572,520.965,52.909,9.997,-22.334
2018-09-30,106.053,27.292,0.965,28.257,-4.489,-43.566,-8.144,-56.199,78.111,-9.037,-113.033,1.171,1.171,-120.899,-4.999,-4.999,18.686,18.686,-20.945,-12.426,-19.684,-62.472,8.495,-20.945
2018-06-30,73.922,26.794,1.07,27.864,21.795,166.189,-91.845,96.139,197.925,-6.875,-108.227,7.094,7.094,-108.008,-105.001,-105.001,0,0,-20.715,-3.419,-129.135,-39.218,7.732,-20.715
2018-03-31,90.82800,26.50100,-5.43500,21.06600,337.43800,-73.15400,-296.69700,-32.41300,79.48100,-9.60900,-33.57600,0.38900,0.38900,-42.79600,-5.00000,-5.00000,-10.53000,-10.53000,-20.69600,1.83000,-34.39600,2.28900,7.29500,-20.69600
2017-12-31,187.505,26.914,-117.767,-90.853,1662.51,49.742,-1680.499,31.753,128.405,-11.286,-14.993,4.194,4.194,-22.085,-5,-5,-71.215,-71.215,-20.911,-8.313,-105.439,0.881,8.269,-20.911
2017-09-30,75.913,27.337,6.31,33.647,-2164.075,-8.482,2106.486,-66.071,43.489,-0.633,-14.952,-2.21,-2.21,-17.795,-5,-5,-24.289,-24.289,-18.961,-31.167,-79.417,-53.723,7.036,-18.961
2017-06-30,66.102,27.607,14.715,42.322,3.381,125.626,-57.371,71.636,180.06,-5.736,-11.526,-3.305,-3.305,-20.567,-72.5,-72.5,-16.219,-16.219,-18.937,-0.996,-108.652,50.841,6.762,-18.937
2017-03-31,70.11000,28.14800,18.04800,46.19600,55.14100,-64.84300,-16.58300,-26.28500,90.02100,-2.44300,,0.30000,0.30000,-2.14300,-14.25000,-14.25000,0.50600,0.50600,-18.90300,-10.42500,-43.07200,44.80600,8.56400,-18.90300
2016-12-31,57.626,27.214,8.115,35.329,221.695,48.096,-270.706,-1.048,91.907,-3.084,-9.403,0.634,0.634,-11.853,-38.75,-38.75,-18.984,-18.984,-18.945,10.946,-65.733,14.321,4.459,-18.945
