,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-827.3,-218.1,-78.8,-296.9,156.2,16.1,-188.5,46.4,30.2,241.9,-30.6,-8.7,0,0,0,-39.3,712.8001,712.8001,-20.7,-20.7,202.7,-1166.5,-271.7,-69.4,-71.4,202.7
2022-09-30,297.8,75.6,30,105.6,-136.4,93.6,-22.1,-5.6,-70.5,332.9,-33.6,0,0,0,0,-33.6,-365.4001,-365.4001,5.6,5.6,-67.7,-28,-455.5,-157,26.8,-67.7
2022-06-30,279.3,71.1,26.2,97.3,105.2,20.6,122.8,-244.9,3.7,380.3,-22.3,-28,0,0,0,-50.3,-5.7,-5.7,6.8,6.8,-67.5,-100.4,-166.8,154.7,23.5,-67.5
2022-03-31,250.20000,71.40000,22.60000,94.00000,-125.00000,-130.30000,87.80000,204.10000,36.60000,380.80000,-41.30000,,,,,-41.30000,-257.10000,-257.10000,8.30000,8.30000,-67.50000,108.20000,-208.10000,128.80000,21.10000,-67.50000
2021-12-31,215.3,51.2,30.5,81.7,-293.3,-63.5,194.8,12.9,-149.1,147.9,-33.8,-2365.9,0,0,0,-2399.7,2666.5,2666.5,-305.9,-305.9,-67.7,-28.3,2264.6,13,19.3,-67.7
2021-09-30,266.6,48.2,9.6,57.8,-183,40.4,72.2,37.8,-32.6,291.8,-27.7,-128.1,0,0,0,-155.8,109.6,109.6,-431.1,-431.1,-54.8,-13,-389.3,-256.1,16.9,-54.8
2021-06-30,274.1,46.6,-17.3,29.3,-124.8,-143.3,144.7,-179.7,-303.1,0.3,-17.8,1.3,36,36,0,19.5,-7,-7,-372.8,-372.8,-55.8,36.6,-399,-377.4,20.6,-55.8
2021-03-31,232.60000,45.20000,13.60000,58.80000,-15.70000,15.40000,-37.20000,90.70000,53.20000,344.60000,-20.70000,-212.90000,,,,-233.60000,-47.70000,-47.70000,-320.70000,-320.70000,-56.50000,-218.60000,-643.50000,-531.60000,15.80000,-56.50000
2020-12-31,238.3,76.6,3,79.6,78.5,-37.2,146.9,69.8,258,575.9,-24.4,-4.5,0,0,0,-28.9,-18.1,-18.1,-177.5,-177.5,-57.2,-140.1,-392.9,160.7,16.5,-57.2
2020-09-30,193.2,132.4,36.7,169.1,-224.5,55.1,108.9,-79.2,-139.7,222.6,-33.6,-38.5,0,0,0,-72.1,27.5,27.5,26.9,26.9,-54.1,137.1,137.4,291.1,11.6,-54.1
2020-06-30,189.1,125.2,13.6,138.8,128.6,-22.9,-159.5,18.7,-35.1,292.8,-74.6,0,0,0,0,-74.6,437.5,437.5,-7.1,-7.1,-54.1,148,524.3,744,5.6,-54.1
2020-03-31,167.90000,91.40000,42.00000,133.40000,-209.00000,-66.40000,157.40000,39.70000,-78.30000,223.00000,-25.40000,,,,,-25.40000,161.50000,161.50000,-133.70000,-133.70000,-54.20000,-103.60000,-130.00000,60.40000,8.80000,-54.20000
2019-12-31,185.6,69.6,-39.8,29.8,-73,-1.9,-69.9,274.3,129.5,344.9,-161.3,-20.1,0,0,0,-181.4,24.1001,24.1001,-129,-129,-54.5,-21.9,-181.3,-12.9,10.8,-54.5
2019-09-30,201.7,68.2,20.6,88.8,58.3,46.2,-150.9,23.7,-22.7,267.8,-31.1,0,0,0,0,-31.1,11.8999,11.8999,-161.1,-161.1,-42.6,-71.5,-263.3,-27.6,12.8,-42.6
2019-06-30,196.6,65,7,72,-242,-63.1,298.9,-100.3,-106.5,162.1,-24.5,-6.3,0,0,0,-30.8,0,0,-155.1,-155.1,-42.9,-27,-225,-96.2,12.2,-42.9
2019-03-31,152.90000,64.30000,1.80000,66.10000,11.90000,-134.20000,116.00000,39.70000,33.40000,252.40000,-19.40000,-68.70000,,,,-88.10000,76.00000,76.00000,-177.10000,-177.10000,-43.40000,64.30000,-80.20000,84.90000,12.70000,-43.40000
2018-12-31,159.3,66.9,-3.9,63,-30.8,25.3,-29.4,116.2,81.3,303.6,-32.7,0,0,0,0,-32.7,11.2,11.2,-289.8,-289.8,-43.9,3,-319.5,-49.3,10.8,-43.9
