,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-17363,934,17557,18491,-29,-116,13,1141,-307,38,42,42,22,-205,268,0,268,-544,-544,-280,-127,-683,572,17,-280
2022-09-30,254,940,-71,869,47,-85,-245,878,-331,12,39,39,241,-39,1226,0,1226,-974,-974,-284,-256,-288,161,53,-284
2022-06-30,280,983,-162,821,52,-244,-77,1024,-340,0,645,645,-144,161,138,0,138,-319,-319,-287,-49,-517,379,88,-287
2022-03-31,121.00000,1020.00000,3.00000,1023.00000,62.00000,-332.00000,-248.00000,896.00000,-412.00000,,,,122.00000,-290.00000,-707.00000,,-707.00000,-44.00000,-44.00000,-287.00000,-47.00000,-1085.00000,-582.00000,57.00000,-287.00000
2021-12-31,291,1042,23,1065,-323,-193,-243,1113,-374,-767,0,0,-33,-1174,708,0,708,33,33,-237,-5,499,247,63,-237
2021-09-30,161,1064,156,1220,-58,365,452,1833,-264,3,-7,-7,-6,-274,652,0,652,-1194,-1194,-238,-2,-782,751,79,-238
2021-06-30,342,979,-36,943,48,-444,-257,1028,-315,367,-17,-17,-37,-2,-221,0,-221,-411,-411,-242,0,-874,161,84,-242
2021-03-31,-370.00000,960.00000,662.00000,1622.00000,-219.00000,-31.00000,-416.00000,836.00000,-298.00000,,,,-23.00000,-321.00000,-506.00000,,-506.00000,-421.00000,-421.00000,-244.00000,-210.00000,-1381.00000,-906.00000,157.00000,-244.00000
2020-12-31,103,961,61,1022,-153,148,293,1418,-291,0,552,552,40,301,-851,0,-851,20,20,-218,-509,-1558,195,101,-218
2020-09-30,21,938,151,1089,-27,260,301,1411,-271,0,0,0,2,-269,-350,0,-350,-25,-25,-217,-204,-796,377,57,-217
2020-06-30,22,924,60,984,9,153,224,1230,-261,-67,0,0,-2,-330,-738,0,-738,95,95,-217,-14,-874,18,69,-217
2020-03-31,18.00000,922.00000,-50.00000,872.00000,96.00000,-392.00000,-507.00000,383.00000,-306.00000,-402.00000,,,92.00000,-616.00000,567.00000,,567.00000,130.00000,130.00000,-216.00000,-4.00000,477.00000,229.00000,56.00000,-216.00000
2019-12-31,-156,963,434,1397,-173,-456,-572,669,-284,-3,0,0,-47,-334,-748,161,-587,-167,-167,-215,-41,-1010,-619,264,-215
2019-09-30,155,759,-40,719,-81,141,47,921,-259,-6623,0,0,-1,-6883,255,0,255,51,51,-215,-15,76,-5926,95,-215
2019-06-30,155,374,81,455,80,-131,-84,526,-140,0,0,0,-1,-141,8975,0,8975,24,24,-113,-96,8790,9180,24,-113
2019-03-31,149.00000,372.00000,15.00000,387.00000,13.00000,-170.00000,-242.00000,294.00000,-145.00000,43.00000,,,-41.00000,-143.00000,198.00000,,198.00000,-361.00000,-361.00000,-113.00000,1.00000,-275.00000,-127.00000,19.00000,-113.00000
2018-12-31,310,364,-31,333,-73,-68,62,705,-158,-74,0,0,-4,-236,-120,0,-120,-202,-202,-105,-15,-442,71,18,-105
2018-09-30,163,358,129,487,-38,-165,-185,465,-148,9,0,0,-20,-159,161,0,161,-331,-331,-105,-30,-305,-51,21,-105
2018-06-30,218,358,17,375,145,-87,-124,469,-144,49,-49,-49,-2,-146,-78,0,-78,-108,-108,-105,-25,-316,-42,25,-105
2018-03-31,190.00000,357.00000,-1.00000,356.00000,44.00000,-35.00000,-192.00000,354.00000,-172.00000,,49.00000,49.00000,-4.00000,-127.00000,260.00000,,260.00000,-326.00000,-326.00000,-106.00000,-1.00000,-173.00000,60.00000,20.00000,-106.00000
2017-12-31,943,355,-771,-416,-45,55,135,662,-165,1307,0,0,-1308,-166,-380,0,-380,-67,-67,-96,-4,-547,-55,21,-96
2017-09-30,68,340,184,524,-182,-66,-41,551,-151,-846,0,0,1307,310,-835,0,-835,56,56,-97,-67,-943,-66,25,-97
2017-06-30,148,346,54,400,20,-133,-474,74,-142,19,0,0,-2,-125,203,0,203,19,19,-97,-1,124,81,35,-97
2017-03-31,135.00000,344.00000,-211.00000,133.00000,-25.00000,67.00000,186.00000,454.00000,-155.00000,827.00000,,,-1.00000,671.00000,-1062.00000,,-1062.00000,47.00000,47.00000,-95.00000,-4.00000,-1114.00000,22.00000,26.00000,-95.00000
2016-12-31,173,282,-35,247,-80,161,165,583,-170,0,0,0,1,-169,-318,0,-318,99,99,-86,-113,-418,-18,36,-86
2016-09-30,191,297,-17,280,4,-24,49,522,-153,0,0,0,-1,-154,-353,0,-353,-69,-69,-84,76,-430,-64,33,-84
2016-06-30,124,295,9,304,97,-58,8,435,-148,0,0,0,-2,-150,-181,0,-181,34,34,-86,11,-222,63,38,-86
2016-03-31,59.00000,298.00000,-42.00000,256.00000,21.00000,77.00000,71.00000,385.00000,-145.00000,,,,-1.00000,-146.00000,-152.00000,,-152.00000,8.00000,8.00000,-85.00000,-10.00000,-239.00000,20.00000,30.00000,-85.00000
2015-12-31,111,209,121,330,-69,3,-8,433,-109,-1703,0,0,-4,-1816,1755,0,1755,-1,-1,-85,-42,1627,240,39,-85
2015-09-30,180,159,9,168,-8,-22,-97,255,-87,-17,0,0,-1,-105,-73,0,-73,18,18,-73,1,-127,-4,23,-73
2015-06-30,245,157,-150,7,-4,-29,-38,212,-118,0,0,0,243,125,-154,0,-154,-137,-137,-73,-23,-387,-43,17,-73
2015-03-31,115.00000,155.00000,-12.00000,143.00000,-22.00000,-50.00000,-29.00000,231.00000,-101.00000,,,,-1.00000,-102.00000,127.00000,,127.00000,-143.00000,-143.00000,-74.00000,-8.00000,-98.00000,-4.00000,19.00000,-74.00000
2014-12-31,202.7,164.7,7.9,172.6,-61.9,8.5,97.3,477.9,-99.4,-461.4,0,0,-25.5,-586.3,69.1997,0,69.1997,3.9,3.9,-69.3,6.3,10.1,-119.3,15.5,-69.3
2014-09-30,157.9,165.5,4.6,170.1,-30.7,-73.1,-137.6,208,-86,-104.6,0,0,-1.8,-192.4,49.3003,0,49.3003,-124.8,-124.8,-67.8,-25.5,-168.8,-181.9,13.9,-67.8
2014-06-30,185.3,160.6,-0.6,160,-37.7,-28.2,-87.5,256.5,-96.7,-29,0,0,0.8,-124.9,144.1,0,144.1,-149.8,-149.8,-68.4,-7.6,-81.7,56,13.3,-68.4
2014-03-31,161.10000,155.20000,-1.90000,153.30000,15.30000,-1.20000,-91.20000,222.60000,-89.90000,,,,8.50000,-81.40000,309.40000,,309.40000,-190.30000,-190.30000,-69.50000,-7.20000,42.40000,190.20000,13.30000,-69.50000
2013-12-31,80.2,159.9,24,183.9001,-0.4,-14.8,122.2,384.4,-97.6,-12.9,0,0,-8.6,-119.1,-354.1992,0,-354.1992,-80.8,-80.8,-64.6,-24.2,-523.8,-264.1,14.6,-64.6
2013-09-30,179.1,154.5,-1.5,153,-29.6,-28.6,-21.2,311.1,-81.6,-7.5,0,0,26.6,-62.5,51.1997,0,51.1997,-94.2,-94.2,-63.8,9.1,-97.7,158.5,12.4,-63.8
2013-06-30,109,164.1,-33.4,130.7,-14.1,-50.6,-84.1,157.3,-83.3,-15.1,0,0,11,-87.4,159.4,0,159.4,-71.4,-71.4,-63.1,-17.6,7.3,62.5,13.2,-63.1
2013-03-31,149.40000,156.00000,-15.40000,140.60000,-12.00000,-77.00000,-82.50000,207.50000,-73.70000,-115.00000,,,-7.00000,-195.70000,216.20010,,216.20010,-86.50000,-86.50000,-64.80000,3.30000,68.20000,73.00000,13.20000,-64.80000
2012-12-31,144.8,162,-9.4,152.6,-11.2,31.8,33.4,328.7,-69.8,-23.6,0,0,3,-90.4,-147.7002,0,-147.7002,-109.2,-109.2,-58.4,17.8,-297.5,-59,23.3,-58.4
2012-09-30,92.4,158.4,-40.2,118.2,-1.2,-48.6,42.6,255.3,-70.6,1.7,0,0,333.5,264.6,-331.9004,0,-331.9004,-92.4,-92.4,-58.7,-0.1,-483.1,42.8,17.6,-58.7
2012-06-30,153.8,162.3,0.1,162.4,-36.9,-59.4,-57.3,258.9,-90.7,-41.7,0,0,0,-132.4,19.2998,0,19.2998,-21.8,-21.8,-58.9,-3,-64.4,52.1,16.6,-58.9
2012-03-31,90.10000,179.50000,38.30000,217.80000,-18.70000,-20.70000,-104.10000,203.80000,-65.00000,,,,,-65.00000,33.20020,,33.20020,-11.30000,-11.30000,-58.80000,-38.90000,-75.80000,66.20000,26.30000,-58.80000
2011-12-31,122,193.2,75.9,269.1,9.5,-63.3,-27,372.4,-78.5,-7.5,0,0,15.4,-70.6,9904.9001,-9961.2,-56.3003,-106.5,-106.5,-12.4,-96.1,-271.3,28.7,18.7,-12.4
2011-09-30,140.2,165.1,-0.5,164.6,18.9,-29.7,-29.2,275.6,-82.2,0,0,0,0,-82.2,-17.6001,0,-17.6001,-254.9,-254.9,-15.9,72.4,-216,-40.5,14.9,-15.9
2011-06-30,125.3,159.1,-5.8,153.3,12.5,-20.1,-15.3,263.3,-68,0.1,0,0,0,-67.9,-159.5,0,-159.5,14.9,14.9,-16.9,4.2,-157.3,43.2,15.7,-16.9
2011-03-31,93.60000,158.00000,31.90000,189.90000,,23.80000,-18.80000,260.20000,-71.60000,-12.80000,,,5.90000,-78.50000,-180.50000,,-180.50000,51.50000,51.50000,-15.20000,4.10000,-140.10000,46.10000,15.40000,-15.20000
2010-12-31,112.3,163.8,66.6,230.4,-55,-63.4,-71,285.4,-86.7,-336.6,0,0,0,-423.3,95.4,0,95.4,9.9,9.9,-12.8,-7.1,85.4,-51.4,18,-12.8
2010-09-30,61,158.8,115.8,274.6,-15.1,-41.8,24.5,340.7,-93.1,-20,0,0,-34.5,-147.6,2131.6997,0,2131.6997,-2394.7,-2394.7,-15.8,-37.1,-315.9,-112.6,14.3,-15.8
2010-06-30,91.1,156.4,-31.4,125,3.1,-3.7,-42.5,173.6,-76,3.4,0,0,-3.2,-75.8,-93.7997,0,-93.7997,73.1,73.1,-19.8,-9,-49.5,38.1,10.4,-19.8
2010-03-31,93.50000,154.20000,7.60000,161.80000,45.70000,-26.50000,12.30000,271.60000,-58.20000,-50.00000,,,110.70000,2.50000,-200.40000,,-200.40000,-19.00000,-19.00000,-19.50000,-0.10000,-239.00000,33.00000,16.00000,-19.50000
2009-12-31,-52.8,160.6,146.7,307.3,-41.7,50.1,-50.9,209.1,-66.9,439.7,0,0,19.5,392.3,-617.3001,0,-617.3001,254.4,254.4,-16.8,-6,-385.7,225.3,43.7,-16.8
