,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-26668,-5380,-4461,-9841,23790,114006,-30183,31652,-5897,0,40741,-21907,18834,67455,86289,-31474,-41097,-72571,3162,5162,10186,41136,-16087,96647,0,10186
2022-09-30,9737,1771,1811,3582,5354,-60190,18088,-31763,-18204,0,20092,36515,56607,-17085,39522,11592,6889,18481,0,0,-3412,-47952,-32883,-25073,0,-3412
2022-06-30,8649,1789,717,2506,11279,37397,-238,54676,66018,0,-20426,6198,-14228,-38975,-53203,12325,308,12633,-707,-707,-3344,-92384,-83802,-85272,0,-3344
2022-03-31,8282.00000,1820.00000,1933.00000,3753.00000,-40423.00000,-91213.00000,12333.00000,-54565.00000,-41917.00000,,-40407.00000,-20806.00000,-61213.00000,-11395.00000,-72608.00000,7557.00000,33900.00000,41457.00000,-2455.00000,-4455.00000,-3430.00000,99200.00000,132772.00000,13698.00000,,-3430.00000
2021-12-31,10399,1931,4135,6066,16489,83010,-27073,68041,85095,0,20384,-79944,-59560,-40598,-100158,4246,-57489,-53243,-2122,-2122,-3386,56729,-2022,-19035,0,-3386
2021-09-30,11687,1928,-2743,-815,18424,4704,-26847,13056,23331,0,-21194,-24004,-45198,-17077,-62275,928,8341,9269,-5286,-3286,-3158,94222,97047,54448,0,-3158
2021-06-30,11948,2003,-1358,645,-24532,32258,-14823,116,13530,0,11492,24814,36306,-18608,17698,13124,-62109,-48985,-6194,-4919,-3121,19082,-37943,-5651,0,-3121
2021-03-31,14300.00000,2070.00000,-2268.00000,-198.00000,-34233.00000,-34262.00000,-11827.00000,-56763.00000,-43872.00000,,23791.00000,-17687.00000,6104.00000,9287.00000,15391.00000,9179.00000,98231.00000,107410.00000,-4806.00000,-3306.00000,-3193.00000,118000.00000,218911.00000,183463.00000,,-3193.00000
2020-12-31,12136,2127,81,2208,-13272,-3625,-18241,-44218,-28052,0,23482,-59638,-36156,-27550,-63706,-131,-18724,-18855,0,0,-3139,147952,125958,40087,0,-3139
2020-09-30,9443,2141,177,2318,-3538,-11993,-10085,-27990,-14688,0,-59230,27831,-31399,16672,-14727,-41038,-5196,-46234,0,0,-3209,68694,19251,-6207,0,-3209
