,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,3707,989,773,1762,-698,-1973,0,-890,-2191,3278,-1858,0,0,-4349,-4349,76,-6131,-497,-497,67,67,-65,-495,-3225,419
2022-09-30,3331,956,582,1538,-193,-2300,0,-529,231,5100,-1803,0,0,-988,-988,0,-2791,-899,-899,229,229,-42,-712,1262,362
2022-06-30,2269,922,506,1428,176,-1559,0,-372,-1346,2351,-794,0,0,-90,-90,0,-884,-402,-402,43,43,-47,-406,847,361
2022-03-31,3280.00000,880.00000,437.00000,1317.00000,-409.00000,-633.00000,,-557.00000,-602.00000,3995.00000,-1767.00000,-9.00000,,-386.00000,-386.00000,-5.00000,-2167.00000,-2068.00000,-2068.00000,202.00000,202.00000,-48.00000,-1914.00000,-104.00000,418.00000
2021-12-31,2343,848,539,1387,18,-534,0,-443,855,4585,-1810,0,0,-102,-102,-4,-1916,-1456,-1456,262,262,-63,-1257,1450,558
2021-09-30,1659,761,728,1489,135,-488,0,-820,-1,3147,-1819,0,0,-30,-30,-6,-1855,-1526,-1526,192,192,-47,-1381,-131,475
2021-06-30,1178,681,589,1270,-259,-581,0,-404,-324,2124,-1505,0,0,0,0,-10,-1515,-1588,-1588,70,70,-31,-1549,-898,474
2021-03-31,464.00000,621.00000,568.00000,1189.00000,-24.00000,-106.00000,,-554.00000,-12.00000,1641.00000,-2576.00000,,,,,-6.00000,-2582.00000,-1162.00000,-1162.00000,183.00000,183.00000,-37.00000,-1016.00000,-2178.00000,614.00000
2020-12-31,296,618,863,1481,-102,180,0,-173,1242,3019,-1151,-5,0,0,0,109,-1047,-2305,-2305,5043,5043,-46,2692,4898,633
2020-09-30,369,584,812,1396,-314,-67,0,-121,635,2400,-1005,-5,-13,0,0,-16,-1039,-581,-581,5117,5117,-86,4450,5897,543
2020-06-30,129,567,514,1081,-222,446,0,-363,-246,964,-546,0,0,0,0,-20,-566,111,111,57,57,-45,123,559,347
2020-03-31,68.00000,553.00000,386.00000,939.00000,-14.00000,-981.00000,,-187.00000,-1447.00000,-440.00000,-455.00000,,,,,-25.00000,-480.00000,287.00000,287.00000,2469.00000,2469.00000,-48.00000,2708.00000,1764.00000,211.00000
2019-12-31,132,439,623,1062,-217,56,0,-111,231,1425,-412,0,0,0,0,9,-403,-195,-195,96,96,20,-79,957,281
2019-09-30,150,586,212,798,18,-133,0,-133,-192,756,-385,0,-76,0,0,-25,-486,47,47,71,71,0,118,377,199
