,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,453,179,147,326,-26,126,903,-36,-46,739,-4,-7,0,-914,-914,3,-922,3340,-3115,225,-142,-142,-284,-12,-213,-393,9,-284
2022-09-30,180,172,342,514,-166,-206,0,-36,65,759,-73,-9,0,0,0,0,-82,2976,-2851,125,-149,-149,-265,-5,-294,374,43,-265
2022-06-30,218,176,487,663,-133,-199,0,-31,-214,676,-77,0,0,-45,-45,-12,-134,-3386,3201,-185,-88,-88,-266,-38,-577,-40,0,-266
2022-03-31,585.00000,182.00000,-37.00000,145.00000,-73.00000,-147.00000,,-146.00000,-80.00000,663.00000,-31.00000,-10.00000,,47.00000,47.00000,-3.00000,3.00000,-20.00000,-350.00000,-370.00000,,,-265.00000,-9.00000,-644.00000,26.00000,,-265.00000
2021-12-31,843,185,-455,-270,126,77,-152,-44,358,941,6,-1,0,578,578,-23,560,-2164,2299,135,-998,-998,-268,-1,-1132,365,20,-268
2021-09-30,530,170,21,191,-85,-79,0,-67,66,794,-118,-19,0,0,0,-13,-150,2137,-3473,-1336,998,998,-263,-1,-602,33,68,-263
2021-06-30,448,178,-25,153,-4,-54,0,-20,4,593,-101,0,0,0,0,0,-101,-3607,3168,-439,0,0,-232,-2,-673,-179,0,-232
2021-03-31,325.00000,175.00000,108.00000,283.00000,-37.00000,-77.00000,,-109.00000,-77.00000,546.00000,-88.00000,-12.00000,,,,1.00000,-99.00000,-440.00000,305.00000,-135.00000,140.00000,140.00000,-192.00000,-168.00000,-355.00000,94.00000,,-192.00000
2020-12-31,428,163,34,197,1,68,-5,-60,155,790,-105,-30,0,-1,-1,2,-134,-1592,283,-1309,882,882,-211,14,-624,37,23,-211
2020-09-30,443,165,29,194,-59,-74,0,33,-47,604,-79,-11,0,-4,-4,4,-90,-511,1186,675,-904,-904,-212,-24,-465,41,62,-212
2020-06-30,298,162,43,205,16,-63,0,-30,131,648,-124,0,0,0,0,-2,-126,1264,-1549,-285,22,22,-211,-99,-573,-46,-19,-211
2020-03-31,156.00000,163.00000,146.00000,309.00000,42.00000,-38.00000,,-198.00000,-73.00000,414.00000,50.00000,-15.00000,,,,-1.00000,34.00000,-418.00000,363.00000,-55.00000,,,-212.00000,-61.00000,-328.00000,112.00000,19.00000,-212.00000
2019-12-31,406,158,-19,139,-43,100,0,-17,107,671,106,-31,0,0,0,-9,66,-339,-168,-507,0,0,-211,-20,-738,-1,17,-211
2019-09-30,304,175,72,247,-32,-68,-339,-25,24,600,-90,0,0,-5,-5,-7,-102,-35,-46,-81,0,0,-210,-255,-546,-48,47,-210
2019-06-30,314,173,53,226,-58,-20,339,-72,60,612,-55,-2,-8,-11,-11,7,-69,-349,37,-312,0,0,-212,0,-524,21,-14,-212
