,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,1331,319,-54,265,-463,415,-111,-595,1001,-236,0,512,512,-85,191,0,-2,-2,-1389,-1389,-480,-46,-1917,-736,194,-480
2022-08-31,1468.00000,160.00000,143.00000,303.00000,-415.00000,-1363.00000,-128.00000,-1414.00000,357.00000,-264.00000,,-89.00000,-89.00000,139.00000,-214.00000,,-1.00000,-1.00000,-901.00000,-901.00000,-480.00000,-22.00000,-1404.00000,-1348.00000,170.00000,-480.00000
2022-05-31,1439,296,-274,22,-970,-804,-206,-310,1151,-242,0,409,409,20,187,0,11,11,-899,-899,-481,-11,-1380,-130,171,-481
2022-02-28,1396,183,104,287,-77,-1140,-195,-1514,169,-154,0,-380,-380,-72,-606,0,-9,-9,-1087,-1087,-483,-31,-1610,-2047,161,-483
2021-11-30,1337,193,98,291,507,167,-202,1129,2757,-178,0,-1359,-1359,-69,-1606,0,0,0,-598,-598,-438,-67,-1103,31,170,-438
2021-08-31,1874.00000,168.00000,34.00000,202.00000,36.00000,101.00000,-242.00000,-965.00000,1111.00000,-184.00000,,583.00000,583.00000,102.00000,501.00000,,13.00000,13.00000,-279.00000,-279.00000,-435.00000,-42.00000,-743.00000,831.00000,136.00000,-435.00000
2021-05-31,1509,221,42,263,-769,-167,224,240,2012,-174,0,374,374,-13,187,0,-2,-2,-405,-405,-435,-5,-847,1373,144,-435
2021-02-28,1449,112,-4,108,84,-647,-243,-267,1290,-177,0,-861,-861,-72,-1110,0,-37,-37,188,188,-434,-37,-320,-119,142,-434
2020-11-30,1251,247,179,426,69,632,175,796,2473,-168,0,-2074,-2074,254,-1988,0,-97,-97,479,479,-385,-41,-44,487,189,-385
2020-08-31,1518.00000,217.00000,-129.00000,88.00000,-990.00000,689.00000,-338.00000,-724.00000,882.00000,-176.00000,,-715.00000,-715.00000,2.00000,-889.00000,,-113.00000,-113.00000,302.00000,302.00000,-384.00000,-53.00000,-248.00000,-200.00000,136.00000,-384.00000
2020-05-31,-790,223,190,413,1714,-1399,-160,376,-1,-289,0,18,18,1,-270,6134,48,6182,5,5,-381,-5,5801,5485,126,-381
2020-02-29,847,534,-180,354,93,153,-427,-21,1180,-275,0,166,166,139,30,0,-293,-293,-749,-749,-382,-18,-1442,-207,113,-382
2019-11-30,1115,187,-25,162,-112,-338,-105,-365,912,-238,0,-202,-202,0,-440,0,49,49,-550,-550,-344,-13,-858,-376,110,-344
2019-08-31,1367.00000,175.00000,87.00000,262.00000,-456.00000,-270.00000,38.00000,-1235.00000,394.00000,-284.00000,,45.00000,45.00000,-109.00000,-348.00000,,239.00000,239.00000,-888.00000,-888.00000,-345.00000,-16.00000,-1010.00000,-1020.00000,80.00000,-345.00000
2019-05-31,989,184,81,265,190,-264,-36,756,2010,-273,0,130,130,0,-143,0,-11,-11,-668,-668,-346,-1,-1026,771,99,-346
2019-02-28,1101,177,157,334,-136,37,-43,-367,1068,-216,0,339,339,1,124,0,7,7,-621,-621,-348,-15,-977,272,93,-348
2018-11-30,847,178,129,307,-30,-238,-41,370,1524,-287,0,375,375,0,88,0,-6,-6,-1124,-1124,-318,-10,-1458,141,92,-318
2018-08-31,1092.00000,181.00000,225.00000,406.00000,-294.00000,-25.00000,-83.00000,-197.00000,1301.00000,-343.00000,,6.00000,6.00000,4.00000,-333.00000,,-321.00000,-321.00000,-1173.00000,-1173.00000,-320.00000,-18.00000,-1832.00000,-967.00000,41.00000,-320.00000
2018-05-31,1137,200,174,374,184,-10,509,759,2270,-300,0,72,72,-22,-250,20,327,347,-1381,-1381,-323,-30,-1387,587,60,-323
2018-02-28,-921,198,639,837,-140,-2,-266,871,787,-231,0,983,983,0,752,-6,-1218,-1224,-684,-684,-325,-1,-2234,-642,55,-325
2017-11-30,767,191,-19,172,244,-147,335,384,1323,-227,0,13,13,0,-214,-7,895,888,-810,-810,-295,1,-216,891,53,-295
2017-08-31,950.00000,185.00000,-28.00000,157.00000,-101.00000,-96.00000,-543.00000,-532.00000,575.00000,-270.00000,,258.00000,258.00000,,-12.00000,-7.00000,9.00000,2.00000,-646.00000,-646.00000,-300.00000,-54.00000,-998.00000,-395.00000,50.00000,-300.00000
2017-05-31,1008,188,-48,140,120,-74,32,-186,962,-329,0,-191,-191,0,-520,-4,303,299,-644,-644,-299,-21,-665,-213,53,-299
2017-02-28,1141,170,-134,36,-228,143,-67,-63,1114,-263,0,-480,-480,19,-724,-48,3,-45,-374,-374,-298,0,-717,-318,51,-298
2016-11-30,842,178,61,239,-34,-238,-22,-99,982,-223,0,546,546,-11,312,1477,0,1477,-774,-774,-267,0,436,1680,54,-267
2016-08-31,1249.00000,180.00000,-54.00000,126.00000,-284.00000,-62.00000,-63.00000,-587.00000,788.00000,-277.00000,,243.00000,243.00000,-42.00000,-76.00000,-4.00000,21.00000,17.00000,-942.00000,-942.00000,-269.00000,-8.00000,-1202.00000,-479.00000,57.00000,-269.00000
2016-05-31,846,163,-108,55,184,-231,-12,586,1487,-241,0,-258,-258,9,-490,-4,1,-3,-403,-403,-270,-253,-929,94,60,-270
2016-02-29,950,177,211,388,15,-5,-35,-462,876,-286,0,442,442,-3,153,-3,-101,-104,-1416,-1416,-273,30,-1763,-807,60,-273
2015-11-30,785,157,96,253,-191,-254,-41,-493,545,-288,0,-24,-24,0,-312,876,81,957,-452,-452,-239,126,392,605,62,-239
2015-08-31,1179.00000,165.00000,55.00000,220.00000,52.00000,-100.00000,-73.00000,-908.00000,491.00000,-318.00000,,-67.00000,-67.00000,,-385.00000,-1.00000,-48.00000,-49.00000,-460.00000,-460.00000,-240.00000,75.00000,-674.00000,-606.00000,54.00000,-240.00000
2015-05-31,865,168,-92,76,-107,-111,-113,401,1342,-240,0,447,447,0,207,-5,20,15,-537,-537,-241,68,-695,837,51,-241
2015-02-28,791,165,210,375,68,-192,27,625,1791,-235,0,19,19,0,-216,-5,-25,-30,-553,-553,-242,34,-791,742,48,-242
2014-11-30,655,161,253,414,26,-207,-58,-205,864,-225,0,-221,-221,0,-446,-8,-41,-49,-238,-238,-207,72,-422,-30,49,-207
2014-08-31,962.00000,155.00000,131.00000,286.00000,-203.00000,-111.00000,,-565.00000,683.00000,-260.00000,,540.00000,540.00000,,280.00000,-8.00000,-17.00000,-25.00000,-692.00000,-692.00000,-209.00000,44.00000,-882.00000,83.00000,43.00000,-209.00000
2014-05-31,698,155,88,243,-43,-156,12,387,1328,-208,0,233,233,-1,24,-10,38,28,-837,-837,-212,24,-997,356,46,-212
2014-02-28,682,134,22,156,-166,-72,-97,-101,737,-221,0,179,179,0,-42,-10,-22,-32,-713,-713,-212,37,-920,-222,43,-212
2013-11-30,534,145,46,191,13,-216,-23,-395,330,-204,0,-291,-291,0,-495,-55,56,1,-263,-263,-187,44,-405,-575,46,-187
2013-08-31,779.00000,152.00000,66.00000,218.00000,-102.00000,-61.00000,-102.00000,-379.00000,618.00000,-244.00000,,-449.00000,-449.00000,-1.00000,-694.00000,-2.00000,3.00000,1.00000,-432.00000,-432.00000,-188.00000,27.00000,-592.00000,-676.00000,42.00000,-188.00000
2013-05-31,655,143,188,331,104,-114,51,354,1340,-160,0,-1082,-1082,16,-1226,984,17,1001,-113,-113,-188,38,738,843,46,-188
2013-02-28,866,93,-193,-100,16,-64,-46,-319,447,-174,561,-255,-255,-6,126,-2,3,1,-185,-185,-188,20,-352,266,45,-188
2012-11-30,384,129,121,250,145,-24,30,76,710,-143,225,-136,-136,-7,-61,-3,-29,-32,-336,-336,-162,6,-524,126,46,-162
2012-08-31,567.00000,137.00000,20.00000,157.00000,-123.00000,-17.00000,-63.00000,-189.00000,535.00000,-107.00000,,333.00000,333.00000,-5.00000,221.00000,-42.00000,19.00000,-23.00000,-727.00000,-727.00000,-165.00000,8.00000,-907.00000,-152.00000,37.00000,-165.00000
2012-05-31,537,76,-17,59,-90,-124,8,303,899,-183,0,-253,-253,24,-412,-2,40,38,-133,-133,-165,30,-230,311,35,-165
2012-02-29,560,122,28,150,-142,-136,-94,-382,328,-120,0,257,257,29,166,-67,-38,-105,-172,-172,-165,26,-416,92,34,-165
2011-11-30,469,87,31,118,50,-157,4,-77,510,-145,0,651,651,9,515,-2,-31,-33,-562,-562,-144,29,-710,321,36,-144
2011-08-31,645.00000,111.00000,29.00000,140.00000,-141.00000,-398.00000,-59.00000,-698.00000,87.00000,-113.00000,,484.00000,484.00000,-54.00000,317.00000,-132.00000,-18.00000,-150.00000,-479.00000,-479.00000,-145.00000,30.00000,-744.00000,-347.00000,25.00000,-145.00000
2011-05-31,594,98,21,119,-103,-152,-43,129,842,-129,0,-255,-255,-35,-419,-2,46,44,-541,-541,-147,10,-634,-177,27,-147
2011-02-28,523,85,-39,46,-134,-147,-2,-246,323,-111,0,682,682,-2,569,-2,10,8,-416,-416,-148,14,-542,364,28,-148
2010-11-30,457,113,26,139,46,-134,-3,-161,435,-102,0,-350,-350,-35,-487,-2,17,15,-116,-116,-129,34,-196,-242,29,-129
2010-08-31,559.00000,62.00000,21.00000,83.00000,-82.00000,-118.00000,13.00000,-430.00000,212.00000,-89.00000,,-614.00000,-614.00000,19.00000,-684.00000,-2.00000,-32.00000,-34.00000,-441.00000,-441.00000,-131.00000,6.00000,-600.00000,-1069.00000,21.00000,-131.00000
2010-05-31,522,134,-45,89,93,70,-34,664,1275,-95,0,-259,-259,50,-304,-1,32,31,-74,-74,-130,21,-152,854,21,-130
2010-02-28,497,87,78,165,-196,-37,-35,-150,512,-66,0,153,153,14,101,-2,8,6,-289,-289,-132,12,-403,190,23,-132
2009-11-30,375,94,61,155,191,157,54,138,668,-84,0,-610,-610,-39,-733,-2,4,2,-46,-46,-122,18,-148,-226,24,-122
2009-08-31,513.00000,81.00000,73.00000,154.00000,94.00000,95.00000,-55.00000,42.00000,709.00000,-80.00000,,-221.00000,-221.00000,-31.00000,-332.00000,-27.00000,-249.00000,-276.00000,32.00000,32.00000,-121.00000,7.00000,-358.00000,-30.00000,91.00000,-121.00000
2009-05-31,341.7,127.9,20.3,148.2,135.8,214.5,69,583.7,1073.6,-102.3,0,-453.5,-453.5,-40.5,-596.3,-1.9,5.2,3.3,38.2,38.2,-121.4,3,-76.9,398.8,44,-121.4
2009-02-28,1145.3,656.1,-143.3,512.8,-373.8,-182.5,-55,-995.7,662.4,-320.7,0,-65.5,-65.5,184.5,-201.7,-5.1,171.8,166.7,-500.2,-500.2,-345.6,22,-657.1,-241.8,127,-345.6
