,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-15.931,84.187,70.499,154.686,277.551,-17.166,-11.443,98.609,237.364,-34.399,0,0,0,1.323,-33.076,0,0,-200.346,-200.346,-0.71,-201.056,7.189,19.708
2022-09-30,188.615,84.7,88.359,173.059,-109.495,8.431,-31.691,-94.256,267.418,-47.002,0,0,0,1.614,-45.388,0,0,-149.53,-149.53,-17.484,-167.014,52.78,31.789
2022-06-30,68.88400,85.72100,20.95500,106.67600,33.76700,-90.14700,127.31300,97.44600,273.00600,-43.45200,-0.09500,,,4.65300,-38.89400,,,-341.02800,-341.02800,-4.91500,-345.94300,-113.83200,35.41400
2022-03-31,212.275,89.854,60.771,150.625,62.615,-45.949,-13.024,-17.02,345.88,-439.609,389.192,0,0,6.637,-43.78,0,0,-315.244,-315.244,-1.753,-316.997,-16.115,10.271
2021-12-31,216.263,92.334,72.673,165.007,32.81,-103.11,5.83,-264.305,116.965,-50.433,-222.374,0,0,-11.772,-284.579,301.57,301.57,-295.802,-295.802,-1.519,4.249,-164.341,19.307
2021-09-30,319.189,89.395,27.081,116.476,-167.569,-26.823,-184.63,-190.837,244.828,-47.312,0,0,0,7.677,-39.635,0,0,-212.479,-212.479,-38.904,-251.383,-47.269,28.691
2021-06-30,285.62600,89.83200,17.75100,107.58300,-35.75200,-60.31400,-10.02000,-51.63900,341.57000,-65.24800,-166.81800,,,4.10400,-227.96200,,,-290.45900,-290.45900,-20.92000,-311.37900,-197.77900,25.23800
2021-03-31,298.737,85.986,-25.527,60.4591,48.779,-29.461,-4.86,43.733,402.929,-124.524,47.069,0,0,0.094,-77.361,-1.25,-1.25,-161.074,-161.074,1.289,-161.035,163.389,18.168
2020-12-31,201.035,124.849,78.449,203.298,-22.046,-2.993,5.014,-0.658,403.675,-36.119,0.451,0,0,5.696,-29.972,-986.744,-986.744,-153.156,-153.156,-1.423,-1141.323,-765.987,19.247
2020-09-30,136.917,123.154,83.453,206.607,-159.037,49.287,-4.365,-62.556,280.968,-43.554,-47.675,0,0,3.251,-87.978,801.25,801.25,-93.681,-93.681,-36.975,670.594,864.013,30.048
2020-06-30,96.92200,122.11500,-2.57400,119.54100,41.02900,-7.44300,-0.43900,-2.18200,214.28100,-29.83200,0.15500,,,6.33000,-23.34700,305.50000,305.50000,-64.57500,-64.57500,-11.08400,229.84100,421.28200,21.85900
2020-03-31,50.39,118.687,27.635,146.322,46.195,-34.611,-16.273,17.683,214.395,-981.143,494.783,-1.95,-1.95,5.668,-482.642,0,0,-112.346,-112.346,-1.243,-113.589,-382.568,13.768
2019-12-31,161.356,116.785,-12.242,104.543,-4.176,2.989,-9.915,34.822,300.721,-40.666,-195.11,0,0,-0.021,-235.797,559,559,-107.687,-107.687,-5.888,445.425,510.939,16.381
2019-09-30,83.038,111.189,26.114,137.303,-78.288,35.503,7.621,-46.929,173.412,-38.043,-8.122,0,0,0.994,-45.171,0,0,-154.206,-154.206,-15.937,-170.143,-42.709,20.876
2019-06-30,39.54100,122.27000,22.23400,144.50400,57.29800,6.37100,1.84000,73.07300,257.11800,-50.29500,-291.55100,1.95000,1.95000,-2.23600,-342.13200,100.00000,100.00000,-90.69400,-90.69400,-5.44000,3.86600,-81.43200,24.95300
2019-03-31,61.517,120.889,7.158,128.047,42.725,-47.064,-18.958,-2.219,187.345,-35.31,0,-0.003,-0.003,-6.779,-42.092,200.8679,200.8679,-283.562,-283.562,-2.444,-85.138,61.318,12.706
2018-12-31,69.517,185.286,25.34,210.626,71.03,6.918,8.922,53.08,333.223,-71.961,0,0,0,-0.746,-72.707,-22.753,-22.753,-144.947,-144.947,-0.867,-168.567,91.796,18.624
2018-09-30,32.084,180.15,54.488,234.638,-131.025,30.143,4.092,-52.185,214.537,-70.102,0,58.132,58.132,-10.825,-22.795,134.727,134.727,-78.161,-78.161,-24.222,32.344,223.884,20.905
2018-06-30,-29.99300,176.77200,23.23800,200.01000,-14.84900,-29.58700,-29.69700,-94.75800,75.25900,-43.56400,,-57.72900,-57.72900,-8.66700,-109.96000,-458.17200,-458.17200,-90.11500,-90.11500,-7.01600,-555.30300,-592.01800,19.34500
2018-03-31,-12.501,174.961,50.736,225.6969,103.957,-48.861,-46.001,45.762,258.958,-32.177,0,0,0,1.139,-31.038,-107.729,-107.729,-35.681,-35.681,-0.378,-143.788,84.721,9.859
2017-12-31,-33.082,181.977,4.742,186.7191,11.168,36.76,124.461,116.431,270.068,-45.439,0,0,0,14.315,-31.124,100,100,-70.756,-70.756,-2.241,27.003,266.458,13.715
2017-09-30,35.919,180.06,14.308,194.368,-86.318,10.25,2.656,-10.429,219.858,-67.791,0,0,0,-30.064,-97.855,0,0,-44.659,-44.659,-15.601,-60.26,62.253,23.458
2017-06-30,-30.62400,177.21700,18.11200,195.32900,-15.90100,-40.03600,2.23100,-61.06900,103.63600,-124.42800,,,,7.03600,-117.39200,,,-11.39900,-11.39900,-8.40400,-19.80300,-32.80900,21.12600
2017-03-31,55.908,185.359,10.296,195.655,63.501,-25.593,-51.489,-4.492,247.071,-165.747,0.008,-0.469,-0.469,-0.886,-167.094,0,0,-30.135,-30.135,-0.439,-30.574,49.656,15.554
2016-12-31,-78.638,178.644,13.375,192.019,70.546,30.84,125.685,106.981,220.362,-136.536,0.018,0,0,0.089,-136.429,0,0,-55.751,-55.751,-0.293,-56.044,26.569,16.655
2016-09-30,11.847,174.487,12.607,187.094,-91.419,18.581,10.073,51.057,249.998,-119.979,-0.522,13.873,13.873,-5.196,-111.824,0,0,-90.285,-90.285,-11.901,-102.186,36.339,26.042
2016-06-30,-5.67500,166.08700,31.62600,197.71300,-79.50100,-30.27000,-45.88800,-132.64900,59.38900,-130.44000,-117.49800,172.92000,172.92000,0.01700,-75.00100,,,25.96200,25.96200,-2.80800,23.15400,7.15300,30.59400
2016-03-31,-24.202,158.035,31.727,189.7619,-20.185,-19.119,-7.642,-5.866,159.694,-84.47,0,1.426,1.426,-13.24,-96.284,0,0,-488.599,-488.599,-1.083,-489.682,-425.848,25.308
2015-12-31,-11.127,177.169,8.194,185.3631,141.363,-13.194,-15.121,43.77,218.006,-61.468,0,-171.907,-171.907,25.413,-207.962,925,925,-239.303,-239.303,-13.081,672.616,682,30.308
2015-09-30,4.448,173.888,35.039,208.927,-30.251,-30.197,6.9,-44.58,168.795,-80.431,0,205.845,205.845,-24.745,100.669,75,75,-488.609,-488.609,-11.836,-425.445,-156.005,35.73
2015-06-30,2.03600,165.85900,48.54400,214.40300,-54.24500,-21.60600,-21.78700,-75.00700,141.43200,-89.25500,,14.11800,14.11800,,-75.13700,,,-31.62300,-31.62300,-8.85000,-40.47300,25.78800,48.17000
2015-03-31,6.482,160.237,-77.137,83.1,47.471,55.086,28.979,48.943,138.525,-127.403,222.824,-26.402,-26.402,8.145,78.264,0,0,-24.141,-24.141,-10.267,-34.408,181.721,42.11
2014-12-31,87.863,18.514,2.782,21.296,2.743,-10.989,-33.743,-37.021,72.138,-20.751,1.5,-48.47,-48.47,0,-68.821,0,0,2.88,2.88,1.32,4.2,7.418,4.119
2014-09-30,63.311,19.112,13.129,32.241,-33.977,-16.37,0.82,-36.852,58.7,-19.289,0,-24.685,-24.685,0,-43.974,0,0,5.832,5.832,-7.301,-1.469,13.116,9.543
2014-06-30,38.64700,19.12500,11.79100,30.91600,-46.60600,-17.30400,-0.35100,-33.30200,36.26100,-2.41900,,-26.99200,-26.99200,,-29.41100,-87.50300,-87.50300,10.62700,10.62700,-4.34500,-81.22100,-74.33900,9.16900
2014-03-31,-1.048,26.271,-27.728,-1.457,0.016,-25.05,19.318,-1.703,31.712,-7.161,0,10.038,18.578,-1.32,10.76,0.047,0.047,7.446,12.146,0.016,12.209,54.41,-24.75
2013-12-31,66.678,-13.041,27.728,14.687,-0.016,25.05,-19.318,7.063,27.878,-3.299,47.69,-10.038,-97.048,0,-53.32,-0.047,79.383,-7.446,-4.436,-1.736,73.221,49.68,24.75
2013-03-31,-52.99,72.36,0,72.36,0,0,0,-8.67,71.25,-53.79,-47.69,0,87.01,0,-14.47,0,-79.43,0,-3.01,-7.22,-89.67,-33.86,0
