,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-15,79,71,150,42,-1,-10,36,7,142,-32,0,0,0,0,0,3,-29,-1,-128,-129,0,0,-26,-6,-161,-53,12,-26
2022-09-30,-1077,1269,-90,1179,-10,-45,-9,-13,7,109,-32,0,0,0,0,0,6,-26,2,26,28,0,0,-27,-7,-6,56,14,-27
2022-06-30,73,83,50,133,19,-54,30,-33,-33,173,-41,0,0,0,0,0,1,-40,0,-125,-125,1,1,-27,-1,-152,-12,22,-27
2022-03-31,69.00000,84.00000,-1.00000,83.00000,34.00000,-41.00000,19.00000,-21.00000,-59.00000,93.00000,-44.00000,,,,,,1.00000,-43.00000,3.00000,163.00000,166.00000,-145.00000,-145.00000,-24.00000,-7.00000,-10.00000,35.00000,11.00000,-24.00000
2021-12-31,119,85,1,86,-28,24,-4,-16,17,222,-41,0,1,0,0,0,1,-39,1,32,33,-106,-106,-24,-25,-122,58,-6,-24
2021-09-30,84,85,12,97,-74,-8,-21,6,-9,172,-36,0,-7,0,0,0,3,-40,-295,141,-154,2,2,-24,-3,-179,-51,22,-24
2021-06-30,96,88,17,105,-28,-29,-8,6,13,214,-35,0,-141,0,0,0,0,-176,9,-24,-15,12,12,-22,0,-25,14,19,-22
2021-03-31,112.00000,88.00000,13.00000,101.00000,13.00000,-51.00000,-16.00000,-26.00000,-164.00000,49.00000,-30.00000,,-73.00000,,,,,-103.00000,4.00000,30.00000,34.00000,-57.00000,-57.00000,-22.00000,-8.00000,-53.00000,-120.00000,13.00000,-22.00000
2020-12-31,105,87,2,89,-19,50,34,-19,70,264,-27,0,-1075,0,0,0,1,-1101,-1,3,2,5,5,-22,0,-15,-834,11,-22
2020-09-30,58,88,-1,87,-119,74,27,14,76,221,-22,0,-2,0,0,0,-1,-25,7,0,7,0,0,-22,-22,-37,163,17,-22
2020-06-30,-96,79,-21,58,216,56,-60,67,212,174,-13,0,0,0,0,0,49,36,742,-32,710,2,2,-22,-32,658,873,9,-22
2020-03-31,-140.00000,237.00000,51.00000,288.00000,53.00000,-57.00000,-29.00000,-37.00000,-158.00000,-10.00000,-25.00000,,,,,,9.00000,-16.00000,-1.00000,31.00000,30.00000,-136.00000,-136.00000,-22.00000,-2.00000,-130.00000,-169.00000,10.00000,-22.00000
2019-12-31,95.4,76.4,12.6,89,-69.3,59.4,57.5,4.4,121.1,305.5,-40.4,0,-0.3,-0.1,0,-0.1,11.5,-29.3,0.6,-1.6,-1,-69.8,-69.8,-22.3,-8.6,-101.7,178.5,16.2,-22.3
2019-09-30,85,79.3,4.4,83.7,-19.2,-30.1,1.7,-30,-9.6,159.1,-19.8,0,-3.3,0.4,0,0.4,7.5,-15.2,1.3,-44.1,-42.8,-97.6,-97.6,-19.6,-0.8,-160.8,-24,15.4,-19.6
2019-06-30,36.4,83.5,57.4,140.9,-38,13.2,-20.9,27.8,-32.2,145.1,-29.2,0,12.6,0.5,0,0.5,4.3,-11.8,-131.9,44.6,-87.3,-3.4,-3.4,-19.6,0,-110.3,24.7,25.2,-19.6
2019-03-31,39.20000,83.80000,1.60000,85.40000,36.50000,-31.50000,-11.30000,-11.20000,-95.30000,29.30000,-33.60000,,-1.00000,-0.80000,,-0.80000,22.70000,-12.70000,-1.00000,-67.90000,-68.90000,19.80000,19.80000,-19.50000,-30.60000,-99.20000,-84.20000,9.20000,-19.50000
