,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,51,52,103,155,86,-117,44,48,254,-29,-31,0,-9,4,-65,104,-3,101,-285,-285,-3,-7,-194,-6,10,-3
2022-09-30,162,52,3,55,-114,-13,-59,-119,98,-24,-120,0,3,-11,-152,164,21,185,-90,-90,-6,-15,74,15,17,-6
2022-06-30,167,53,-8,45,5,13,-63,-55,157,-24,-7,5,7,-8,-32,-4,0,-4,-110,-110,-7,-12,-133,-18,15,-7
2022-03-31,186.00000,55.00000,7.00000,62.00000,16.00000,-9.00000,26.00000,-155.00000,93.00000,-19.00000,,-5.00000,-1.00000,-7.00000,-27.00000,-53.00000,30.00000,-23.00000,2.00000,2.00000,-5.00000,-36.00000,-62.00000,8.00000,12.00000,-5.00000
2021-12-31,152,59,7,66,87,-87,50,59,277,-30,-156,0,6,-18,-198,105,-5,100,-150,-150,-17,-12,-79,-1,20,-17
2021-09-30,169,52,1,53,-185,-84,45,-11,211,-17,-119,10,6,-8,-138,-2,-8,-10,-50,-50,-5,-50,-115,-48,28,-5
2021-06-30,164,50,5,55,-17,-46,-41,-60,159,-18,-296,204,202,-6,-118,98,-5,93,-112,-112,3,-3,-19,23,17,3
2021-03-31,175.00000,49.00000,23.00000,72.00000,119.00000,-78.00000,-45.00000,-184.00000,63.00000,-14.00000,,-204.00000,-204.00000,-5.00000,-223.00000,-18.00000,,-18.00000,-89.00000,-89.00000,-7.00000,-6.00000,-120.00000,-277.00000,13.00000,-7.00000
2020-12-31,147.918,47.485,48.054,95.539,10.858,-6.17,45.746,101.481,344.938,-11.201,-7.792,2,2,-4.051,-21.044,-0.964,-439.139,-440.103,-0.211,-0.211,-8,-2.471,-450.785,-112.398,15.648,-8
2020-09-30,151.784,44.569,-16.684,27.885,-299.53,-39.53,136.87,81.663,261.332,-7.211,-14.483,0,0,-2.621,-24.315,-0.877,4.437,3.56,-0.064,-0.064,3.466,-4.654,2.308,237.385,5.71,3.466
2020-06-30,-13.267,46.963,1.776,48.739,100.955,-59.338,-166.614,-126.217,-90.745,-7.58,0.222,0,0,-8.678,-16.036,-349.681,121.063,-228.618,0.064,0.064,-3.466,1.607,-230.413,-321.258,5.156,-3.466
2020-03-31,133.56500,46.98300,-14.14600,32.83700,-1.28300,73.03800,-22.00200,-87.92700,78.47500,-23.00800,-37.94700,12.00000,12.00000,-4.65000,-53.60500,241.52200,358.63900,600.16100,-73.78900,-73.78900,,-34.48200,491.89000,511.27100,-17.51400,
2019-12-31,336.445,48.732,-229.262,-180.53,42.695,-60.391,13.057,136.645,292.56,-27.263,657.093,-359.128,-359.128,-1.662,269.04,-250.692,-84.066,-334.758,-200,-200,-1.931,-0.063,-536.752,30.841,11.81,-1.931
2019-09-30,148.853,46.855,9.18,56.035,-97.932,-11.71,-8.25,27.147,232.035,-18.248,-34.652,0,0,-2.906,-55.806,-1.214,-134.834,-136.048,-98.218,-98.218,4.031,40.447,-189.788,-9.668,13.338,4.031
2019-06-30,119.196,49.055,11.643,60.698,-5.872,8.922,-44.316,-16.663,163.231,-14.79,-18.468,0,0,-5.758,-39.016,-1.662,-56.895,-58.557,-76.782,-76.782,-2.807,16.577,-121.569,-3.191,12.662,-2.807
2019-03-31,114.64400,40.30000,-87.12700,-46.82700,-11.58000,77.88100,-17.78200,-101.55600,-33.73900,-15.91800,-603.97300,10.50000,10.50000,10.80000,-598.59100,-6.63500,-652.11700,-658.75200,211.12400,211.12400,52.20500,1027.55200,632.12900,31.23000,7.11000,52.20500
2018-12-31,139.01,36.7,71.12,107.82,13.816,18.752,-106.789,47.122,293.952,-21.964,-14.244,1,1,-11.389,-46.597,-0.252,-193.357,-193.609,-85.894,-85.894,-1.209,-4.548,-285.26,-41.051,2.051,-1.209
2018-09-30,126.976,35.783,-3.125,32.658,-102.215,8.216,-54.408,14.234,173.868,-19.09,-37.652,0,0,-14.975,-71.717,14.599,-34.119,-19.52,-60.697,-60.697,-1.464,-14.567,-96.248,7.615,9.516,-1.464
2018-06-30,147.509,35.441,91.285,126.726,-27.114,-6.8,-14.136,13.595,287.83,-16.586,-0.98,0,0,-21.908,-39.474,-16.741,226.162,209.421,-53.355,-53.355,-4.129,-401.964,-250.027,10.074,13.355,-4.129
2018-03-31,148.63100,35.70600,-27.04800,8.65800,-11.68800,-61.21000,9.68800,-228.23300,-70.94400,-13.64300,-0.36400,,,-21.15900,-35.16600,92.65900,212.05500,304.71400,3.02200,3.02200,-0.54900,-279.42800,27.75900,-77.75500,7.69900,-0.54900
2017-12-31,8.51,-7.423,192.002,184.579,98.079,-170.491,-30.191,44.925,238.014,-7.089,77.371,34.048,34.048,-125.811,-21.481,0.243,109.391,109.634,-224.67,-224.67,15.248,-28.831,-128.619,97.837,4.858,15.248
2017-09-30,150.948,48.74,23.318,72.058,-108.461,-88.464,-13.134,-91.644,131.362,-18.35,-109.2,0,0,-1.822,-129.372,100.093,54.288,154.381,-124.759,-124.759,-4.32,-24.708,0.594,5.225,12.632,-4.32
2017-06-30,149.582,47.789,10.642,58.431,-20.623,87.522,-60.388,20.717,228.73,-19.654,-137.766,0,0,0.677,-156.743,97.183,-94.775,2.408,-49.251,-49.251,-16.337,-5.004,-68.184,11.766,10.858,-16.337
2017-03-31,150.25300,44.74900,17.56800,62.31700,-97.49300,28.27800,2.68900,-265.16100,-52.59100,-17.31100,-11.82000,,,-5.54900,-34.68000,-56.36700,234.03700,177.67000,-46.05400,-46.05400,-3.26400,-44.69400,83.65800,0.50700,8.49700,-3.26400
2016-12-31,153.473,43.951,0.742,44.693,123.931,-153.3,13.124,66.342,264.508,-25.654,-102.032,0,0,-8.902,-136.588,-5.289,102.022,96.733,-198.373,-198.373,-5.984,-21.464,-129.088,-13.811,14.619,-5.984
2016-09-30,145.291,42.431,16.232,58.663,-74.884,14.118,3.095,-25.325,178.629,-18.345,-34.102,0,0,-7.001,-59.448,14.628,94.205,108.833,-192.297,-192.297,-6.206,-16.644,-106.314,12.632,16.171,-6.206
2016-06-30,133.098,42.431,3.609,46.04,-16.935,20.465,-13.958,98.099,277.237,-13.575,-39.879,0,0,4.064,-49.39,33.633,-192.59,-158.957,-54.351,-54.351,-18.064,-5.949,-237.321,-8.054,13.312,-18.064
2016-03-31,124.53300,40.96700,23.68500,64.65200,-39.76700,13.93000,-24.91800,-266.98300,-77.79800,-12.60500,-52.56200,,,-5.82900,-70.99600,202.44600,95.11100,297.55700,-93.59900,-93.59900,-2.09600,-56.48300,145.37900,-0.47200,14.14400,-2.09600
2015-12-31,140.843,40.236,18.585,58.821,-8.111,-86.601,5.109,127.306,326.97,-19.52,-29.783,0,0,-7.259,-56.562,-130.618,140.253,9.635,-145.744,-145.744,-10.985,-102.929,-250.023,11.605,9.534,-10.985
2015-09-30,141.396,42.716,12.495,55.211,-56.438,-105.244,-37.136,-89.179,107.428,-18.734,-80.762,0,0,-6.068,-105.564,8.658,54.909,63.567,-36.889,-36.889,-7.635,-0.313,18.73,13.413,13.079,-7.635
2015-06-30,129.608,39.026,14.067,53.093,-45.591,8.882,-22.69,25.055,207.756,-17.937,-47.679,0.02,0.02,-1.994,-67.59,-68.507,-30.103,-98.61,-34.219,-34.219,-11.568,-8.114,-152.511,-12.134,13.502,-11.568
2015-03-31,111.58000,37.14900,19.77500,56.92400,-9.86100,-11.90600,-3.65900,-195.15800,-26.65400,-15.49300,-13.63700,,,-1.18500,-30.31500,124.26400,-19.88600,104.37800,-68.13000,-68.13000,-3.11300,2.63900,35.77400,-30.27200,8.49900,-3.11300
2014-12-31,143.955,39.57,21.972,61.542,26.897,-74.346,1.521,68.522,274.019,-21.334,-60.173,1.25,1.25,-2.822,-83.079,-92.363,-5.643,-98.006,-66.331,-66.331,-2.186,0.386,-166.137,12.932,12.624,-2.186
2014-09-30,124.236,39.179,12.125,51.304,-22.139,-46.103,-18.677,-1.038,174.502,-22.806,-141.253,2,2,-4.171,-166.23,-35.178,105.045,69.867,-72.001,-72.001,-5.111,-2.597,-9.842,-13.156,13.747,-5.111
2014-06-30,127.117,37.353,15.93,53.283,-56.597,6.991,0.195,18.832,199.232,-19.492,-78.178,0,0,-2.566,-100.236,23.93,-61.529,-37.599,-71.31,-71.31,-13.926,-17.53,-140.365,-39.417,10.542,-13.926
2014-03-31,110.12800,36.13600,29.26900,65.40500,-29.60200,41.55900,-23.44600,-230.78200,-55.24900,-18.48400,-144.67900,,,-3.93100,-167.09400,189.99100,114.76800,304.75900,-58.85600,-58.85600,-3.76300,-80.44300,161.69700,-59.50100,8.96300,-3.76300
2013-12-31,134.969,31.954,12.198,44.152,48.341,-124.964,4.624,95.507,274.628,-21.482,-147.849,0,0,-3.516,-172.847,63.886,13.725,77.611,-60.856,-60.856,-1.175,-2.314,13.266,118.701,10.832,-1.175
2013-09-30,116.372,31.845,1.455,33.3,-48.296,-5.16,24.047,3.124,152.796,-16.799,-0.806,-13.364,-13.364,-2.076,-33.045,-60.863,0.09,-60.773,-71.783,-71.783,-5.041,1.028,-136.569,-8.924,7.963,-5.041
2013-06-30,121.435,31.843,25.794,57.637,-19.763,28.026,-26.927,95.726,274.798,-10.072,-1.349,0,0,-5.003,-16.424,-149.314,-34.467,-183.781,-70.409,-70.409,-10.216,-4.338,-268.744,-11.723,11.422,-10.216
2013-03-31,98.68600,38.59600,17.89200,56.48800,-25.39200,54.01100,14.00300,-193.22100,-38.04700,-11.86200,-32.35900,,,-0.06800,-44.28900,95.09500,22.82700,117.92200,-61.65000,-61.65000,-2.79200,2.59300,56.07300,-31.51800,5.31000,-2.79200
2012-12-31,121.715,33.333,34.812,68.145,32.036,-108.558,-35.602,9.801,199.661,-18.303,-13.977,3.2,3.2,-3.224,-32.304,47.495,-130.246,-82.751,-55.482,-55.482,-9.703,6.63,-141.306,32.744,5.446,-9.703
2012-09-30,105.31,30.6,18.241,48.841,-46.632,-73.687,-18.71,-75.606,78.545,-11.562,-85.913,2,2,0.255,-95.22,2.24,71.677,73.917,-55.74,-55.74,-2.986,-0.599,14.592,1.44,11.818,-2.986
2012-06-30,107.302,30.969,13.823,44.792,-1.896,1.192,-20.482,26.404,178.498,-9.149,-101.368,2.875,2.875,-2.334,-109.976,-24.675,76.4,51.725,-107.65,-107.65,-6.514,-12.357,-74.796,-13.917,11.295,-6.514
2012-03-31,89.06100,30.42000,6.55000,36.97000,-57.43300,-12.53200,12.40400,-174.63600,-48.60500,-12.22300,-18.98000,1.15000,1.15000,-2.05100,-32.10400,89.35000,-50.01600,39.33400,-8.52600,-8.52600,-2.08100,2.18200,30.90900,-45.47100,8.75400,-2.08100
2011-12-31,115.821,29.856,9.749,39.605,86.989,-29.498,8.044,122.4,277.826,-12.629,-5.767,0.15,0.15,-2.263,-20.509,-9.066,14.917,5.851,-63.258,-63.258,-2.177,-153.66,-213.244,40.412,10.887,-2.177
2011-09-30,100.808,28.571,17.439,46.01,-40.883,-18.559,-7.437,-56.491,90.327,-11.783,0,0.3,0.3,-0.877,-12.36,-0.74,-9.272,-10.012,-98.065,-98.065,-1.461,-11.26,-120.798,-54.917,13.883,-1.461
2011-06-30,105.056,29.121,3.675,32.796,-20.892,10.846,-9.969,0.146,137.998,-10.306,-10.022,0.05,0.05,1.484,-18.794,-22.289,-47.989,-70.278,4.124,4.124,-5.355,-4.792,-76.301,45.077,9.615,-5.355
2011-03-31,82.97100,28.34800,4.37800,32.72600,10.99000,-6.94400,-1.13100,-67.22300,48.47400,-10.45800,-133.61400,2.10000,2.10000,0.41300,-141.55900,1.47400,55.66000,57.13400,-8.28400,-8.28400,-1.06200,5.34100,53.12900,-33.63600,8.34500,-1.06200
2010-12-31,97.226,25.704,10.732,36.436,28.59,-27.106,10.886,84.993,218.655,-12.074,-46.27,0.05,0.05,-2.344,-60.638,-11.352,-159.695,-171.047,-39.829,-39.829,-2.792,6.242,-207.426,-53.382,10.165,-2.792
2010-09-30,94.49,26.038,15.742,41.78,-70.865,-26.465,-19.115,-88.433,47.837,-9.384,-101.73,19.538,19.538,0.012,-91.564,-141.501,200.863,59.362,-0.505,-0.505,-2.003,-138.699,-81.845,-117.386,12.467,-2.003
2010-06-30,93.163,27.359,1.575,28.934,-26.46,17.782,-26.141,-14.784,107.313,-8.48,-95.652,12.096,12.096,1.027,-91.009,-48.332,0.263,-48.069,5.756,5.756,-6.438,1.739,-47.012,-34.272,6.857,-6.438
