,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1197.1,100.1,40.7,140.8,219.6,-144.3,-40.9,382,1719.9,-152.2,-100,0,-1605.5,-1605.5,0,-1857.7,0,0,-247.6001,-247.6001,0,-247.6,-385.4,232
2022-09-30,1315.7,92.6,-112.2,-19.6,-386.9,-223.5,103.5,-667.2,628.9,-142.5,-926.8,0,1261.6,1261.6,0,192.3,0,0,-724.9999,-724.9999,0,-725,96.2,166.3
2022-06-30,852.1,74.4,419.2,493.6,-322.4,-240.1,-143.5,-781.3,564.4,-153.6,0,-230.3,-30,-30,0,-413.9,0,0,-101.1,-101.1,0,-101.1,49.4,159.8
2022-03-31,973.50000,74.30000,230.70000,305.00000,1197.50000,-88.60000,-35.30000,823.20000,2101.70000,-141.80000,,,-1563.50000,-1563.50000,,-1705.30000,,,64.70000,64.70000,,64.70000,461.10000,166.90000
2021-12-31,2229,74.5,424.4,498.9001,-584.5,-163.7,27.1,-355.4,2372.5,-154.9,0,0,-1857.8,-1857.8,0,-2012.7,0,0,-906.5999,-906.5999,0,-906.6,-546.8,188.4
2021-09-30,1632.2,73.2,245,318.2,1541,-109.1,-45.4,1463.2,3413.6,-133.2,0,0,-2305.6,-2305.6,0,-2438.8,0,0,385.3999,385.3999,0,385.4,1360.2,136.9
2021-06-30,3098.9,71.1,-58.4,12.7,-2825.6,31.3,-149,-2484.9,626.7,-148.5,0,0,274.3,274.3,0,125.8,0,0,-118.2,-118.2,0,-118.2,634.3,145.5
2021-03-31,1115.20000,67.40000,25.30000,92.70000,-58.30000,-252.80000,-193.60000,-539.40000,668.50000,-115.30000,,,-943.70000,-943.70000,,-1059.00000,,,-366.40000,-366.40000,,-366.40000,-756.90000,130.90000
2020-12-31,1149.2,61.7,55.5,117.2,-80.8,-127,134.3,-35.4,1231,-161.4,0,0,-143.6,-143.6,0,-305,0,0,-305.3,-305.3,0,-305.3,620.7,121.5
2020-09-30,842.1,59.3,165.6,224.9,-1228.2,-169,16,-1321.3,-254.3,-153.2,0,0,-622.6,-622.6,0,-775.8,1981.9,481.9,130.1,130.1,0,612,-418.1,101.2
