,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1226,-368,-692,-1060,132,0,-954,-638,-2924,122,0,-1064,1662,598,-15,705,600,0,600,1234,1234,399,20,2253,52,383
2022-09-30,339,121,209,330,73,0,836,852,1521,-45,0,-195,-851,-1046,-1,-1092,0,0,0,-350,-350,-132,2,-480,-63,-126
2022-06-30,442,-361,777,416,-100,0,343,116,974,-46,0,1440,-1147,293,14,261,-600,0,-600,-441,-441,-132,-14,-1187,42,-127
2022-03-31,445.00000,608.00000,-294.00000,314.00000,-105.00000,,-225.00000,-330.00000,429.00000,-31.00000,,-181.00000,336.00000,155.00000,2.00000,126.00000,,,,-443.00000,-443.00000,-135.00000,-8.00000,-586.00000,-31.00000,-130.00000
2021-12-31,729,172,-167,5,-325,0,596,470,1204,-41,11,-98,-423,-521,-167,-718,0,0,0,-523,-523,-125,30,-618,-60,-120
2021-09-30,482,142,-160,-18,-37,0,955,828,1292,-45,0,-219,-905,-1124,0,-1169,588,0,588,-493,-493,-129,4,-30,89,-123
2021-06-30,905,-295,129,-166,-154,0,277,99,838,-24,0,-80,-29,-109,4,-129,0,0,0,-563,-563,-131,27,-667,28,-126
2021-03-31,249.00000,590.00000,-444.00000,146.00000,-66.00000,,430.00000,364.00000,759.00000,-23.00000,,-27.00000,-394.00000,-421.00000,-6.00000,-450.00000,,,,-123.00000,-123.00000,-121.00000,-22.00000,-266.00000,41.00000,-116.00000
2020-12-31,537,-1096,1122,26,-354,0,985,653,1216,-36,0,88,-1111,-1023,0,-1059,-576,500,-76,27,27,-121,-29,-199,-31,-116
2020-09-30,459,1419,-1240,179,-63,0,551,750,1388,-27,0,400,-1557,-1157,-38,-1222,407,-500,-93,1,1,-123,-37,-252,-102,-117
2020-06-30,468,155,-93,62,-48,0,365,439,969,-28,0,-1312,739,-573,39,-562,-681,0,-681,504,504,-121,-2,-300,71,-116
2020-03-31,273.00000,124.00000,310.00000,434.00000,-75.00000,,-387.00000,-409.00000,298.00000,-23.00000,,568.00000,234.00000,802.00000,-2.00000,777.00000,-237.00000,,-237.00000,-682.00000,-682.00000,-113.00000,5.00000,-1027.00000,39.00000,-108.00000
2019-12-31,548,143,-62,81,-196,0,508,414,1043,-30,0,-17,-836,-853,55,-828,-32,0,-32,-92,-92,-111,-13,-248,-28,-106
2019-09-30,535,126,-78,48,58,0,294,859,1442,-31,0,-595,-719,-1314,-5,-1350,93,0,93,-42,-42,-116,-23,-88,7,-111
2019-06-30,372,79,-69,10,57,0,125,343,725,-24,-1901,2027,-199,1828,-2,-99,-743,413,-330,-38,-38,-112,53,-427,179,-107
2019-03-31,630.00000,90.00000,-110.00000,-20.00000,,,-447.00000,-331.00000,279.00000,-20.00000,,108.00000,40.00000,148.00000,1.00000,129.00000,152.00000,-413.00000,-261.00000,-28.00000,-28.00000,-115.00000,-24.00000,-428.00000,-17.00000,-109.00000
