,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,992,240,-21,219,-213,-65,292,115,-307,669,-494,0,0,0,0,3,-491,-1000,-1000,-110,-110,-345,24,-1431,-1254,25,-345
2022-09-30,902,219,106,325,431,-99,-39,-386,-93,1283,-255,0,0,0,0,-378,-633,0,0,-25,-25,-345,-7,-377,273,20,-345
2022-06-30,766,212,-88,124,-198,-582,-52,805,-27,659,-224,0,0,0,0,6,-218,0,0,-800,-800,-349,3,-1146,-684,24,-349
2022-03-31,730.00000,213.00000,-10.00000,203.00000,26.00000,-234.00000,23.00000,1292.00000,1107.00000,1968.00000,-141.00000,,,,,-6.00000,-147.00000,,,-294.00000,-294.00000,-330.00000,107.00000,-517.00000,1304.00000,96.00000,-330.00000
2021-12-31,952,240,2,242,5,311,485,423,1179,1682,-385,0,0,0,0,4,-381,-1991,-1991,-337,-337,-332,-173,-2833,-1536,30,-332
2021-09-30,860,211,23,234,227,152,73,-387,65,1471,-196,0,0,0,0,3,-193,-500,-500,-139,-139,-332,-115,-1086,189,24,-332
2021-06-30,737,224,14,238,-64,-115,-148,400,73,1115,-172,0,0,0,0,-5,-177,994,994,-593,-593,-336,137,202,1139,32,-336
2021-03-31,708.00000,215.00000,21.00000,236.00000,-30.00000,57.00000,-216.00000,-492.00000,-681.00000,3.00000,-134.00000,,,,,3.00000,-131.00000,,,-759.00000,-759.00000,-315.00000,201.00000,-873.00000,-1013.00000,40.00000,-315.00000
2020-12-31,1002,235,22,257,707,636,343,-41,1606,2562,-345,0,0,0,0,-40,-385,-441,-441,-86,-86,-315,39,-803,1355,37,-315
2020-09-30,834,212,1,213,-335,299,224,-79,109,1119,-216,0,0,0,0,-151,-367,-1236,-1236,0,0,-315,-16,-1567,-831,30,-315
2020-06-30,625,219,-24,195,32,113,-407,-252,-514,843,-221,0,0,0,0,176,-45,-3535,-3535,-52,-52,-315,84,-3818,-3030,31,-315
2020-03-31,706.00000,212.00000,2.00000,214.00000,-33.00000,-546.00000,-375.00000,-451.00000,-1405.00000,-666.00000,-185.00000,,,,,8.00000,-177.00000,6231.00000,6231.00000,-449.00000,-449.00000,-295.00000,-202.00000,5285.00000,4428.00000,30.00000,-295.00000
2019-12-31,1020,204,194,398,-77,270,170,568,931,2394,-381,0,0,0,0,-9,-390,-1506,-1506,0,0,-294,-262,-2062,-72,30,-294
2019-09-30,913,210,-24,186,189,-90,137,-295,-59,1091,-244,0,0,0,0,3,-241,-447,-447,0,0,-295,177,-565,272,31,-295
2019-06-30,806,210,25,235,15,-346,-134,-185,-650,291,-181,0,0,0,0,5,-176,384,384,-98,-98,-295,-58,-67,29,32,-295
