,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1604,131,1549,1680,344,310,133,78,1004,1080,-235,0,-3000,0,0,0,-3235,2500,-4,2496,0,0,-95,0,2401,164,-95
2022-09-30,145,118,-22,96,248,267,-504,123,249,490,-116,0,-75,0,0,0,-191,0,-9,-9,-69,-69,-95,0,-173,152,-95
2022-06-30,-368,498,281,779,14,-242,-24,226,-263,148,-130,0,0,0,0,0,-130,0,9,9,-300,-300,-97,-3,-391,-472,-97
2022-03-31,316.00000,112.00000,79.00000,191.00000,248.00000,-384.00000,-217.00000,-134.00000,-835.00000,-328.00000,-12.00000,,,,,,-12.00000,,,,-531.00000,-531.00000,-103.00000,3.00000,-631.00000,-930.00000,-103.00000
2021-12-31,300,116,80,196,57,137,332,-87,386,882,-216,0,0,0,0,2,-214,0,-2,-2,-400,-400,-85,4,-483,169,-85
2021-09-30,486,119,-60,59,-189,-258,357,-93,103,648,-121,0,-46,0,0,0,-167,0,3,3,-440,-440,-86,-1,-524,-93,-86
2021-06-30,580,118,-147,-29,-42,-195,75,-16,-87,464,174,0,-393,0,0,0,-219,0,-2,-2,-6,-6,-88,-2,-98,204,-88
2021-03-31,440.00000,141.00000,110.00000,251.00000,-58.00000,-332.00000,185.00000,-75.00000,-509.00000,182.00000,-60.00000,,,,,,-60.00000,,,,-119.00000,-119.00000,-79.00000,-36.00000,-234.00000,-170.00000,-79.00000
2020-12-31,503,161,59,220,-277,81,503,-60,370,1093,-20,0,0,0,0,7,-13,1,-1735,-1734,28,28,-79,1,-1784,-607,-79
2020-09-30,393,146,55,201,-719,-58,820,129,558,1152,-96,0,0,0,0,0,-96,2,-12,-10,13,13,-77,0,-74,995,-77
2020-06-30,20,133,-8,125,-69,432,-738,181,-76,69,-72,0,0,0,0,0,-72,486,-694,-208,0,0,-80,0,-288,-291,-80
2020-03-31,149.00000,135.00000,41.00000,176.00000,125.00000,-206.00000,-244.00000,-50.00000,-1139.00000,-814.00000,-56.00000,,,,,,-56.00000,-25.00000,2111.00000,2086.00000,-118.00000,-118.00000,-75.00000,,1893.00000,885.00000,-75.00000
2019-12-31,272,144,-63,81,430,508,250,62,1443,1796,-86,0,0,0,0,-1,-87,-2,-660,-662,-45,-45,-76,0,-783,953,-76
2019-09-30,364,141,-396,-255,-266,49,72,66,146,255,920,0,0,0,0,-2,918,-1,-1182,-1183,-49,-49,-80,-7,-1319,-210,-80
2019-06-30,72,160,90,250,-212,-99,0,7,-248,74,-109,0,0,0,0,0,-109,-2,128,126,1,1,-76,0,51,14,-76
2019-03-31,474.00000,142.00000,-190.00000,-48.00000,-39.00000,-475.00000,-182.00000,-316.00000,-1321.00000,-895.00000,-83.00000,,,,,-3.00000,-86.00000,-244.00000,991.00000,747.00000,-47.00000,-47.00000,-73.00000,,627.00000,-343.00000,-73.00000
2018-12-31,170,154,-67,87,664,344,332,61,1587,1844,-127,0,0,0,0,0,-127,-3,-1108,-1111,-82,-82,-74,-1,-1268,456,-74
2018-09-30,216,152,0,152,-482,128,165,240,-399,-31,-136,0,0,-23,-23,-4,-163,-2,363,361,-101,-101,-73,-6,181,-45,-73
2018-06-30,-639,909,0,909,-188,-24,-28,-344,-141,129,-107,0,0,0,0,1,-106,328,799,1127,-999,-999,-81,0,47,3,-81
2018-03-31,94.00000,177.00000,,177.00000,85.00000,-375.00000,-259.00000,-40.00000,-984.00000,-713.00000,-60.00000,,,-2.00000,58.00000,-1.00000,-3.00000,-4.00000,599.00000,595.00000,5.00000,5.00000,-78.00000,,522.00000,-169.00000,-78.00000
2017-12-31,-272,167,383,550,419,360,73,171,1019,1297,-257,0,0,0,-60,-4,-321,388,-998,-610,-204,-204,-77,3,-888,96,-77
2017-09-30,272,168,-60,108,-80,-67,-68,-58,-222,158,-160,0,0,-3,-3,6,-157,-1,313,312,-199,-199,-80,-11,22,39,-80
2017-06-30,179,156,-46,110,-193,-107,334,-31,-45,244,-121,0,0,-32,-32,-4,-157,-5,252,247,-191,-191,-82,0,-26,74,-82
2017-03-31,158.00000,163.00000,-38.00000,125.00000,14.00000,-415.00000,-159.00000,17.00000,-718.00000,-435.00000,-85.00000,,,,,-1.00000,-86.00000,-255.00000,800.00000,545.00000,-127.00000,-127.00000,-73.00000,-6.00000,339.00000,-156.00000,-73.00000
2016-12-31,186,159,149,308,147,500,224,69,884,1378,-292,0,0,-2,-2,-15,-309,506,-1314,-808,-123,-123,-73,-3,-1007,24,-73
2016-09-30,244,164,-149,15,-190,10,-89,-45,-30,229,-150,0,0,-2,-2,1,-151,-250,401,151,-86,-86,-76,-2,-13,66,-76
2016-06-30,342,164,21,185,-141,-130,130,-32,-270,257,-74,0,0,-8,-8,23,-59,239,2,241,-93,-93,-76,0,72,260,-76
2016-03-31,156.00000,168.00000,-21.00000,147.00000,-107.00000,-398.00000,-228.00000,5.00000,-964.00000,-661.00000,-81.00000,,,,,-12.00000,-93.00000,-5.00000,966.00000,961.00000,-222.00000,-222.00000,-69.00000,,670.00000,-73.00000,-69.00000
2015-12-31,189,172,-42,130,316,256,302,35,1063,1382,-296,0,0,2,2,20,-274,-5,-772,-777,-153,-153,-69,-4,-1003,74,-69
2015-09-30,250,165,-8,157,-311,61,39,6,-167,240,-122,0,0,-51,-51,9,-164,1,70,71,-45,-45,-70,-2,-46,7,-70
2015-06-30,185,170,40,210,-152,-64,-42,65,-223,172,-141,0,0,-6,-6,1,-146,-202,278,76,-48,-48,-70,-3,-45,-13,-70
2015-03-31,198.00000,161.00000,-95.00000,66.00000,58.00000,-394.00000,-285.00000,40.00000,-833.00000,-569.00000,-93.00000,,,-15.00000,-15.00000,11.00000,-97.00000,454.00000,-41.00000,413.00000,34.00000,34.00000,-60.00000,,387.00000,-322.00000,-60.00000
2014-12-31,108,163,9,172,212,448,315,262,1327,1607,-295,0,-1484,0,0,71,-1708,665,-413,252,7,7,-59,-6,194,39,-59
2014-09-30,235,136,24,160,-87,-24,85,-42,-155,240,-150,0,-325,20,20,-3,-458,-102,482,380,-22,-22,-58,-4,296,42,-58
2014-06-30,185,134,-4,130,-137,-132,131,-16,-344,-29,-137,0,0,-15,-15,0,-152,-501,2,-499,12,12,-59,-9,-555,-727,-59
2014-03-31,164.00000,127.00000,20.00000,147.00000,-78.00000,-243.00000,-172.00000,-35.00000,-650.00000,-339.00000,-117.00000,,,-21.00000,-21.00000,,-138.00000,815.00000,-8.00000,807.00000,11.00000,11.00000,-48.00000,,770.00000,292.00000,-48.00000
2013-12-31,187,143,-4,139,203,223,115,38,694,1020,-258,0,0,-6,-6,35,-229,13,8,21,-195,-195,-48,7,-215,554,-48
2013-09-30,199,142,9,151,6,-136,141,39,88,438,-137,0,0,0,0,-1,-138,-2,-4,-6,-93,-93,-50,-1,-150,156,-50
2013-06-30,206,126,-18,108,-216,24,160,-44,-205,109,-106,0,0,2,2,-14,-118,-2,4,2,-4,-4,-50,-3,-55,-80,-50
2013-03-31,257.00000,129.00000,-92.00000,37.00000,-58.00000,-223.00000,-141.00000,-56.00000,-599.00000,-305.00000,-71.00000,,,-2.00000,-2.00000,-24.00000,-97.00000,-4.00000,-3.00000,-7.00000,37.00000,37.00000,-39.00000,-5.00000,-14.00000,-418.00000,-39.00000
2012-12-31,128,126,-18,108,235,253,106,-50,621,857,-192,0,0,-28,-28,0,-220,20,-13,7,29,29,-39,16,13,650,-39
2012-09-30,80,128,-9,119,-121,10,39,1,-5,194,-89,0,0,0,0,0,-89,-3,17,14,3,3,-39,-2,-24,92,-39
2012-06-30,120,146,-103,43,-67,-63,97,-55,-95,68,-93,0,0,0,0,0,-93,-53,3,-50,0,0,-38,-15,-103,-157,-38
2012-03-31,97.00000,151.00000,-278.00000,-127.00000,,-207.00000,-2.00000,-57.00000,-393.00000,-423.00000,-92.00000,,,,,,-92.00000,-3.00000,-1.00000,-4.00000,11.00000,11.00000,-39.00000,-2.00000,-34.00000,-526.00000,-39.00000
2011-12-31,213,136,495,631,49,454,21,10,28,872,-188,0,0,0,0,0,-188,-3,-16,-19,0,0,-38,-5,-62,598,-38
2011-09-30,181,136,-471,-335,41,28,-29,25,46,-108,-158,0,0,0,0,27,-131,-4,1,-3,0,0,-39,-4,-46,-334,-39
2011-06-30,-164,145,199,344,-84,-105,196,109,-190,-10,-127,0,0,0,0,-31,-158,-3,14,11,6,6,-38,-8,-29,-181,-38
2011-03-31,178.00000,141.00000,-60.00000,81.00000,-21.00000,-94.00000,-163.00000,-69.00000,-483.00000,-224.00000,-112.00000,,,-7.00000,-7.00000,,-119.00000,-3.00000,-1.00000,-4.00000,8.00000,8.00000,-33.00000,,-29.00000,-342.00000,-33.00000
2010-12-31,178,141,-103,38,263,283,-45,57,485,701,-198,15,0,0,0,0,-183,-4,-13,-17,0,0,-33,-14,-64,467,-33
2010-09-30,83,141,67,208,-74,-301,55,153,-84,207,-120,-27,0,0,0,0,-147,-1,-9,-10,0,0,-33,-8,-51,51,-33
2010-06-30,215,139,-17,122,-26,-306,265,-79,-238,99,-113,0,0,-13,-13,0,-126,-326,8,-318,65,65,-33,-4,-290,-341,-33
2010-03-31,174.00000,134.00000,-36.00000,98.00000,24.00000,-271.00000,66.00000,62.00000,-201.00000,71.00000,-145.00000,,,-5.00000,-5.00000,,-150.00000,-46.00000,-6.00000,-52.00000,-5.00000,-5.00000,-33.00000,,-90.00000,-189.00000,-33.00000
2009-12-31,102,137,18,155,238,246,232,-76,641,898,-185,0,0,-20,-20,0,-205,5,-22,-17,21,21,-32,-12,-40,655,-32
2009-09-30,93,130,-61,69,-357,129,328,294,494,656,-86,0,0,-3,-3,0,-89,9,-46,-37,0,0,-33,-37,-107,478,-33
2009-06-30,86,143,-52,91,-281,230,128,20,91,268,-94,0,0,-12,-12,0,-106,649,-752,-103,0,0,-31,5,-129,54,-31
2009-03-31,73.00000,115.00000,-104.00000,11.00000,114.00000,-27.00000,-362.00000,-136.00000,-356.00000,-272.00000,-99.00000,,,,,,-99.00000,-1.00000,458.00000,457.00000,,,-32.00000,-5.00000,420.00000,47.00000,-32.00000
