,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,1038.381,13.3,291.117,304.417,-55.271,2602.99,-1247.264,68.801,1583.401,3024.748,-357.252,0,-2.508,0,-2.508,0,-359.76,0,0,-248.699,-248.699,-341.257,-0.549,-590.505,2112.087,27.436,-341.257
2022-10-31,1062.806,435.967,-171.021,264.946,-20.971,-1338.229,958.602,-25.817,-281.752,1053.015,-406.253,0,-0.604,0,-0.604,0,-406.857,0,0,-428.081,-428.081,-342.53,0.003,-770.608,-166.534,36.378,-342.53
2022-07-31,809.34,218.128,46.565,264.693,17.982,-121.421,-258.521,-7.317,-455.101,640.713,-379.144,0,0.233,0,0.233,0,-378.911,0,0,-668.074,-668.074,-345.728,0.005,-1013.797,-763.856,30.85,-345.728
2022-04-30,587.47300,219.60500,260.33900,479.94400,-65.74000,-1085.34000,-52.81700,-36.66700,-1667.54800,-634.47600,-314.35100,,-10.12100,,-10.12100,,-324.47200,,,-589.14600,-589.14600,-309.48500,-32.45900,-931.09000,-1931.69700,27.33600,-309.48500
2022-01-31,940.204,409.44,-148.665,260.775,94.102,629.573,-950.025,-11.784,-120.973,1110.552,-329.252,0,-1.509,0,-1.509,0,-330.761,0,0,-999.853,-999.853,-310.302,-1.07,-1311.225,-564.831,-156.575,-310.302
2021-10-31,1023,217.049,37.471,254.52,-1.204,-1554.291,1037.208,-7.805,-310.808,1000.054,-270.598,0,-2.266,0,-2.266,0,-272.864,0,0,-712.417,-712.417,-312.672,0,-1025.089,-314.42,42.454,-312.672
2021-07-31,785.681,215.182,282.307,497.489,2.649,17.518,-15.03,-38.845,126.066,1379.606,-219.651,0,1.795,0,1.795,0,-217.856,-2225.518,-2225.518,-271.128,-271.128,-313.644,-0.052,-2810.342,-1669.469,63.585,-313.644
2021-04-30,533.93000,215.37900,35.28600,250.66500,-156.99900,-750.55300,-410.24400,-38.06500,-1167.85600,-432.72700,-225.29300,,0.38800,,0.38800,,-224.90500,-750.00000,-750.00000,36.53900,36.53900,-315.21500,-24.42600,-1053.10200,-1694.08500,50.53600,-315.21500
2021-01-31,325.523,270.78,180.423,451.203,5.513,723.633,-1353.077,-30.414,-438.058,285.129,-134.417,0,-0.002,0,-0.002,0,-134.419,-419.937,-419.937,123.468,123.468,-0.006,-15.971,-312.446,-112.423,-58.909,-0.006
2020-10-31,866.656,218.972,6.859,225.831,-20.563,-1246.489,3704.622,4.168,3003.858,4079.985,-123.694,0,-1.666,0,-1.666,0,-125.36,0,0,28.189,28.189,0,0,28.189,3961.582,31.262,0
2020-07-31,-214.22,220.065,11.626,231.691,-266.46,1247.639,1327.241,143.041,3347.196,3357.258,-99.385,0,1.67,0,1.67,0,-97.715,-1000,-1000,22.088,22.088,0,-0.078,-977.99,2332.576,39.178,0
2020-04-30,-887.48900,219.46000,-33.57100,185.88900,210.41900,-136.02700,-1567.59700,25.99800,-2493.34900,-3160.48300,-210.52500,,-10.57800,,-10.57800,,-221.10300,4988.45200,4988.45200,-164.05600,-164.05600,-278.25000,-55.63700,4490.50900,1071.08300,-11.53100,-278.25000
2020-01-31,984.79,344.871,-125.142,219.729,56.478,1405.163,-776.428,42.835,1078.732,2193.012,-230.404,0,-3.656,-230.156,-233.812,0,-464.216,0,0,-304.781,-304.781,-276.47,-0.126,-581.377,1156.576,-86.59,-276.47
2019-10-31,828.263,219.555,38.493,258.048,-63.628,-1141.318,812.589,18.184,-145.039,974.284,-414.694,0,-2.842,0,-2.842,0,-417.536,0,0,-417.829,-417.829,-277.644,0,-695.473,-126.206,31.19,-277.644
2019-07-31,758.962,215.633,60.336,275.969,11.81,-73.301,53.649,-77.851,-254.63,750.005,-261.109,0,0.18,0,0.18,7.419,-253.51,0,0,-259.754,-259.754,-278.69,0.008,-538.436,-48.674,29.668,-278.69
2019-04-30,700.17800,212.20100,36.13400,248.33500,-47.65800,-487.08500,-60.47200,29.36500,-793.50500,149.23900,-316.90900,,-9.80000,,-9.80000,,-326.70900,,,-337.52200,-337.52200,-238.75800,-23.30500,-599.58500,-795.17300,25.73200,-238.75800
2019-01-31,841.538,321.985,-147.238,174.7472,74.359,977.148,-704.29,96.102,604.75,1610.702,-252.176,0,-2.155,0,-2.155,-0.001,-254.332,0,0,-799.972,-799.972,-240.274,-1.706,-1041.952,318.462,-77.353,-240.274
2018-10-31,762.253,154.971,122.041,277.0119,-64.711,-1056.984,664.812,51.019,-160.956,917.092,-299.063,0,0.903,0,0.903,0.001,-298.159,0,0,-525.27,-525.27,-241.448,-3.182,-769.9,-160.95,77.353,-241.448
2018-07-31,739.626,253.961,-42.73,211.231,10.607,-160.406,193.653,-145.763,-97.532,835.78,-308.957,0,431.736,0,431.736,26.652,149.431,0,0,-515.676,-515.676,-243.578,-0.368,-759.622,191.612,-24.029,-243.578
2018-04-30,716.38100,192.29500,33.10800,225.40300,-43.78700,-225.18700,44.03700,219.53200,-190.28600,724.88500,-264.94300,,44.45100,,44.45100,,-220.49200,,,-310.83800,-310.83800,-197.29600,-17.87300,-526.00700,-77.37200,24.02900,-197.29600
2018-01-31,877.276,292.783,-142.37,150.4129,22.045,592.287,-528.229,-267.493,66.3018,1096.201,-230.088,0,16.735,0,16.735,0,-213.353,0,0,-361.11,-361.11,-197.091,-3.277,-561.478,394.233,24.21,-197.091
2017-10-31,641.436,184.294,23.598,207.892,-41.253,-873.889,648.782,13.222,11.8632,826.377,-320.667,0,-25.9,0,-25.9,0,-346.567,0,0,-325.919,-325.919,-197.493,-0.711,-524.123,-85.061,27.637,-197.493
2017-07-31,552.957,175.645,58.205,233.85,14.997,-80.217,141.526,-84.166,-174.806,654.612,-248.347,0,-2.712,0,-2.712,0,-251.059,0,0,-525.899,-525.899,-200.89,-0.842,-727.631,-220.19,25.464,-200.89
2017-04-30,536.27900,172.48500,33.36000,205.84500,-58.14700,-88.55800,-56.96800,20.58700,-288.80300,448.43400,-258.51500,,56.75800,,56.75800,,-201.75700,,,-297.96600,-297.96600,-168.56600,-17.58200,-484.11400,-260.35400,24.05100,-168.56600
2017-01-31,677.928,89.021,37.011,126.032,49.252,770.463,-476.728,28.574,698.172,1514.6,-257.55,0,-86.046,0,-86.046,0,-343.596,0,0,-471.71,-471.71,-169.129,10.667,-630.172,554.317,102.251,-169.129
2016-10-31,549.786,195.122,78.431,273.553,-21.293,-567.717,462.801,0.224,124.054,928.675,-258.762,0,-44.944,0,-44.944,0,-303.706,566.9559,566.9559,-397.912,-397.912,-170.351,-2.575,-3.882,571.884,0,-170.351
2016-07-31,562.174,192.68,14.986,207.666,-10.418,-29.319,158.614,-71.325,16.512,738.351,-242.199,0,-36.236,0,-36.236,0,-278.435,0,0,-388.868,-388.868,-171.441,11.943,-548.366,-140.507,0,-171.441
2016-04-30,508.34600,181.97300,-16.52600,165.44700,-40.77600,-161.56500,-96.43400,32.92700,-275.29300,445.23300,-266.23600,,-20.58100,,-20.58100,-2.32400,-289.14100,,,-277.31800,-277.31800,-140.06700,12.92800,-404.45700,-151.31800,,-140.06700
2016-01-31,666.466,162.99,85.024,248.014,32.815,691.212,-460.962,1.19,413.949,1300.351,-238.713,0,24.436,0,24.436,0,-214.277,0,0,-481.537,-481.537,-140.177,-9.186,-630.9,372.137,23.044,-140.177
2015-10-31,587.256,155.248,-17.264,137.984,-13.25,-672.518,427.6,18.576,-18.611,727.984,-245.792,-57.104,-75.109,0,-75.109,0,-378.005,0,0,-411.638,-411.638,-141.212,20.317,-532.533,-187.434,27.296,-141.212
2015-07-31,549.335,149.918,19.862,169.78,1.812,-226.676,114.013,-63.745,-240.778,481.041,-203.641,0,-24.721,0,-24.721,0,-228.362,0,0,-420.498,-420.498,-142.444,5.547,-557.395,-349.195,22.617,-142.444
