,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-92.895,100.661,75.233,175.894,-20.591,-40.054,2.837,-41.718,-41.376,41.623,0.436,0,0.8,-111.9521,0,-111.9521,0.203,-110.513,-0.297,-0.297,-113.391,-113.391,0,0,-113.688,-171.065,-29.201,0
2022-09-30,76.698,22.748,-5.861,16.887,40.957,-49.726,-5.968,1.662,-17.72,75.865,-24.457,0,52.141,99.4561,0,99.4561,0.104,127.244,-15.897,-15.897,-71.014,-71.014,0,-2.5,-89.411,97.486,8.762,0
2022-06-30,57.331,23.669,41.509,65.178,-1.061,-48.282,11.579,1.87,-43.771,78.738,-34.509,0,0,311.446,0,311.446,0.814,277.751,-0.968,-0.968,-230.037,-230.037,0,0,-231.005,129.271,10.445,0
2022-03-31,69.62800,23.43500,22.71400,46.14900,2.62100,-50.95100,-8.44800,3.05200,-99.35400,16.42300,-24.74900,,-2.00000,30.38300,,30.38300,-1.16400,2.47000,-0.96400,-0.96400,-79.48100,-79.48100,,,-80.44500,-66.58800,9.99400,
2021-12-31,65.268,24.203,23.82,48.023,10.19,-44.37,4.701,-14.874,-28.747,84.544,-28.701,0,0,-82.32,0,-82.32,-0.437,-111.458,-0.959,-0.959,-51.987,-51.987,0,-0.001,-52.947,-85.799,9.328,0
2021-09-30,74.699,24.151,24.339,48.49,-24.806,-44.164,1.417,-6.636,-21.223,101.966,-38.912,0,0,18.262,0,18.262,-0.531,-21.181,-0.955,-0.955,-35.48,-35.48,0,0,-36.435,40.705,9.858,0
2021-06-30,69.677,24.157,28.213,52.37,5.165,-41.136,5.899,-1.135,-6.4,115.647,-26.795,0,0,-195.609,0,-195.609,-0.545,-222.949,-0.95,-0.95,-33.097,-33.097,0,0,-34.047,-142.542,9.863,0
2021-03-31,68.22200,23.81900,23.10600,46.92500,7.36000,-20.08400,18.98000,-1.05200,-27.60400,87.54300,-27.29100,,,-33.40100,,-33.40100,-0.00200,-60.69400,-0.94600,-0.94600,1.93300,1.93300,,-2.62400,-1.63700,18.18800,8.81500,
2020-12-31,0,0,0,0,0,0,0,0,0,0,0,0,-0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-30,35.53,68.427,6.269,74.696,-30.703,-19.053,-4.426,0.128,-40.465,69.761,-24.272,0,0,-36.504,0,-36.504,-0.098,-60.874,-0.936,-0.936,-1.158,-1.158,0,0,-2.094,16.008,8.741,0
