,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,454.768,4.159,30.9131,35.072,41.748,382.174,-62.356,0.508,306.21,817.195,-6.277,0,-0.513,-0.513,-6.79,-0.388,0,-0.388,-56.854,-56.854,0,-57.242,753.163,24.096
2022-09-30,411.393,4.246,84.7387,88.9847,-52.738,208.296,-62.959,-5.998,102.972,605.7,-3.014,0,0,0,-3.014,-0.384,0,-0.384,-344.906,-344.906,0,-345.29,257.396,26.686
2022-06-30,433.314,4.531,1532.3431,1536.8741,-2.612,-185.106,-14.059,-1523.788,-1826.932,137.88,-4.559,0,-8.75,-8.75,-13.309,-600.367,0,-600.367,-187.334,-187.334,0,-787.701,-663.13,20.087
2022-03-31,426.10000,4.46000,-1535.00500,-1530.54500,-13.78200,-246.27300,35.71500,1502.87100,1405.61400,309.32600,-3.84600,,-0.47200,-0.47200,-4.31800,-0.35600,,-0.35600,-714.54700,-714.54700,,-714.90300,-409.89500,11.66800
2021-12-31,334.581,4.743,-3.4549,1.2881,4.305,-83.841,35.869,-39.221,-57.872,260.101,-5.772,0,-0.421,-0.421,-6.193,-0.355,0,-0.355,-364.629,-364.629,0,-364.984,-111.076,15.375
2021-09-30,332.081,4.682,71.8037,76.4857,1.978,109.848,16.151,-23.835,51.229,461.272,-5.162,0,-0.202,-0.202,-5.364,-0.347,0,-0.347,-372.3269,-372.3269,0,-372.674,83.234,15.009
2021-06-30,321.295,4.835,1590.7421,1595.5771,-0.084,-143.581,50.99,-1604.927,-1723.277,192.762,-3.228,0,0,0,-3.228,-0.332,0,-0.332,-338.8931,-338.8931,0,-339.225,-149.691,13.379
2021-03-31,248.76200,5.20300,-1473.25000,-1468.04700,-4.24300,-120.71000,73.69500,1580.60900,1562.96900,328.25800,-2.73500,,-0.65900,-0.65900,-3.39400,-0.32900,,-0.32900,-319.80000,-319.80000,,-320.12900,4.73500,14.47100
2020-12-31,305.004,5.191,-112.0921,-106.9011,1.385,54.104,29.636,-4.066,139.805,345.929,-3.459,0,11.625,11.625,8.166,-0.3241,0,-0.3241,-136.152,-136.152,-0.312,-136.788,217.307,15.229
2020-09-30,256.466,5.547,-9.977,-4.43,-0.235,-160.636,53.106,-11.435,-35.791,208.671,-3.896,0,-0.397,-0.397,-4.293,324.7921,0,324.7921,36.476,36.476,-1.168,360.1,564.478,13.639
2020-06-30,164.075,5.632,108.555,114.187,30.365,-87.5,10.855,7.761,27.431,302.228,-4.51,0,-0.038,-0.038,-4.548,598.648,0,598.648,16.984,16.984,-3.582,612.05,909.73,14.434
2020-03-31,175.70300,5.62200,120.17000,125.79200,-33.19000,-168.35200,15.27500,8.25900,-217.44600,68.44100,-3.25800,,0.00000,,-3.25800,-0.20000,,-0.20000,-107.52000,-107.52000,,-107.72000,-42.53700,7.49200
2019-12-31,256.137,5.449,-62.237,-56.788,11.235,149.161,-11.051,-8.777,146.499,357.099,-5.606,0,-0.357,-0.357,-5.963,-0.19,0,-0.19,-306.202,-306.202,0,-306.392,44.744,19.852
2019-09-30,223.787,5.223,75.2451,80.4681,1.116,-98.721,-3.27,5.337,-100.314,206.817,-5.593,0,1.07,1.07,-4.523,-0.104,0,-0.104,7.461,7.461,0,7.357,209.651,20.77
2019-06-30,210.209,5.084,-21.918,-16.834,2.408,-116.559,3.573,-19.857,-118.816,74.764,-4.829,0,3.91,3.91,-0.919,-0.012,0,-0.012,-8.123,-8.123,0,-8.135,65.71,18.577
2019-03-31,188.40600,5.06200,48.70400,53.76600,-12.00500,-28.05900,4.38800,6.30300,-8.22100,227.85500,-4.80100,,2.92200,2.92200,-1.87900,,,,-117.52500,-117.52500,,-117.52500,108.45100,19.33300
2018-12-31,232.158,5.115,-100.3922,-95.2772,6.02,167.96,-29.43,-24.276,88.36,231.311,-4.332,0,2.642,2.642,-1.69,0,0,0,-129.923,-129.923,0,-129.923,99.698,24.011
2018-09-30,195.816,5.029,109.294,114.323,3.389,12.545,-4.357,-15.92,8.19,322.365,-5.25,0,1.846,1.846,-3.404,0,0,0,-144.657,-144.657,-0.234,-144.891,174.07,23.586
2018-06-30,203.174,4.988,-36.522,-31.534,-5.832,-89.223,4.547,0.58,-76.225,91.422,-5.908,0,3.261,3.261,-2.647,0,0,0,-81.006,-81.006,0,-81.006,7.769,18.595
