,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,185.7,52.4,28.1,80.5,-2.2,33.2,24.5,79.7,135.2,401.4,-95.2,0,0,4.3,-90.9,-3.3,-199.8,-203.1,-11.2,-11.2,-99.2,0,-313.5,-9.9,11.2,-99.2
2022-08-31,222.9,50,-35.7,14.3,-90.9,-78,34.3,-6.9,-141.5,95.7,-65.2,1.5,95.2,2.2,33.7,-753.4,770.1,16.7,-9.4,-9.4,-99.3,0,-92,18.1,12.2,-99.3
2022-05-31,118.5,49.2,21.2,70.4,14.1,-110.6,61.3,-17.2,-52.4,136.5,-57.9,12.1,0,0.3,-45.5,-11.8,30.7,18.9,1.6,1.6,-99.2,-7.4,-86.1,-12.6,25.8,-99.2
2022-02-28,154.90000,49.00000,11.00000,60.00000,33.20000,-49.90000,5.20000,-185.50000,-197.00000,17.90000,-43.70000,,,,-43.70000,-3.50000,97.30000,93.80000,21.60000,21.60000,-99.00000,-12.00000,4.40000,-13.30000,11.10000,-99.00000
2021-11-30,197.4,47.2,66.5,113.7,-23.9,2.8,51.6,113.8,144.3,455.4,-88.1,0,0,10.1,-78,-1.8,-227.8,-229.6,-2.4,-2.4,-90.9,-2.1,-325,39.1,12.4,-90.9
2021-08-31,212.4,47.2,4.3,51.5,-50.1,-66.1,-8.3,4.8,-119.7,144.2,-77.1,0,0,0.1,-77,-251.8,310.5,58.7,1.5,1.5,-90.8,-0.3,-30.9,20.8,11.6,-90.8
2021-05-31,183.7,43.8,24.5,68.3,20.4,-68.9,65.2,-7.8,8.9,260.9,-64.2,0,0.2,65.6,1.6,-0.6,-137,-137.6001,2.3,2.3,-90.8,-8.7,-234.8,35.7,28.4,-90.8
2021-02-28,161.80000,54.40000,7.90000,62.30000,31.00000,-21.50000,-73.60000,-192.20000,-256.30000,-32.20000,-48.60000,,-706.60000,,-755.20000,998.60000,-292.40000,706.20010,3.50000,3.50000,-90.80000,-6.20000,612.70000,-167.50000,14.20000,-90.80000
2020-11-30,200.7,41.1,-4.7,36.4,-13.6,-70.8,116.8,145.1,177.5,414.6,-79.7,0,-803,0.4,-882.3,18.9,718.5,737.4,1.2,1.2,-82.7,-2.3,653.6,202.6,8.2,-82.7
2020-08-31,206.1,42.4,8.4,50.8,18.4,-129.4,47.4,77.9,14.3,271.2,-58.5,0,0,0.4,-58.1,-202.9,82.5,-120.4,2.2,2.2,-82.5,-1.5,-202.2,36,10.7,-82.5
2020-05-31,195.9,39.6,15.5,55.1,0,0,0,59.7,59.7,310.7,-48.6,0,0,1.7,-46.9,473.8,-639.7,-165.9,18.1,18.1,-82.5,-7.3,-237.6,14.2,20.7,-82.5
2020-02-29,144.70000,41.90000,7.10000,49.00000,,,,-148.90000,-148.90000,44.80000,-38.50000,,,0.20000,-38.30000,-20.50000,125.20000,104.70000,-12.20000,-12.20000,-82.40000,-3.00000,7.10000,15.40000,6.40000,-82.40000
2019-11-30,213.4,40.8,20.2,61,12.2,-20.9,128.2,58.3,177.8,452.2,-66.6,0,0,0.1,-66.5,-233.1,-83.4,-316.5,-11.9,-11.9,-75.8,-2.4,-406.6,-7.5,6.6,-75.8
2019-08-31,191.9,39,5.7,44.7,0,0,0,-56.2,-56.2,180.4,-53,0,0,2.5,-50.5,-121,78.8,-42.2,19.5,19.5,-75.6,-0.2,-98.5,23.5,7.8,-75.6
2019-05-31,149.4,38.7,13.4,52.1,0,0,0,9.1,9.1,210.6,-28.7,0,0,0,-28.7,-72.1,1.3,-70.8,12,12,-75.5,-7,-141.3,37.1,16.1,-75.5
2019-02-28,148.00000,40.30000,8.00000,48.30000,,,,-92.70000,-92.70000,103.60000,-25.40000,,,0.10000,-25.30000,-21.50000,44.30000,22.80000,-23.80000,-23.80000,-75.30000,-3.10000,-79.40000,5.70000,6.70000,-75.30000
2018-11-30,214,39.1,33.8,72.9,19.8,-10,72.8,62.7,145.3,432.2,-56.5,0,0,11.4,-45.1,-209.3,-80.6,-289.9001,13.8,13.8,-68.5,-13.8,-358.4,23.6,4,-68.5
