,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,978.795,103.508,-80.415,23.093,-440.647,-127.647,44.317,210.379,-313.598,688.29,-93.642,0,1.536,-149.299,-147.763,0,-241.405,-200,-200,-321.214,-321.214,-184.208,-5.098,-710.52,-247.803,38.405,-184.208
2022-09-30,1026.06500,101.93800,-118.43600,-16.49800,-55.07300,-265.53000,36.47200,286.10900,1.97800,1011.54500,-8.99400,-27.14400,0.36300,-18.72000,-18.35700,1.02000,-53.47500,-362.25000,-362.25000,-89.73100,-89.73100,-187.98400,-65.76200,-705.72700,234.37200,34.98200,-187.98400
2022-06-30,805.398,100.848,122.185,223.033,-192.055,-170.6,19.256,51.3979,-292.001,819.229,-45.502,-8.226,0.704,27.63,28.334,0,-25.394,2967.409,2967.409,-2497.487,-2497.487,-158.204,-915.444,-603.726,169.736,36.849,-158.204
2022-03-31,730.66,92.127,18.281,110.408,126.414,-156.513,41.797,-33.888,-22.19,818.878,-100.304,-432.901,-6.385,-29.109,-35.494,-0.795,-569.494,255,255,-564.666,-564.666,-158.976,-17.761,-486.403,-241.885,37.087,-158.976
2021-12-31,717.517,85.545,90.597,176.142,-264.331,-101.701,-1.289,284.46,-82.861,810.798,-64.901,0,-0.695,-41.463,-42.158,0.795,-106.264,0,0,-392.962,-392.962,-159.129,-5.755,-557.846,147.493,27.766,-159.129
2021-09-30,1068.48500,84.82400,-381.15300,-296.32900,-180.35400,-138.18900,41.86800,368.31600,91.64100,863.79700,-68.95500,-37.98600,2.26700,-70.63200,-68.36500,,-175.30600,,,-399.67700,-399.67700,-162.82100,-46.53200,-609.03000,74.95400,25.21600,-162.82100
2021-06-30,633.058,84.647,-9.918,74.729,-102.021,-123.725,48.414,-64.831,-242.163,465.624,-55.376,0,2.401,-40.629,-38.2281,0,-93.604,0,0,-240.035,-240.035,-139.267,-13.543,-392.845,-17.54,27.69,-139.267
2021-03-31,567.17,84.365,30.962,115.327,16.055,-34.169,32.735,-50.968,-36.347,646.15,-44.35,0,-3.244,-128.994,-132.238,0,-176.588,-20,-20,-273.441,-273.441,-139.338,-6.674,-439.453,20.684,30.327,-139.338
2020-12-31,456.983,84.257,-3.376,80.881,-190.189,-26.215,8.039,231.582,23.217,561.081,-58.403,0,1.683,-39.172,-37.489,0,-95.892,40.343,40.343,-151.136,-151.136,-139.584,-11,-261.377,215.646,26.827,-139.584
2020-09-30,420.14200,80.06600,-0.01700,80.04900,73.00000,-85.99100,-9.82200,34.79300,11.98000,512.17100,-54.81100,,3.22800,-82.73700,-79.50900,,-134.32000,-50.00000,-50.00000,-187.89700,-187.89700,-141.16400,-25.14500,-404.20600,-18.58900,26.99200,-141.16400
2020-06-30,410.315,78.937,-40.925,38.012,10.431,-56.609,19.905,30.792,4.519,452.846,-41.79,-11.543,1.477,-53.965,-52.488,0,-105.821,24.8281,24.8281,50.349,50.349,-134.001,-2.531,-61.355,288.234,26.378,-134.001
2020-03-31,78.009,338.639,47.858,386.497,73.103,-11.64,-12.904,-49.519,-0.96,442.028,-43.445,-0.07,-1.377,46.68,45.303,0,1.788,20.971,20.971,-315.323,-315.323,-133.327,-4.958,-432.637,6.311,31.27,-133.327
2019-12-31,380.305,88.534,21.339,109.873,-126.682,-1.477,35.258,-9.546,-102.447,387.731,-34.874,0,2.455,24.271,26.726,0,-8.148,-25,-25,-260.094,-260.094,-134.696,-12.24,-432.03,-48.484,26.789,-134.696
2019-09-30,346.39600,98.58800,39.73800,138.32600,-75.21400,-5.09100,18.88500,72.94300,11.52300,496.24500,-32.56600,-78.53000,3.97000,-39.56700,-35.59700,,-146.69300,,,-228.38200,-228.38200,-121.63600,-23.59500,-373.61300,-27.64600,26.94400,-121.63600
2019-06-30,217.328,127.886,-0.155,127.731,-53.565,13.179,-3.832,24.62,-19.598,325.461,-55.846,0,2.048,84.237,86.285,0,30.439,-2.478,-2.478,-300.714,-300.714,-121.363,-7.591,-432.146,-76.169,28.168,-121.363
2019-03-31,192.645,73.445,34.266,107.711,-72.796,-1.893,-0.59,-61.483,-136.762,163.594,-25.956,-1806.496,-3.039,100.588,97.549,0,-1734.903,1183.789,1183.789,-200.029,-200.029,-113.581,-0.894,869.285,-701.819,34.193,-113.581
2018-12-31,369.1,15.806,16.59,32.396,-55.869,-15.109,-2.44,-45.906,-119.324,282.172,-26.366,0,2.241,232.736,234.977,0,208.611,0,0,-229.657,-229.657,-114.562,-3.233,-347.452,144.468,15.695,-114.562
2018-09-30,395.94400,16.08700,20.03300,36.12000,36.07900,-55.73800,-14.76500,-16.23500,-50.65900,381.40500,-22.33000,-11.78700,2.99300,345.99500,348.98800,,314.87100,,,-299.97400,-299.97400,-122.75700,-26.96100,-449.69200,245.13200,16.13800,-122.75700
2018-06-30,348.767,14.989,128.671,143.66,2.095,-74.684,0.403,-46.728,-118.914,373.513,-22.828,-11.913,2.067,159.449,161.516,0,126.775,-225,-225,2.782,2.782,-117.035,-2.133,-341.386,148.7,18.804,-117.035
2018-03-31,306.881,16.283,15.872,32.155,91.37,-60.487,19.183,-36.495,13.571,352.607,-14.994,0,-2.689,40.2,37.511,0,25.894,-25,-25,-84.732,-84.732,-92.128,-0.428,-202.288,182.288,16.21,-92.128
2017-12-31,-134.319,16.13,9.585,25.715,-73.877,-24.24,11.069,325.023,237.975,129.371,-13.369,-5.49,2.148,45.333,47.481,0,25.955,-291.307,-291.307,-19.848,-19.848,-92.575,-2.567,-406.297,-247.303,13.739,-92.575
2017-09-30,280.93600,15.28200,17.30200,32.58400,-95.62100,-20.19400,-8.87700,184.80100,60.10900,373.62900,-15.75600,,2.44400,127.01600,129.46000,,112.99400,-156.25000,-156.25000,-39.92700,-39.92700,-100.32700,-23.62800,-320.13200,167.64600,14.03100,-100.32700
2017-06-30,256.162,14.324,14.793,29.117,166.886,-32.58,6.712,36.34,177.358,462.637,-10.303,-28.56,1.935,-117.4311,-115.4961,0,-154.359,-25,-25,-3.337,-3.337,-84.637,0,-112.974,197.244,14.485,-84.637
2017-03-31,253.562,14.198,12.589,26.787,-64.509,-28.288,23.017,14.269,-55.511,224.838,-9.414,0,2.446,-91.403,-88.957,0,-98.371,-25,-25,0,0,-85.514,-1.714,-112.228,18.774,12.536,-85.514
2016-12-31,238.251,14.892,11.763,26.655,-24.386,13.132,11.786,-43.025,-42.493,222.413,-6.047,0,2.351,-136.637,-134.286,0,-140.333,-40,-40,23.694,23.694,-84.529,-0.079,-100.914,-29.292,12.444,-84.529
