,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,38.61100,59.41200,45.56400,104.97600,,,-117.59400,-117.59400,25.99300,-61.03800,,-30.72800,-0.83800,-0.83800,0.70600,-91.89800,214.23300,,214.23300,-173.91300,-173.91300,,-13.60100,26.71900,-38.49500,14.68700,
2017-12-31,115.576,58.513,34.388,92.901,0,0,-11.282,-11.282,197.195,-69.449,0,-0.695,-3.017,-3.017,66.641,-6.52,-90.1589,0,-90.159,-50,-50,0,-2.111,-142.27,48.541,12.096,0
2017-09-30,89.849,57.744,12.282,70.026,0,0,13.692,13.692,173.567,-58.917,0,-352.887,-40.557,-40.557,0.812,-451.549,270.9049,0,270.905,0,0,0,-0.772,270.133,-7.374,10.929,0
2017-06-30,64.36,51.482,16.066,67.548,94.838,1.269,-154.414,-127.074,4.834,-50.714,0,-6.108,-9.229,-9.229,0.615,-65.436,57.586,0,57.586,0,0,0,-1.996,55.59,-4.924,11.557,0
2017-03-31,48.44000,49.59500,15.36000,64.95500,-94.83800,-1.26900,-89.76000,-117.10000,-3.70500,-42.22300,,-1.52700,-3.72500,-3.72500,-1.10400,-48.57900,64.24100,-2.78300,61.45800,0.02500,0.02500,,-17.17200,44.31100,-6.87800,11.86600,
2016-12-31,88.358,51.927,25.822,77.749,-86.562,10.124,211.673,19.549,185.656,-63.259,0,-0.83,-5.769,-5.769,7.406,-62.452,-125.1731,2.754,-122.4191,0.041,0.041,0,-0.999,-123.377,-2.956,9.875,0
2016-09-30,74.152,51.111,-8.713,42.398,-177.832,-12.405,-100.203,-185.078,-68.528,-29.025,0,-28.248,-1.993,-1.993,-0.389,-59.655,82.8239,0,82.8239,0.146,0.146,0,-0.87,82.1,-44.978,9.746,0
2016-06-30,16.729,51.238,3.291,54.529,105.399,-2.256,-140.559,-3.448,67.81,-55.69,0,-0.035,-3.163,-3.163,0.545,-58.343,-0.788,0,-0.788,0.163,0.163,0,-1.16,-1.785,7.029,9.503,0
2016-03-31,20.85900,49.00500,15.63600,64.64100,158.99500,4.53700,-19.57700,120.31100,205.81100,-42.60600,,-39.67500,-2.22500,-2.22500,0.57700,-83.92900,-80.04200,-4.71100,-84.75300,0.05100,0.05100,,-6.07200,-90.77400,26.54400,13.71900,
2015-12-31,-4.882,51.069,56.31,107.379,-77.913,22.596,298.598,131.502,233.999,-32.309,0,-10.875,-2.43,-2.43,-6.571,-52.185,130.6249,4.8721,135.4969,-76.771,-76.771,0,-26.673,32.053,79.577,8.231,0
