,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,447.043,104.09,32.606,136.696,470.507,87.706,44.275,632.967,1216.706,-236.169,0,0,0,0,-236.169,0,0,0,-228.3819,-228.3819,-106.647,0,-335.029,645.508,29.569,-106.647
2022-10-31,342.036,101.384,46.735,148.119,222.876,-164.514,-36.923,38.777,528.932,-174.555,0,0,0,0,-174.555,0,0,0,-244.025,-244.025,-107.455,0,-351.48,2.897,29.493,-107.455
2022-07-31,384.517,97.073,56.708,153.781,-43.327,-98.566,59.163,-178.296,360.002,-133.498,0,0,0,0,-133.498,0,0,0,-229.981,-229.981,-108.285,0,-338.266,-111.762,26.803,-108.285
2022-04-30,338.44500,92.10800,65.30400,157.41200,-411.27800,-189.88800,-392.58300,-912.12400,-416.26700,-109.84800,,,,,-109.84800,,,,-271.76100,-271.76100,-108.90800,,-380.66900,-906.78400,36.07100,-108.90800
2022-01-31,366.822,98.525,18.14,116.665,-31.031,-286.966,53.843,-248.2909,235.196,-179.924,0,0,0,0,-179.924,-65,0,-65,-226.8279,-226.8279,-100.603,0,-392.431,-337.159,37.442,-100.603
2021-10-31,385.03,88.045,40.529,128.574,-480.215,61.386,96.329,-355.346,158.258,-123.479,0,0,0,0,-123.479,0,0,0,-243.18,-243.18,-101.136,0,-344.316,-309.537,38.517,-101.136
2021-07-31,494.258,86.584,37.197,123.781,-53.035,11.351,165.071,-25.464,592.575,-117.5,0,0,0,0,-117.5,0,0,0,-170.95,-170.95,-101.865,0,-272.815,202.26,29.584,-101.865
2021-04-30,476.47900,87.51000,54.12600,141.63600,-189.01000,349.54000,-147.08000,134.70500,752.82000,-136.93700,,,,,-136.93700,,,,-41.31500,-41.31500,-101.51900,,-142.83400,473.04900,28.67400,-101.51900
2021-01-31,237.98,96.052,14.323,110.375,121.408,-187.737,21.465,114.455,462.81,-65.888,0,0,0,0,-65.888,0,-0.629,-0.629,6.315,6.315,0.007,-0.688,5.005,401.927,27.301,0.007
2020-10-31,131.197,88.567,246.612,335.179,-512.407,1416.284,214.961,1144.326,1610.702,-89.498,0,0,0,0,-89.498,214.076,-801.878,-587.802,-6.732,-6.732,0.003,-228.746,-823.277,697.927,27.37,0.003
2020-07-31,22.047,89.028,14.564,103.592,639.28,311.208,124.595,1105.224,1230.863,-110.318,0,0,0,0,-110.318,0,-2.479,-2.479,5.602,5.602,0,-0.119,3.004,1123.549,22.158,0
2020-04-30,-305.84200,90.59800,38.21000,128.80800,75.07600,-600.91800,-180.42400,-881.40800,-1058.44200,-139.72900,,,,,-139.72900,1976.03000,804.98600,2781.01600,-159.34000,-159.34000,-101.41400,-3.13500,2517.12700,1318.95600,24.73900,-101.41400
2020-01-31,456.133,95.803,33.777,129.58,336.457,-191.495,22.561,174.903,760.616,-154.232,0,0,0,0,-154.232,0,0,0,-307.078,-307.078,-91.423,0,-398.501,207.883,24.838,-91.423
2019-10-31,370.932,88.191,27.189,115.38,-332.927,118.598,66.91,-158.845,327.467,-150.937,0,0,0,0,-150.937,0,0,0,-324.676,-324.676,-91.728,0,-416.404,-239.874,25.987,-91.728
2019-07-31,412.721,84.141,30.249,114.39,-22.096,64.396,92.464,47.365,574.476,-154.685,0,0,0,0,-154.685,0,0,0,-315.987,-315.987,-92.92,0,-408.907,10.884,24.924,-92.92
2019-04-30,421.14200,82.75700,36.23200,118.98900,-63.33100,122.65400,-146.67300,-31.14400,508.98700,-95.62900,0.51700,,0.51700,,-95.11200,,,,-365.71500,-365.71500,-93.72200,,-459.43700,-45.56200,19.68900,-93.72200
2019-01-31,441.693,84.206,36.394,120.6,228.638,-217.579,34.209,54.312,616.605,-120.532,2.75,0,2.75,0,-117.782,-85,0,-85,-264.007,-264.007,-83.326,0,-432.333,66.49,24.224,-83.326
2018-10-31,338.108,83.748,21.724,105.472,-280.691,206.054,70.664,-7.692,435.888,-114.731,0.234,0,0.234,0,-114.497,0,0,0,-275.441,-275.441,-83.892,0,-359.333,-37.942,23.781,-83.892
2018-07-31,389.404,82.606,28.642,111.248,197.067,-116.669,53.025,41.482,542.134,-98.842,0,0,0,0,-98.842,0,0,0,-274.338,-274.338,-84.561,0,-358.899,84.393,23.82,-84.561
2018-04-30,418.25200,79.79700,40.60200,120.39900,-253.72100,238.67700,-141.87900,-66.60100,472.05000,-79.79300,0.50500,,0.50500,,-79.28800,,,,-295.48600,-295.48600,-85.41000,,-380.89600,11.86600,23.76000,-85.41000
2018-01-31,450.747,85.908,-27.825,58.083,198.49,-230.204,40.276,6.822,515.652,-88.579,0.687,0,0.687,0,-87.892,0,0,0,-221.358,-221.358,-61.067,0,-282.425,145.335,22.48,-61.067
2017-10-31,274.449,76.35,22.866,99.216,-231.892,116.698,109.256,-5.938,367.727,-97.547,0,0,0,0,-97.547,0,0,0,-216.516,-216.516,-61.497,0,-278.013,-7.833,22.218,-61.497
2017-07-31,316.539,75.085,20.06,95.145,-13.573,-7.96,-113.053,-134.586,277.098,-93.345,0,0,0,0,-93.345,0,0,0,-214.699,-214.699,-62.167,0,-276.866,-93.113,22.481,-62.167
2017-04-30,321.01800,75.82000,31.08500,106.90500,-81.87400,162.78800,12.02400,92.93800,520.86100,-75.97100,0.00000,,,,-75.97100,,,,-249.39200,-249.39200,-62.79500,,-312.18700,132.70300,20.23800,-62.79500
2017-01-31,300.568,78.379,17.402,95.781,250.859,-130.083,12.548,133.324,529.673,-77.438,0.786,0,0.786,-3.496,-80.148,0,0,0,-165.791,-165.791,-53.086,-1.227,-220.104,229.421,18.065,-53.086
2016-10-31,244.546,75.506,6.734,82.24,-203.536,20.558,105.866,-77.112,249.674,-73.016,0.4,0,0.4,3.639,-68.977,0,0,0,-178.01,-178.01,-53.47,1.876,-229.604,-48.907,20.283,-53.47
2016-07-31,281.906,74.752,13.286,88.038,-61.76,68.724,-66.434,-59.47,310.474,-67.702,0.514,0,0.514,-0.099,-67.287,0,0,0,-173.79,-173.79,-53.848,2.144,-225.494,17.693,18.49,-53.848
2016-04-30,290.63400,73.87800,28.42900,102.30700,-79.34500,123.88600,31.59800,76.13900,469.08000,-79.72400,,,,-0.04400,-79.76800,,,,-207.19100,-207.19100,-54.23600,20.53800,-240.88900,148.42300,17.71600,-54.23600
2016-01-31,264.161,72.654,85.056,157.71,281.73,-115.179,-24.197,142.354,564.225,-81.4,0.501,0,0.501,4.156,-76.743,0,0,0,-167,-167,-47.479,2.896,-211.583,275.899,25.364,-47.479
2015-10-31,215.656,73.445,17.807,91.252,-191.082,8.913,46.917,-135.252,171.656,-92.452,0.001,0,0.001,-0.018,-92.469,0,0,0,-177.935,-177.935,-47.891,2.054,-223.772,-144.585,15.692,-47.891
2015-07-31,258.639,65.413,11.023,76.436,-5.471,-78.236,-74.985,-158.692,176.383,-86.18,0.001,0,0.001,-0.064,-86.243,0,0,0,-173.106,-173.106,-48.199,0.097,-221.208,-131.068,15.593,-48.199
2015-04-30,282.20500,63.31600,13.40900,76.72500,-131.60600,143.03800,43.62600,55.05800,413.98800,-106.92800,0.60100,-0.71800,-0.11700,-0.00900,-107.05400,,,,-230.69800,-230.69800,-48.74300,37.25500,-242.18600,64.74800,14.28800,-48.74300
2015-01-31,248.53,62.638,65.637,128.275,122.338,-149.026,40.766,14.078,390.883,-95.146,-0.001,0,-0.001,0.435,-94.712,-0.524,0,-0.524,-128.312,-128.312,-41.647,-0.658,-171.141,125.03,14.225,-41.647
2014-10-31,192.72,59.651,-2.673,56.978,-236.193,163.288,63.398,-9.507,240.191,-298.195,0,0,0,2.279,-295.916,246.2,0,246.2,-133.073,-133.073,-41.926,6.318,77.519,21.794,13.681,-41.926
2014-07-31,239.561,54.205,1.657,55.862,-8.061,32.642,-82.79,-58.209,237.214,-104.65,0,0,0,-0.063,-104.713,0,0,0,-137.179,-137.179,-42.3,0.812,-178.667,-46.166,13.06,-42.3
2014-04-30,243.91300,56.46500,13.81000,70.27500,6.39600,157.25400,26.73900,190.38900,504.57700,-148.70000,12.02200,,12.02200,-6.98000,-143.65800,,,,-168.49900,-168.49900,-42.58100,22.94300,-188.13700,172.78200,12.03500,-42.58100
2014-01-31,217.953,56.7,-2.48,54.22,173.312,-142.925,38.222,68.609,340.782,-127.304,0.464,0,0.464,-0.063,-126.903,0,0,0,-126.387,-126.387,-36.502,-0.092,-162.981,50.898,11.175,-36.502
2013-10-31,171.618,50.558,12.305,62.863,-99.931,-29.263,43.606,-85.588,148.893,-151.521,0.011,-12.012,-12.001,9.513,-154.009,0,0,0,-141.243,-141.243,-36.811,4.875,-173.179,-178.295,11.461,-36.811
2013-07-31,213.121,50.127,8.255,58.382,-104.087,78.464,-66.411,-92.034,179.469,-174.138,1.032,0,1.032,-0.091,-173.197,0,0,0,-134.761,-134.761,-37.129,2.009,-169.881,-163.609,12.423,-37.129
2013-04-30,234.61200,48.72600,14.27200,62.99800,-17.21200,89.62000,-17.15900,55.24900,352.85900,-97.55200,0.10700,,0.10700,-12.25400,-109.69900,,,,-158.38600,-158.38600,-37.47500,20.11400,-175.74700,67.41300,11.78800,-37.47500
2013-01-31,236.602,51.667,-22.993,28.674,133.667,-116.654,51.085,68.098,333.374,-169.102,5.438,-5.006,0.432,-0.095,-168.765,0,0,0,-112.636,-112.636,-31.14,2.106,-141.67,22.939,11.572,-31.14
2012-10-31,159.524,46.14,8.876,55.016,-123.812,0.737,50.642,-72.433,142.107,-103.227,0.105,0,0.105,2.958,-100.164,0,0,0,-110.888,-110.888,-31.292,3.013,-139.167,-97.224,13.139,-31.292
2012-07-31,182.024,44.548,13.218,57.766,-84.389,55.849,-4.417,-32.957,206.833,-94.112,0.704,-0.618,0.086,8.44,-85.586,0,0,0,-111.097,-111.097,-31.543,1.322,-141.318,-20.071,12.654,-31.543
2012-04-30,208.61300,43.13600,11.70900,54.84500,-4.63300,100.17700,-61.67200,33.87200,297.33000,-57.99300,,0.19400,0.19400,-13.41000,-71.20900,,,,-125.78200,-125.78200,-31.71900,22.66200,-134.83900,91.28200,11.58700,-31.71900
2012-01-31,191.952,42.555,21.462,64.017,103.546,-29.841,76.74,150.445,406.414,-184.922,0,-6.376,-6.376,6.419,-184.879,0,0,0,-104.389,-104.389,-25.053,4.818,-124.624,96.911,9.993,-25.053
2011-10-31,143.969,39.921,1.919,41.84,-44.093,50.565,59.745,66.217,252.026,-85.629,0,0.797,0.797,6.96,-77.872,0,0,0,-110.113,-110.113,-25.366,1.533,-133.946,40.208,11.131,-25.366
2011-07-31,148.276,37.482,19.76,57.242,-16.807,-33.458,-34.639,-84.904,120.614,-75.624,0,8.354,8.354,-73.465,-140.735,0,0,0,-114.552,-114.552,-25.718,2.102,-138.168,-158.289,9.386,-25.718
2011-04-30,172.97300,39.93400,19.84500,59.77900,-85.79900,1.12000,-107.02200,-191.70100,41.05100,-70.09600,,1.81400,1.81400,,-68.28200,,,,-119.51000,-119.51000,-25.90500,9.72700,-135.68800,-162.91900,9.89400,-25.90500
2011-01-31,161.796,40.57,-0.137,40.433,-38.787,-26.26,109.123,44.076,246.305,-48.992,0,1.187,1.187,0,-47.805,0,0,0,-81.648,-81.648,-19.006,3.28,-97.374,101.126,9.028,-19.006
2010-10-31,121.378,39.962,24.257,64.219,-132.426,22.28,46.473,-63.673,121.924,-61.537,0,2.441,2.441,0,-59.096,0,0,0,-86.359,-86.359,-19.211,2.869,-102.701,-39.873,9.27,-19.211
2010-07-31,129.276,40.317,0.654,40.971,-7.639,-3.318,-43.634,-54.591,115.656,-52.603,0,-2.67,-2.67,0,-55.273,0,0,0,-93.988,-93.988,-19.491,2.115,-111.364,-50.981,9.343,-19.491
2010-04-30,142.34700,39.84400,-5.53400,34.31000,-35.56700,110.14900,-62.05800,12.52400,189.18100,-35.51900,,0.84800,0.84800,,-34.67100,,,,-86.07000,-86.07000,-19.61300,6.48200,-99.20100,55.30900,8.91000,-19.61300
2010-01-31,142.883,43.855,12.491,56.346,142.14,-129.141,92.274,105.273,304.502,-34.312,0,1.325,1.325,0,-32.987,0,0,0,-66.799,-66.799,-13.642,1.107,-79.334,192.181,6.514,-13.642
2009-10-31,105.08,39.686,6.994,46.68,-88.394,64.794,41.754,18.154,169.914,-43.444,0,3.508,3.508,0,-39.936,0,0,0,-62.681,-62.681,-13.735,2.176,-74.24,55.738,6.215,-13.735
2009-07-31,103.407,37.946,9.006,46.952,-8.583,20.726,10.734,22.877,173.236,-46.817,0,12.234,12.234,0,-34.583,0,0,0,-65.617,-65.617,-13.858,1.944,-77.531,61.122,6.52,-13.858
2009-04-30,91.38700,37.55600,14.65900,52.21500,-36.60300,159.51400,-25.78100,97.13000,240.73200,-33.90400,,4.57700,4.57700,,-29.32700,,,,-61.55500,-61.55500,-13.96700,2.06400,-73.45800,137.94700,6.49700,-13.96700
