,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,798,781,-73,708,-249,-105,-22,135,1633,-331,-278,3,3,28,-578,-206,-185,-391,-715,-715,-175,-1281,-183,79
2022-09-30,493,801,153,954,-158,-6,-98,-262,1180,-605,204,-5,-5,32,-374,-1076,1151,75,-807,-807,289,-443,312,89
2022-06-30,609,820,-146,674,-303,189,-179,-293,990,-387,-668,-22,-22,17,-1060,-38,651,613,-505,-505,215,323,230,94
2022-03-31,682.00000,810.00000,-356.00000,454.00000,-60.00000,-78.00000,-186.00000,-324.00000,815.00000,-156.00000,,-5.00000,-5.00000,61.00000,-100.00000,-381.00000,218.00000,-163.00000,-501.00000,-501.00000,-413.00000,-1077.00000,-372.00000,61.00000
2021-12-31,355,792,59,851,-60,206,13,159,1343,-346,-353,10,10,24,-665,-108,316,208,-983,-983,340,-435,227,49
2021-09-30,446,821,-151,670,-144,-74,-216,-434,678,-320,-2,16,16,39,-267,-266,341,75,-362,-362,192,-95,307,63
2021-06-30,284,825,29,854,-25,69,-117,-73,1061,-260,-212,462,462,20,10,-1529,1103,-426,-602,-602,210,-818,259,61
2021-03-31,318.00000,810.00000,-11.00000,799.00000,-129.00000,102.00000,-120.00000,-147.00000,952.00000,-234.00000,-281.00000,-225.00000,-225.00000,32.00000,-708.00000,457.00000,-56.00000,401.00000,-699.00000,-699.00000,-95.00000,-393.00000,-157.00000,66.00000
2020-12-31,313,785,392,1177,-140,-180,28,-292,1186,-211,-1,10,10,15,-187,-855,4,-851,-189,-189,394,-646,373,83
2020-09-30,276,799,5,804,182,88,-304,-34,1042,-201,-7,0,0,28,-180,-775,-27,-802,-16,-16,-8,-826,44,84
