,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,186,50,-77,-27,53,-48,-35,8,133,267,-24,0,-3,0,0,-27,-138,-138,-96,-96,17,-217,25,18
2022-09-30,170,55,-2,53,112,-185,6,-73,-152,67,-20,0,-3,-6,-6,-29,0,0,-50,-50,2,-48,-6,28
2022-06-30,-98,51,-72,-21,-114,-130,135,303,200,100,-17,0,-875,-1,-1,-893,1070,1070,-300,-300,-32,738,-59,25
2022-03-31,205.00000,52.00000,-59.00000,-7.00000,-56.00000,22.00000,-14.00000,-1.00000,-141.00000,54.00000,-14.00000,,,-5.00000,-5.00000,-19.00000,105.00000,105.00000,-305.00000,-305.00000,-20.00000,-220.00000,-187.00000,17.00000
2021-12-31,191,53,-60,-7,-132,-57,98,14,59,233,-21,0,-145,-11,-11,-177,-1,-1,-32,-32,13,-20,36,18
2021-09-30,199,48,15,63,-48,49,8,31,36,297,-13,0,-290,-7,-7,-310,0,0,0,0,-22,-22,-31,20
2021-06-30,219,44,20,64,-44,43,20,13,30,315,-15,0,-17,-4,-4,-36,-100,-100,-25,-25,-23,-148,129,22
2021-03-31,228.00000,44.00000,1.00000,45.00000,-15.00000,-17.00000,-30.00000,32.00000,-49.00000,224.00000,-10.00000,,,-13.00000,-13.00000,-23.00000,-156.00000,-156.00000,,,-25.00000,-181.00000,18.00000,16.00000
2020-12-31,199,46,-20,26,34,-35,54,53,215,431,-18,0,0,0,0,-18,-326,-326,0,0,38,-288,124,18
2020-09-30,116,35,7,42,-105,29,39,12,1,176,-16,0,-548,6,6,-558,346,346,0,0,18,364,-18,13
2020-06-30,100,34,19,53,93,-69,63,34,100,247,-20,0,0,-30,-30,-50,-181,-181,0,0,46,-135,62,13
2020-03-31,89.00000,34.00000,39.00000,73.00000,108.00000,33.00000,-109.00000,15.00000,-56.00000,108.00000,-13.00000,,,-2.00000,-2.00000,-15.00000,121.00000,121.00000,-200.00000,-200.00000,-19.00000,-98.00000,-6.00000,7.00000
2019-12-31,169,36,-37,-1,-23,-14,46,28,108,265,-17,0,-7,-1,-1,-25,-244,-244,-27,-27,26,-245,-3,12
2019-09-30,136,48,18,66,-36,16,30,2,28,225,-14,0,11,-1,-1,-4,-193,-193,14,14,-35,-214,6,12
2019-06-30,124,49,33,82,-65,26,16,13,-54,153,-15,0,-87,-20,-20,-122,-21,-21,-34,-34,-12,-67,-34,14
