,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-03-31,115.00000,48.00000,9.00000,57.00000,28.00000,23.00000,-97.00000,8.00000,-130.00000,42.00000,-15.00000,,-179.00000,10.00000,10.00000,-184.00000,146.00000,146.00000,,,15.00000,161.00000,17.00000,10.00000
2018-12-31,115,47,4,51,62,-27,53,21,171,325,-16,0,0,-1,-1,-17,-311,-311,0,0,1,-310,-1,11
2018-09-30,127,48,19,67,-67,-5,48,5,2,194,-15,0,-72,0,0,-87,-111,-111,0,0,2,-109,-1,10
2018-06-30,70,50,16,66,-35,-17,33,1,10,150,-15,0,0,2,2,-13,-140,-140,0,0,-10,-150,-18,14
2018-03-31,109.00000,45.00000,-5.00000,40.00000,9.00000,6.00000,-12.00000,12.00000,-37.00000,116.00000,-18.00000,,,-2.00000,-2.00000,-20.00000,-95.00000,-95.00000,,,3.00000,-92.00000,2.00000,10.00000
2017-12-31,4,62,38,100,123,35,-59,-11,166,268,-14,0,0,0,0,-14,-267,-267,-9,-9,-4,-280,-26,10
2017-09-30,-12,88,50,138,-66,-77,-3,9,-120,7,-14,0,0,-1,-1,-15,53,53,2,2,-54,1,-7,10
2017-06-30,17,78,7,85,25,-37,65,-12,-13,86,-9,0,0,0,0,-9,-160,-160,3,3,-3,-160,-85,8
2017-03-31,8.00000,73.00000,-1.00000,72.00000,79.00000,-31.00000,-52.00000,47.00000,41.00000,117.00000,-13.00000,,,,,-13.00000,-80.00000,-80.00000,4.00000,4.00000,-2.00000,-78.00000,24.00000,7.00000
2016-12-31,17,72,-26,46,-12,-4,59,-4,64,128,-28,0,39,0,0,11,-147,-147,3,3,-2,-146,-7,7
2016-09-30,-83,152,2,154,3,3,12,-7,54,128,-14,0,0,0,0,-14,-90,-90,3,3,-5,-92,22,8
2016-06-30,-45,83,3,86,-22,23,31,21,0,28,-16,0,0,0,0,-16,-65,-65,2,2,-6,-69,-53,3
2016-03-31,-26.00000,82.00000,14.00000,96.00000,65.00000,12.00000,20.00000,4.00000,19.00000,96.00000,-19.00000,,,-1.00000,-1.00000,-20.00000,-80.00000,-80.00000,3.00000,3.00000,,-77.00000,2.00000,9.00000
2015-12-31,-27,83,-86,-3,-39,13,-29,34,6,6,-35,0,0,-1,-1,-36,-35,-35,3,3,-11,-43,-66,6
2015-09-30,-29,81,2,83,-7,-3,51,-24,49,96,-38,0,-3,1,1,-40,0,0,3,3,0,3,53,7
2015-06-30,-77,87,-22,65,20,2,-16,-17,-5,-16,-23,0,0,0,0,-23,-80,-80,3,3,-4,-81,-125,9
2015-03-31,-25.00000,85.00000,5.00000,90.00000,28.00000,-25.00000,-27.00000,16.00000,-31.00000,36.00000,-26.00000,,-49.00000,26.00000,26.00000,-49.00000,-50.00000,-50.00000,8.00000,8.00000,2.00000,-40.00000,-64.00000,9.00000
2014-12-31,-52.108,55.777,-34.75,21.027,-59.19,16.606,54.025,5.192,147.809,118.322,-18.977,0,-3399,456.871,456.871,-2961.106,3189,3189,12.91,12.91,-27.653,3174.257,333.613,9.696
2014-09-30,14.945,9.127,5.126,14.253,-22.169,-13.545,13.311,-11.277,-14.097,19.765,-12.061,0,0,-23.891,-23.891,-35.952,0,0,4.404,4.404,1.681,6.085,-10.135,3.194
2014-06-30,27.557,9.093,6.023,15.116,16.152,-6.724,-2.901,-0.016,16.276,60.158,-5.588,0,0,-41.96,-41.96,-47.548,0,0,3.75,3.75,2.577,6.327,18.925,4.144
2014-03-31,41.60600,9.00300,2.60100,11.60400,-4.79300,1.66300,-2.43500,3.10100,-3.98800,49.75500,-2.37400,,,-64.02000,-64.02000,-66.39400,,,4.93600,4.93600,0.39500,5.33100,-11.40300,2.96600
2013-12-31,41.292,8.688,6.738,15.426,-0.359,-13.702,7.445,-2.009,0.591,57.011,-6.478,-0.5,-318.905,262.914,262.914,-62.969,0,0,11.989,11.989,-8.17,3.819,-1.456,3.628
2013-09-30,38.6,7.9,2.864,10.764,-4.665,2.512,-3.708,1.111,-2.348,45.933,-4.975,-1,223.905,-228.554,-228.554,-10.624,0,0,-27.53,-27.53,0.443,-27.087,8.31,2.868
2013-06-30,30.566,8.04,4.484,12.524,-1.46,7.247,10.382,1.417,24.106,66.892,-6.595,0,0,-31.047,-31.047,-37.642,0,0,-26.484,-26.484,3.369,-23.115,6.294,4.358
2013-03-31,23.54200,7.37200,2.91400,10.28600,-0.51600,6.94300,-7.11900,1.48100,-11.34900,24.16400,-1.95200,-0.50000,,-39.31300,-39.31300,-41.76500,,,2.02500,2.02500,0.35800,2.38300,-15.14800,2.14600
2012-12-31,34.99,16.385,-0.83,15.555,-2.539,-0.451,-3.762,-3.059,-1.039,48.348,-5.303,-0.5,-0.002,-16.949,-16.949,-22.754,0,0,-13.224,-13.224,0.086,-13.138,12.487,3.242
2012-09-30,27.097,6.942,14.839,21.781,-5.451,-4.618,-1.249,12.727,5.487,50.328,-6.541,-3,-46.084,-34.695,-34.695,-90.32,0,0,-13.285,-13.285,0.134,-13.151,-53.115,3.44
2012-06-30,30.653,6.005,3.162,9.167,1.205,9.43,-6.216,-8.559,5.898,48.102,-2.945,0,0,33.801,33.801,30.856,0,0,-16.726,-16.726,1.292,-15.434,63.425,4.245
2012-03-31,30.16400,5.95900,3.42600,9.38500,-1.86200,7.16900,-3.37800,10.54600,1.72900,36.55300,-7.65400,0.00000,13.79000,-29.45300,-29.45300,-23.31700,,,-7.77700,-7.77700,0.06600,-7.71100,5.52500,3.80000
2011-12-31,35.044,6.015,6.133,12.148,6.843,-12.91,3.054,0.005,-7.073,43.585,-9.089,-1.032,0,-35.051,-35.051,-45.172,0,0,-10.015,-10.015,0.127,-9.888,-8.741,3.035
2011-09-30,45.001,5.834,6.442,12.276,-15.974,-1.931,-3.798,-9.8,-35.56,27.235,-6.597,-0.2,0.198,-6.306,-6.306,-12.905,0,0,-62.884,-62.884,0.031,-62.853,-49.175,3.047
2011-06-30,32.964,6.219,3.503,9.722,-6.701,2.432,2.455,0.382,-29.991,12.657,-7.31,0,-3,46.118,46.118,35.808,0,0,-35.482,-35.482,0.589,-34.893,13.271,3.525
2011-03-31,61.63400,5.93200,-60.82100,-54.88900,12.56300,-7.13600,-7.15000,-17.43900,-8.55000,-5.16900,-3.92200,,164.00800,-84.59700,-84.59700,75.48900,,,-38.81000,-38.81000,0.64500,-38.16500,33.51000,4.48800
2010-12-31,28.217,7.511,-1,6.511,9.86,-17.912,-0.128,3.521,4.649,40.099,-6.969,-0.615,0,1.717,1.717,-5.867,0,0,-33.504,-33.504,0.161,-33.343,0.76,3.716
2010-09-30,26.151,7.677,3.18,10.857,-12.507,-10.589,0.075,6.279,0.108,34.408,-8.699,-1.248,0,-0.672,-0.672,-10.619,0,0,-17.878,-17.878,0.067,-17.811,5.924,3
2010-06-30,22.677,8.207,2.361,10.568,-5.946,-3.603,5.802,-7.607,-0.323,37.156,-9.235,-1.634,0,4.263,4.263,-6.606,0,0,-25.102,-25.102,0.013,-25.089,5.611,2.924
2010-03-31,24.73300,7.81400,5.68100,13.49500,3.99000,-1.78000,0.87000,-1.39400,-3.13700,30.17400,-5.81800,,,-10.70600,-10.70600,-16.52400,,,-16.63200,-16.63200,0.00300,-16.62900,-1.99100,2.23100
2009-12-31,17.63,8.504,12.499,21.003,-5.05,-0.317,5.111,1.381,4.585,42.715,-5.391,0,0,-23.654,-23.654,-29.045,0,0,-14.114,-14.114,0.002,-14.112,1.641,2.78
2009-09-30,11.111,8.462,5.996,14.458,-3.715,12.499,-6.737,1.034,5.926,30.555,-6.851,0,0,-21.657,-21.657,-28.508,0,0,-6.786,-6.786,0.011,-6.775,-5.744,3.101
2009-06-30,9.011,7.994,-0.192,7.802,4.494,11.533,-7.94,-0.482,14.978,33.642,-5.846,0,0,-7.536,-7.536,-13.382,0,0,-12.148,-12.148,0,-12.148,10.093,2.419
2009-03-31,9.35200,7.95300,6.43000,14.38300,13.01800,-1.40000,-6.53900,2.30000,-24.62200,-1.21400,-6.80200,-0.42500,,37.51100,37.51100,30.28400,,,-27.42500,-27.42500,,-27.42500,1.43200,3.16700
