,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,417,241,430,671,-117,47,468,7,782,-67,0,47,-47,0,5,-62,-3,-3,-166,-166,-214,-2,-385,351,72,-214
2022-09-30,-301,232,651,883,53,-98,-116,78,588,-58,3,-17,0,-17,5,-67,-4,-4,-165,-165,-215,-8,-392,109,71,-215
2022-06-30,470,233,-174,59,93,-151,105,219,749,-40,2,-30,0,-30,11,-57,1,1,-417,-417,-217,-28,-661,18,99,-217
2022-03-31,475.00000,232.00000,-180.00000,52.00000,-239.00000,-108.00000,-300.00000,-487.00000,39.00000,-55.00000,,,,,-9.00000,-64.00000,-4.00000,-4.00000,-278.00000,-278.00000,-218.00000,-13.00000,-513.00000,-539.00000,83.00000,-218.00000
2021-12-31,484,488,-259,229,-16,40,1,275,822,-125,131,-14,0,-14,2,-6,0,0,-797,-797,-199,-4,-1000,-185,83,-199
2021-09-30,479,239,-20,219,171,-154,-258,-249,484,-76,168,0,0,0,1,93,-2,-2,-1269,-1269,-202,-3,-1476,-903,81,-202
2021-06-30,413,233,-133,100,-151,-15,52,177,720,-60,1430,0,0,0,-2,1368,-5,-5,-822,-822,-207,-3,-1037,1053,94,-207
2021-03-31,466.00000,251.00000,51.00000,302.00000,213.00000,61.00000,-438.00000,-77.00000,661.00000,-64.00000,,,,,3.00000,-61.00000,,,-690.00000,-690.00000,-209.00000,-1.00000,-900.00000,-300.00000,90.00000,-209.00000
2020-12-31,184,1031,-502,529,-215,-79,207,63,698,-83,38,-12,0,-12,10,-47,-135,-135,-423,-423,-179,-2,-739,-65,71,-179
2020-09-30,430,253,-30,223,24,-36,-140,-44,757,-86,39,0,0,0,0,-47,-2,-2,-1148,-1148,-179,-2,-1331,-606,77,-179
2020-06-30,278,285,38,323,105,135,309,252,802,-60,963,0,0,0,0,903,-250,-250,4,4,-184,0,-430,1284,75,-184
2020-03-31,194.00000,230.00000,297.00000,527.00000,-164.00000,40.00000,-337.00000,-188.00000,533.00000,-48.00000,,,,,-10.00000,-58.00000,244.00000,244.00000,-667.00000,-667.00000,-183.00000,-6.00000,-612.00000,-161.00000,87.00000,-183.00000
2019-12-31,-946,-330,446,116,-50,-88,11,-20,-797,158,-1478,0,0,0,-2,-1322,401,401,623,623,334,95,1453,-658,-214,334
2019-09-30,435,201,-483,-282,31,75,-73,5,81,-64,1478,0,0,0,0,1414,-97,-97,-655,-655,-172,-90,-1014,471,143,-172
2019-06-30,268,65,32,97,-22,21,39,-78,311,-57,0,0,0,0,2,-55,-3,-3,26,26,-81,-1,-59,196,34,-81
2019-03-31,243.00000,64.00000,5.00000,69.00000,41.00000,-8.00000,23.00000,93.00000,405.00000,-37.00000,,,,,,-37.00000,-301.00000,-301.00000,6.00000,6.00000,-81.00000,-4.00000,-380.00000,-9.00000,37.00000,-81.00000
