,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,819,1621,-80,1541,143,-171,-1049,-1077,1340,-13,0,462,-836,-374,-287,-674,0,0,-439,-439,-219,0,-658,26,-219
2022-09-30,454,1601,-33,1568,479,635,-1080,34,2484,-12,0,-364,-1157,-1521,-154,-1687,0,0,-490,-490,-220,0,-710,63,-220
2022-06-30,551,1575,-150,1425,-364,671,-911,-604,1375,-7,0,-110,-141,-251,-452,-710,0,0,-465,-465,-223,0,-688,-42,-223
2022-03-31,1018.00000,1544.00000,-55.00000,1489.00000,-791.00000,727.00000,-734.00000,-798.00000,1266.00000,-9.00000,-4.00000,367.00000,-1540.00000,-1173.00000,529.00000,-657.00000,,,-400.00000,-400.00000,-213.00000,,-613.00000,-9.00000,-213.00000
2021-12-31,1333,1509,-276,1233,83,-211,-1183,-1311,1692,-6,0,917,-1179,-262,-506,-774,0,0,-764,-764,-214,0,-978,-57,-214
2021-09-30,662,1493,-265,1228,122,492,-368,246,2543,-8,0,948,-2669,-1721,92,-1637,0,0,-551,-551,-219,0,-770,129,-219
2021-06-30,934,1469,-373,1096,-243,459,-807,-591,1849,-9,0,-718,-1191,-1909,-93,-2011,739,739,-329,-329,-222,0,188,26,-222
2021-03-31,733.00000,1442.00000,-188.00000,1254.00000,-321.00000,509.00000,-481.00000,-293.00000,1190.00000,-5.00000,-38.00000,524.00000,-1464.00000,-940.00000,209.00000,-774.00000,,,-263.00000,-263.00000,-214.00000,,-477.00000,-58.00000,-214.00000
2020-12-31,1310,1427,-174,1253,406,-368,-1211,-1173,1901,-264,0,821,-795,26,-677,-915,-500,-500,-146,-146,-218,0,-864,138,-218
2020-09-30,827,1393,-187,1206,37,317,-23,331,2326,175,0,-240,-2448,-2688,350,-2163,0,0,7,7,-217,0,-210,-40,-217
2020-06-30,-40,1361,163,1524,-170,229,-171,-112,1664,-8,0,-2053,229,-1824,-66,-1898,490,490,34,34,-216,0,308,79,-216
2020-03-31,600.00000,1381.00000,37.00000,1418.00000,-341.00000,414.00000,-827.00000,-754.00000,628.00000,-16.00000,,906.00000,-822.00000,84.00000,16.00000,84.00000,,,-440.00000,-440.00000,-210.00000,,-650.00000,50.00000,-210.00000
2019-12-31,873,1363,-90,1273,172,-342,-1008,-1178,1412,-12,0,-340,-147,-487,-356,-855,0,0,-369,-369,-211,0,-580,-14,-211
2019-09-30,396,1349,-107,1242,229,392,-613,8,2001,-10,0,-1114,-357,-1471,135,-1346,0,0,-343,-343,-214,0,-557,92,-214
2019-06-30,557,1324,-145,1179,-292,407,-892,-777,1153,-8,0,606,-554,52,-159,-115,-500,-500,-265,-265,-214,0,-979,59,-214
2019-03-31,796.00000,1328.00000,-55.00000,1273.00000,-336.00000,551.00000,-1187.00000,-972.00000,639.00000,-77.00000,,-109.00000,-613.00000,-722.00000,213.00000,-586.00000,492.00000,492.00000,-358.00000,-358.00000,-205.00000,,-71.00000,-16.00000,-205.00000
2018-12-31,621,1316,-111,1205,36,-385,-697,-1046,948,-17,4,452,-690,-238,-319,-570,0,0,-155,-155,-203,0,-358,14,-203
2018-09-30,709,1315,-117,1198,102,216,-696,-378,1734,-13,-4,-746,-353,-1099,-186,-1302,100,100,-381,-381,-207,0,-488,-56,-207
2018-06-30,524,1280,-124,1156,-239,361,-905,-783,1144,-11,0,792,-835,-43,-22,-76,-500,-500,-337,-337,-207,0,-1044,18,-207
2018-03-31,669.00000,1273.00000,-140.00000,1133.00000,-392.00000,518.00000,-944.00000,-818.00000,554.00000,-33.00000,,410.00000,-907.00000,-497.00000,149.00000,-381.00000,391.00000,391.00000,-316.00000,-316.00000,-197.00000,,-122.00000,53.00000,-197.00000
2017-12-31,551,1274,82,1356,158,-331,-1121,-1294,663,-19,0,964,-547,417,-224,174,-350,-350,-326,-326,-196,0,-872,-35,-196
2017-09-30,293,1261,-169,1092,-84,163,-17,62,1731,-14,-439,-566,-61,-627,-106,-1186,0,0,-298,-298,-200,0,-498,51,-200
2017-06-30,595,1230,-226,1004,-260,214,-928,-974,906,-10,0,-473,-140,-613,-52,-675,482,482,-440,-440,-199,0,-157,79,-199
2017-03-31,617.00000,1214.00000,37.00000,1251.00000,-192.00000,475.00000,-731.00000,-448.00000,848.00000,-16.00000,,49.00000,-642.00000,-593.00000,94.00000,-515.00000,,,-203.00000,-203.00000,-190.00000,,-393.00000,-58.00000,-190.00000
2016-12-31,943,1215,-72,1143,416,-353,-1083,-1020,1406,-18,0,-64,119,55,-630,-593,0,0,-583,-583,-188,0,-771,38,-188
2016-09-30,716,1223,-139,1084,159,194,-786,-433,1770,-10,0,-816,-181,-997,-36,-1043,0,0,-527,-527,-194,0,-721,4,-194
2016-06-30,664,1189,-76,1113,16,203,-1661,-1442,443,-13,0,596,-623,-27,95,55,91,91,-485,-485,-195,0,-589,-96,-195
2016-03-31,691.00000,1184.00000,97.00000,1281.00000,-267.00000,328.00000,-788.00000,-727.00000,850.00000,-7.00000,,85.00000,-436.00000,-351.00000,212.00000,-146.00000,,,-545.00000,-545.00000,-180.00000,,-725.00000,-19.00000,-180.00000
2015-12-31,866,1170,40,1210,140,-294,-1123,-1277,760,-7,-13,456,670,1126,-298,808,-400,-400,-960,-960,-182,13,-1529,36,-182
2015-09-30,928,1178,-132,1046,170,180,-1055,-705,1799,-47,0,-1215,130,-1085,-124,-1256,392,392,-726,-726,-188,11,-511,27,-188
2015-06-30,812,1167,-92,1075,-34,177,-1269,-1126,676,-63,0,567,-3,564,-210,291,0,0,-774,-774,-192,4,-962,9,-192
2015-03-31,833.00000,1188.00000,80.00000,1268.00000,-189.00000,185.00000,-1548.00000,-1552.00000,199.00000,-6.00000,,-134.00000,399.00000,265.00000,215.00000,474.00000,,,-581.00000,-581.00000,-177.00000,27.00000,-731.00000,-66.00000,-177.00000
2014-12-31,1038,1194,-68,1126,124,-306,-1339,-1521,525,8,0,665,68,733,-133,608,0,0,-960,-960,-180,19,-1121,7,-180
2014-09-30,919,1195,-233,962,326,144,-1242,-772,1840,-5,0,-1223,534,-689,-195,-889,0,0,-719,-719,-184,14,-889,56,-184
2014-06-30,683,1180,-156,1024,-174,141,-854,-887,625,-27,0,220,347,567,-128,412,0,0,-811,-811,-189,11,-989,51,-189
2014-03-31,1052.00000,1177.00000,13.00000,1190.00000,-83.00000,94.00000,-1195.00000,-1184.00000,703.00000,-9.00000,-12.00000,-160.00000,76.00000,-84.00000,180.00000,75.00000,,,-647.00000,-647.00000,-176.00000,13.00000,-810.00000,-34.00000,-176.00000
2013-12-31,988,1195,-86,1109,478,-456,-1270,-1248,927,-42,-997,2004,-390,1614,-378,197,494,0,-953,-953,-180,8,-1125,-1,-180
2013-09-30,864,1160,-69,1091,516,138,-1506,-852,1637,-6,0,-1974,658,-1316,123,-1199,0,494,-782,-782,-183,14,-457,-13,-183
2013-06-30,925,1166,-248,918,109,158,-1335,-1068,722,-53,0,-28,47,19,-177,-211,0,0,-260,-260,-191,8,-443,65,-191
2013-03-31,896.00000,1167.00000,47.00000,1214.00000,235.00000,187.00000,-1705.00000,-1283.00000,530.00000,-6.00000,,109.00000,120.00000,229.00000,80.00000,303.00000,-500.00000,-500.00000,-260.00000,-260.00000,-175.00000,21.00000,-914.00000,-87.00000,-175.00000
2012-12-31,304,1186,-108,1078,-304,-383,-253,-940,464,-33,0,158,231,389,-170,186,0,0,-371,-371,-175,6,-540,110,-175
2012-09-30,864,1192,55,1247,335,160,-1602,-1107,1501,-4,0,-408,-545,-953,-120,-1077,0,0,-272,-272,-178,13,-437,-10,-178
2012-06-30,499,1172,-112,1060,-60,229,-1111,-942,451,-53,0,141,338,479,-212,214,-258,-258,-260,-260,-180,7,-691,-28,-180
2012-03-31,806.00000,1187.00000,-5.00000,1182.00000,344.00000,117.00000,-1488.00000,-1027.00000,814.00000,-5.00000,,226.00000,-672.00000,-446.00000,156.00000,-295.00000,,,-329.00000,-329.00000,-161.00000,12.00000,-478.00000,44.00000,-161.00000
2011-12-31,618,1179,-112,1067,765,-424,-1787,-1446,351,-25,0,1205,54,1259,-319,915,0,0,-1120,-1120,-165,1,-1284,-17,-165
2011-09-30,333,1176,-28,1148,124,217,-1164,-823,917,-6,0,216,-506,-290,-122,-418,0,0,-370,-370,-171,6,-535,-42,-171
2011-06-30,-364,1167,-144,1023,-368,220,131,-17,268,-5,0,628,-503,125,5,125,-8,-8,-181,-181,-174,4,-359,34,-174
2011-03-31,839.00000,1156.00000,11.00000,1167.00000,51.00000,175.00000,-1215.00000,-989.00000,633.00000,-30.00000,,-31.00000,526.00000,495.00000,65.00000,530.00000,,,-980.00000,-980.00000,-155.00000,7.00000,-1128.00000,39.00000,-155.00000
2010-12-31,894,1161,-137,1024,748,-355,-1757,-1364,662,-16,0,-633,1001,368,112,464,349,349,-1416,-1416,-161,2,-1226,-98,-161
2010-09-30,1005,1163,-173,990,380,148,-1418,-890,1341,-7,0,-1116,887,-229,-317,-553,-25,-25,-569,-569,-169,1,-762,32,-169
2010-06-30,670,1145,-65,1080,157,184,-1459,-1118,520,-4,0,848,565,1413,-163,1246,-250,-250,-1323,-1323,-175,1,-1747,15,-175
2010-03-31,647.00000,1145.00000,6.00000,1151.00000,-11.00000,86.00000,-1163.00000,-1088.00000,531.00000,6.00000,,202.00000,724.00000,926.00000,20.00000,952.00000,,,-1322.00000,-1322.00000,-168.00000,4.00000,-1486.00000,-4.00000,-168.00000
2009-12-31,1285,1144,-107,1037,799,-348,-1679,-1228,1027,-3,0,1715,-918,797,-248,546,0,0,-1435,-1435,-175,4,-1606,-31,-175
2009-09-30,935,1154,7,1161,637,25,-1418,-756,1415,-3,0,-122,-354,-476,156,-323,-2,-2,-923,-923,-168,2,-1091,4,-168
2009-06-30,740,1162,-8,1154,221,163,-975,-591,976,-4,0,-772,390,-382,-153,-539,494,494,-733,-733,-172,1,-410,37,-172
2009-03-31,662.00000,1150.00000,430.00000,1580.00000,123.00000,64.00000,-1321.00000,-1134.00000,813.00000,-5.00000,,-451.00000,-441.00000,-892.00000,314.00000,-583.00000,-141.00000,-141.00000,-17.00000,-17.00000,-178.00000,1.00000,-335.00000,-105.00000,-178.00000
