,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,150,215,398,613,-785,56,897,408,1162,-144,0,-34,-711,-711,15,-874,0,0,0,0,-75,-75,221,363
2022-09-30,80,201,342,543,-66,-24,-245,-367,265,-162,0,0,-470,-470,3,-629,0,0,71,71,-111,-40,-416,361
2022-06-30,20,191,355,546,-51,71,-191,-133,433,-151,0,-57,-593,-593,1,-800,-94,-94,1,1,-85,-178,-589,352
2022-03-31,75.00000,184.00000,338.00000,522.00000,562.00000,69.00000,-162.00000,266.00000,863.00000,-93.00000,,,-186.00000,-186.00000,-1.00000,-280.00000,,,105.00000,105.00000,-156.00000,-51.00000,527.00000,325.00000
2021-12-31,26,216,338,554,-620,16,677,301,844,-100,-7,-7,-247,-247,2,-359,-2,-2,2,2,-155,-155,326,303
2021-09-30,63,200,262,462,-5,-36,-186,-242,320,-94,0,-40,-74,-74,11,-197,-6,-6,70,70,-142,-78,35,291
2021-06-30,59,185,263,448,-130,-14,-147,-207,300,-91,0,-513,-4,-4,-6,-614,-53,-53,0,0,-96,-149,-456,281
2021-03-31,82.00000,172.00000,267.00000,439.00000,354.00000,89.00000,-42.00000,206.00000,727.00000,-107.00000,,-225.00000,-112.00000,-112.00000,7.00000,-437.00000,,,95.00000,95.00000,-219.00000,-124.00000,148.00000,256.00000
2020-12-31,17,178,194,372,-362,-36,488,296,685,-134,-13,1,-39,-39,8,-177,1047,1047,4,4,-1254,-203,327,245
2020-09-30,13,140,199,339,10,-36,-90,-111,241,-91,0,-25,-588,-588,2,-702,-71,-71,51,51,984,964,511,220
2020-06-30,41,126,227,353,-9,17,-76,-26,368,-111,0,0,-127,-127,-5,-243,-16,-16,24,24,-111,-103,28,217
2020-03-31,48.00000,134.00000,189.00000,323.00000,209.00000,21.00000,-31.00000,121.00000,492.00000,-83.00000,,-83.00000,-215.00000,-215.00000,-4.00000,-385.00000,,,67.00000,67.00000,-128.00000,-61.00000,35.00000,188.00000
2019-12-31,599.026,126.183,-411.302,-285.1191,-288.331,-9.088,300.423,102.711,421.239,-79.111,-35.64,-7,-78.762,-78.762,1.258,-199.255,0,0,2.773,2.773,-79.198,-76.425,151.998,169.856
2019-09-30,40.598,115.072,166.097,281.1691,-43.023,4.995,-22.936,-107.359,210.178,-88.869,-1.2,0,-31.915,-31.915,-0.371,-122.355,0,0,41.927,41.927,-83.183,-41.256,38.842,162.934
2019-06-30,-11.079,108.571,167.235,275.806,-79.751,18.531,-6.599,-19.877,243.735,-49.896,-36.16,0,-116.426,-116.426,-0.035,-202.517,0,0,10.207,10.207,-108.126,-97.919,-56.494,171.76
2019-03-31,-1.54500,103.17400,155.97000,259.14400,151.10500,6.56200,-18.88800,102.52500,360.84800,-47.12400,,,-175.89700,-175.89700,22.14800,-200.87300,,,53.09300,53.09300,-139.49300,-86.40000,74.65400,157.45000
2018-12-31,7.015,88.041,116.302,204.343,-153.602,-9.815,186.532,95.836,289.612,-88.113,-10.8,-12.5,-135.726,-135.726,0,-247.139,311.52,311.52,3.723,-425.922,-59.919,-174.321,-137.785,142.644
2018-09-30,8.405,92.17,128.961,221.131,-58.486,7.69,-17.078,-90.244,145.501,-47.987,-2.75,0,-38.612,-38.612,0,-89.349,-40.335,-40.335,39.018,39.018,-66.917,-68.234,-14.17,144.408
2018-06-30,-52.746,84.59,49.283,133.873,-3.562,-3.507,14.684,40.671,125.896,-52.991,-3,-24.94,307.243,307.243,0,226.312,-242.579,-242.579,8.762,8.762,-69.264,-303.081,35.131,135.56
2018-03-31,10.62200,80.89400,69.87800,150.77200,69.50200,0.87500,25.45000,94.49100,250.08000,-35.37100,-7.85000,,-194.02500,-194.02500,,-237.24600,-28.60600,-28.60600,52.65700,52.65700,-85.84300,-61.79200,-42.46700,121.34100
2017-12-31,-17.346,79.831,105.958,185.7891,-145.572,5.584,88.324,15.691,184.783,-34.654,-0.5,-31.666,-451.464,-451.464,0,-518.284,-0.004,-0.004,5.819,5.819,-53.041,-47.226,-378.479,105.627
2017-09-30,-22.182,71.035,99.138,170.173,-9.307,-3.228,-3.479,-6.627,141.824,-46.753,0,-5,-158.428,-158.428,0,-210.181,0,0,35.856,35.856,-43.902,-8.046,-68.678,100.442
2017-06-30,-55.804,59.566,96.606,156.172,6.671,-8.535,22.424,29.098,128.725,-35.917,-6.17,-6.502,20.871,20.871,0,-27.718,772.127,772.127,5.156,5.156,-163.488,613.795,733.685,98.066
2017-03-31,-21.51400,55.94200,86.57800,142.52000,48.51500,0.67500,37.43900,67.87500,187.60800,-33.18600,,-15.03500,-79.54400,-79.54400,,-127.76500,,,34.80700,34.80700,-54.43800,-19.63100,39.36900,89.86900
2016-12-31,4.966,39.976,87.631,127.607,-110.654,5.071,48.958,-5.347,131.847,-21.45,-8,0,0.028,0.028,0.322,-29.1,0,0,11.315,11.315,-32.202,-20.887,76.384,83.194
2016-09-30,-36.258,52.384,82.418,134.802,-22.728,-8.353,14.095,-0.437,96.718,-31.183,0,0,-20.697,-20.697,0.289,-51.591,0,0,20.912,20.912,-29.919,-9.007,35.954,81.087
2016-06-30,-49.625,48.481,71.639,120.12,-8.844,-3.659,18.977,-219.528,-148.171,-23.852,-5,-33.797,66.662,66.662,-0.154,3.859,0,0,14.278,14.278,-31.446,-17.168,-164.337,78.065
2016-03-31,-333.33200,45.08400,75.30800,120.39200,15.81100,3.38700,27.02400,291.95700,78.68700,-29.07700,-5.75000,-0.50000,4.37800,4.37800,-0.45700,-31.40600,,,19.87300,19.87300,-28.56300,-8.69000,41.14500,75.30800
2015-12-31,-37.378,43.542,66.9,110.442,-45.552,6.473,52.068,34.32,106.554,-24.893,-1.75,0,-34.286,-34.286,0.408,-60.521,0,0,20.001,20.001,-0.303,19.698,63.432,68.182
2015-09-30,-41.03,41.481,65.111,106.592,-16.642,6.678,3.03,-0.76,63.649,-20.768,0,0,-50.43,-50.43,-0.474,-71.672,0,0,31.663,31.663,-0.269,31.394,23.719,65.111
2015-06-30,-61.925,40.206,66.346,106.552,0.903,1.628,28.125,37.855,80.185,-15.121,0,0,-49.908,-49.908,0.035,-64.994,0,0,11.21,11.21,-11.711,-0.501,17.373,66.346
2015-03-31,-58.09300,38.82900,58.07400,96.90300,10.43600,0.00600,21.57400,30.49900,67.36600,-26.69900,,-1.10000,-6.56600,-6.56600,0.03100,-34.33400,,,30.47400,30.47400,-0.73500,29.73900,55.52600,58.07400
2014-12-31,-44.663,37.688,45.988,83.676,-49.85,6.331,46.217,13.144,49.661,-8.88,0,0,-34.323,-34.323,0,-43.203,0,0,14.998,14.998,-1.357,13.641,17.369,45.996
