,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,329.9,44.8,40.1,84.9,-3.7,193.4,-61.1,16,218,632.8,-81.5,0,0,15.3,15.3,0,-66.2,-6.5,0,-6.5,-197.4,-197.4,-71.5,-3.1,-278.5,303.7,19.7,-71.5
2022-09-30,195.30000,43.80000,-10.00000,33.80000,-15.80000,-181.90000,0.90000,-68.70000,-399.50000,-170.40000,-27.30000,,,132.20000,132.20000,41.90000,146.80000,-12.80000,,-12.80000,-88.80000,-88.80000,-72.70000,-51.90000,-226.20000,-263.30000,15.10000,-72.70000
2022-06-30,188.8,47.2,43.2,90.4,-36.5,-119.5,63.3,-44.2,-42.4,236.8,-18.8,0,0,102.7,102.7,0,83.9,100.7,0,100.7,-347.7,-347.7,-61.6,-1.2,-309.8,-16.2,19.1,-61.6
2022-03-31,122.7,48.5,21.9,70.4,29.4,-174.8,23.8,-9.2,-244.8,-51.7,-3.4,0,0,121.6,121.6,0,118.2,-0.2,0,-0.2,-451.2,-451.2,-65.3,0.5,-516.2,-451.4,19.6,-65.3
2021-12-31,317.9,48.8,99.6,148.4,-48.6,67.4,32,-14.5,180,646.3,-38.3,0,0,11,11,0,-27.3,-1.8,0,-1.8,-480.1,-480.1,-67.9,-56.1,-605.9,4.8,18.6,-67.9
2021-09-30,226.90000,50.80000,3.70000,54.50000,-40.30000,-84.80000,-32.70000,38.50000,-259.60000,21.80000,-33.40000,,,-395.00000,-395.00000,,-428.40000,-0.20000,,-0.20000,-246.30000,-246.30000,-69.60000,-30.10000,-346.20000,-755.10000,14.90000,-69.60000
2021-06-30,199.8,51.5,78.8,130.3,39.7,-31.7,32.3,-124,49,379.1,-47.1,0,0,-0.3,-0.3,0,-47.4,0.6,0,0.6,23.4,23.4,0,-1.4,22.6,356,17.4,0
2021-03-31,91.7,64.8,80.1,144.9,93.9,-80.4,21.2,-26.2,-38.3,198.3,-19.2,0,0,1.4,1.4,0,-17.8,-0.2,-200,-200.2,31.6,31.6,0,-1.1,-169.7,9.1,17.8,0
2020-12-31,311,51.2,-6.7,44.5,-113.8,201.8,118.7,-21.5,300.8,656.3,-23.7,0,0,-0.1,-0.1,0,-23.8,-11.7,-500,-511.7,6.2,6.2,0,-5,-510.5,128.7,14.9,0
2020-09-30,231.70000,51.20000,-111.70000,-60.50000,-29.40000,-57.50000,135.10000,-68.20000,-81.20000,90.00000,-2.10000,,,0.10000,0.10000,,-2.00000,-0.20000,,-0.20000,,,,-8.20000,-8.40000,87.60000,14.00000,0.00000
2020-06-30,-293.8,53.4,117,170.4001,-13.3,113,-73.2,19,84.3,-39.1,-32.5,0,0,146,146,0,113.5,700.6,0,700.6,4.3,4.3,-93.2,-2.7,609,683.7,6.1,-93.2
2020-03-31,-677.1,69.9,639.3,709.1999,153.9,-191.1,-37.8,21.8,-147.7,-115.6,-50.7,0,0,109.4,109.4,0,58.7,-0.2,0,-0.2,-1.7,-1.7,-93.1,-1.6,-96.6,-154.3,13.2,-93.1
2019-12-31,298.8,60.8,54.7,115.5,-40.6,136.2,-17.8,-13.5,141.7,556,-50.3,0,0,-4,-4,0,-54.3,-0.2,0,-0.2,-31.4,-31.4,-97.2,-0.3,-129.1,374.8,16.7,-97.2
