,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-43.384,312.571,-11.793,300.778,18.223,-6.208,267.253,-67.369,0,93.116,93.116,-159.644,-133.897,24.6801,24.6801,-1.159,-1.159,-181.674,-0.819,-158.972,-24.893,1.929,-181.674
2022-09-30,3.063,289.581,6.766,296.347,-31.575,-10.426,300.278,-63.757,0,-44.694,-44.694,-57.61,-166.061,93.0629,93.0629,-0.328,-0.328,-181.767,-22.978,-112.01,19.607,6.185,-181.767
2022-06-30,-41.202,270.288,10.482,280.77,-3.252,-10.941,278.079,-54.276,0,-44.456,-44.456,-23.202,-121.934,8.046,8.046,2.897,2.897,-181.615,-7.656,-178.328,-23.416,6.805,-181.615
2022-03-31,40.59200,274.77200,18.07100,292.84300,-31.37800,-34.55800,274.55300,-36.72800,,-337.66800,-337.66800,-62.93000,-437.32600,351.83600,351.83600,5.79400,5.79400,-181.55500,-10.69300,165.38200,2.85000,15.79600,-181.55500
2021-12-31,-39.105,304.8071,-8.052,296.755,10.972,-19.083,265.801,-65.964,0,77.293,77.293,-19.126,-7.797,-62.5102,-62.5102,2.501,2.501,-181.277,-17.568,-258.854,0.075,5.801,-181.277
2021-09-30,62.774,278.0939,-120.572,157.5219,-40.115,-22.848,231.459,-45.189,0,-721.547,-721.547,171.498,-595.238,-126.4669,-126.4669,604.001,604.001,-171.37,-19.703,286.461,-78.246,4.7,-171.37
2021-06-30,88.288,238.762,-41.481,197.281,-6.016,26.156,291.263,-44.448,0,107.767,107.767,-81.812,-18.493,-38.041,-38.041,5.853,5.853,-170.397,-6.421,-209.006,64.556,5.393,-170.397
2021-03-31,-55.39800,304.65400,31.93700,336.59100,-25.33400,-29.22100,237.59300,-29.67400,,7.87300,7.87300,-80.81100,-102.61200,-193.77100,-193.77100,13.15600,13.15600,-170.60500,-25.84700,-377.06700,-241.42800,16.07200,-170.60500
2020-12-31,111.953,251.961,-44.756,207.205,13.246,-7.001,295.763,-53.827,0,360.73,360.73,-339.2331,-32.33,-290.994,-290.994,30.552,30.552,-169.775,-12.105,-442.322,-176.85,4.165,-169.775
2020-09-30,13.737,235.915,21.658,257.573,-75.834,160.233,434.402,-40.888,0,54.644,54.644,-175.211,-161.455,-538.763,-538.763,36.39,36.39,-169.404,-2.694,-674.471,-400.646,5.765,-169.404
2020-06-30,-159.235,352.035,133.589,485.624,31.431,70.219,405.559,-26.73,0,4.435,4.435,-146.806,-169.101,-1787.291,-1787.291,0.129,0.129,-298.284,-9.082,-2094.528,-1857.123,1.043,-298.284
2020-03-31,474.73000,249.71500,-210.19000,39.52500,-36.80000,-203.60800,314.45200,-26.78900,,545.90000,545.90000,-1.93000,517.18100,2216.41500,2216.41500,2.81900,2.81900,-298.62900,-9.30500,1911.30000,2740.15700,10.51400,-298.62900
2019-12-31,12.893,353.502,1.553,355.055,8.319,-17.741,354.235,-56.937,0,51.98,51.98,-158.4629,-163.42,51.2807,51.2807,0.0381,0.0381,-298.267,-7.445,-254.393,-62.494,7.253,-298.267
2019-09-30,86.918,239.587,36.159,275.746,-42.201,-12.48,354.329,-41.406,0,-728.616,-728.616,-144.13,-914.152,854.4949,854.4949,84.2519,84.2519,-296.9779,-11.834,629.935,70.3,8.195,-296.9779
2019-06-30,211.898,228.344,-10.94,217.404,-1.323,-39.011,393.099,-36.426,0,-138.088,-138.088,-265.389,-439.903,-458.6119,-458.6119,789.077,789.077,-286.6031,1.033,44.895,-1.935,10.07,-286.6031
2019-03-31,127.58800,239.20500,-2.98000,236.22500,-31.75100,-29.97600,336.12000,-21.95500,,4.45400,4.45400,-50.32300,-67.82400,-62.25600,-62.25600,102.69400,102.69400,-285.09000,-15.11100,-259.76300,8.76700,8.40500,-285.09000
2018-12-31,63.302,244.976,60.022,304.9981,34.181,-7.785,363.845,-58.833,0,-207.558,-207.558,-74.058,-340.449,245.7488,245.7488,4.524,4.524,-283.76,-6.63,-40.117,-17.083,9.202,-283.76
2018-09-30,103.281,221.292,38.711,260.0029,-63.659,-55.264,307.286,-30.996,0,-4.543,-4.543,-25.422,-60.961,38.9049,38.9049,1.518,1.518,-283.703,-12.549,-255.829,-9.556,6.488,-283.703
2018-06-30,169.3,208.535,-2.659,205.876,22.533,25.927,402.317,-21.412,0,136.066,136.066,440.699,555.353,-674.541,-674.541,2.005,2.005,-283.646,-6.561,-962.743,-5.479,7.149,-283.646
2018-03-31,80.09800,233.06200,56.56800,289.63000,-11.26100,-61.61900,308.01900,-20.61700,,163.92000,163.92000,27.25000,170.55300,-204.75600,-204.75600,-0.65500,-0.65500,-283.49300,-14.34400,-503.24800,-24.67100,7.12400,-283.49300
2017-12-31,393.805,233.268,-204.479,28.7889,-9.29,-73.252,346.527,-49.171,0,-73.072,-73.072,-104.454,-226.697,-90.302,-90.302,16.287,16.287,0,-19.058,-93.073,26.668,6.62,0
2017-09-30,615.191,212.575,-457.566,-244.991,-13.474,-17.467,358.824,-27.435,0,488.184,488.184,-21.195,439.554,-518.7791,-518.7791,0,0,-278.277,-8.815,-805.871,-10.111,6.527,-278.277
2017-06-30,152.968,222.398,1.09,223.488,2.922,0.435,377.587,-32.117,0,-21.085,-21.085,-64.096,-117.298,-63.1109,-63.1109,73.596,73.596,-277.424,-8.519,-275.458,-11.763,6.695,-277.424
2017-03-31,199.14800,215.22800,-42.42600,172.80200,1.62800,-26.78800,345.81400,-23.83500,,-198.83700,-198.83700,-809.99400,-1032.66600,799.54000,799.54000,,,-277.26100,-19.20400,503.07500,-183.89500,6.70100,-277.26100
2016-12-31,208.832,230.343,-37.69,192.653,-1.175,-52.157,348.556,-42.16,0,244.997,244.997,77.669,280.506,-171.372,-171.372,20.978,20.978,-276.72,-1.387,-428.501,200.179,5.073,-276.72
2016-09-30,150.184,205.657,-31.885,173.7721,-18.14,23.253,345.41,-28.371,0,-1387.139,-1387.139,157.291,-1258.219,306.656,306.656,887.963,887.963,-258.98,9.413,945.052,31.957,5.848,-258.98
2016-06-30,143.44,219.149,-3.411,215.7379,28.986,24.784,383.587,-23.204,0,-11.483,-11.483,-35.129,-69.816,-286.092,-286.092,228.108,228.108,-250.089,0.198,-307.875,5.621,5.008,-250.089
2016-03-31,149.03400,233.79600,-28.49900,205.29700,-19.14600,-78.28100,277.14900,-23.72100,,40.59100,40.59100,-183.62100,-166.75100,-13.72400,-13.72400,149.63100,149.63100,-247.81900,0.07400,-111.83800,-1.32200,5.02900,-247.81900
2015-12-31,125.06,234.3731,24.006,258.3791,44.809,-9.894,376.786,-31.675,0,-11.025,-11.025,-126.427,-169.127,-37.891,-37.891,73.205,73.205,-246.157,-8.741,-219.584,-12.208,3.476,-246.157
