,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-130,170,765,935,-411,-1379,1720,-208,597,-85,0,0,-2,-2,0,-87,-6,0,-6,-250,-250,-129,23,-362,162,25,-129
2022-09-30,111.00000,171.00000,205.00000,376.00000,-508.00000,-264.00000,1234.00000,-464.00000,23.00000,-68.00000,,,-2.00000,-2.00000,,-70.00000,-7.00000,,-7.00000,-1000.00000,-1000.00000,-142.00000,-14.00000,-1163.00000,-1225.00000,23.00000,-142.00000
2022-06-30,137,179,352,531,-333,-149,2307,2324,2992,-133,-33,0,-38,-38,0,-204,-288,0,-288,0,0,-134,7,-415,2361,16,-134
2022-03-31,-1390,181,517,698,-864,-561,62,273,-419,-82,-4,0,42,42,0,-44,-5,0,-5,-200,-200,-136,1,-340,-805,23,-136
2021-12-31,49,164,1325,1489,-115,-232,1351,-343,1195,-74,11,0,16,16,0,-47,-5,0,-5,-300,-300,-140,1,-444,698,18,-140
2021-09-30,272.00000,168.00000,44.00000,212.00000,-214.00000,-129.00000,-292.00000,-1130.00000,-646.00000,-67.00000,927.00000,,2.00000,2.00000,,862.00000,-587.00000,,-587.00000,-500.00000,-500.00000,-149.00000,-28.00000,-1264.00000,-944.00000,24.00000,-149.00000
2021-06-30,115,180,533,713,-393,-261,1058,-163,665,-126,0,0,38,38,0,-88,-517,0,-517,0,0,-141,9,-649,-92,5,-141
2021-03-31,120,199,116,315,-12,-67,-594,-158,277,-100,0,0,1,1,0,-99,-4,0,-4,-200,-200,-143,23,-324,-238,33,-143
2020-12-31,630,199,43,242,-111,-1011,1548,345,1217,-96,-3,0,2,2,0,-97,-9,0,-9,0,0,-143,6,-146,991,23,-143
2020-09-30,-253.00000,205.00000,53.00000,258.00000,-388.00000,-245.00000,313.00000,265.00000,270.00000,-78.00000,,,-16.00000,-16.00000,,-94.00000,-40.00000,,-40.00000,,,-146.00000,-12.00000,-198.00000,-25.00000,28.00000,-146.00000
2020-06-30,657,225,-1491,-1266,735,-401,-610,849,240,-136,0,0,878,878,0,742,-511,0,-511,0,0,-141,124,-528,442,22,-141
2020-03-31,351,224,70,294,-774,983,525,1031,1676,-90,0,0,-8,-8,0,-98,-95,-683,-778,0,0,-141,7,-912,670,27,-141
2019-12-31,220,230,50,280,-108,-1347,1735,197,697,-75,0,0,-3,-3,0,-78,-719,683,-36,0,0,-141,2,-175,447,21,-141
2019-09-30,-4921.00000,234.00000,50.00000,284.00000,229.00000,356.00000,-1812.00000,3984.00000,-653.00000,-72.00000,,,-1.00000,-1.00000,,-73.00000,-74.00000,-2.00000,-76.00000,-350.00000,-350.00000,-146.00000,-13.00000,-585.00000,-1319.00000,20.00000,-146.00000
2019-06-30,195,241,-31,210,-595,-206,1018,101,506,-136,-30,0,-7,-7,0,-173,-1100,0,-1100,0,0,-142,-1,-1243,-907,18,-142
2019-03-31,296,261,53,314,35,408,-95,870,1480,-76,-8,0,0,0,0,-84,0,0,0,0,0,-142,0,-142,1256,23,-142
2018-12-31,280,253,49,302,111,-575,382,-211,371,-58,-21,0,-5,-5,0,-84,-1,0,-1,0,0,-143,0,-144,137,22,-143
2018-09-30,594.00000,245.00000,-469.00000,-224.00000,-302.00000,-178.00000,559.00000,-5.00000,365.00000,-58.00000,740.00000,,-3.00000,-3.00000,,679.00000,-1.00000,,-1.00000,-600.00000,-600.00000,-150.00000,-13.00000,-764.00000,282.00000,19.00000,-150.00000
2018-06-30,-1166,253,390,643,-239,-346,939,1077,554,-138,0,0,-2,-2,0,-140,-551,0,-551,-100,-100,-145,-13,-809,-412,21,-145
2018-03-31,255,259,35,294,-15,130,-472,205,754,-78,860,-65,64,-1,0,781,0,-205,-205,-300,-300,-140,8,-637,926,24,-140
2017-12-31,1053,291,105,396,-258,-614,811,-1170,279,-102,-1,1,-3,-2,0,-105,2,161,163,0,0,-146,-103,-86,68,23,-146
