,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-3087,-1323,179,-1144,221,27,57,5,-4301,1109,-2,-12,-12,0,1095,35,0,35,2495,2495,162,-15,2677,-529,-28,162
2022-09-30,817,464,119,583,155,-11,-85,81,1556,-426,0,5,5,0,-421,-3,0,-3,-1122,-1122,-54,-9,-1188,-53,10,-54
2022-06-30,966,436,207,643,-69,-14,-25,69,1678,-353,2,0,0,0,-351,-32,0,-32,-760,-760,-56,2,-846,481,9,-56
2022-03-31,1304.00000,423.00000,-505.00000,-82.00000,-307.00000,-2.00000,53.00000,-155.00000,1067.00000,-330.00000,,7.00000,7.00000,,-323.00000,,,,-613.00000,-613.00000,-52.00000,22.00000,-643.00000,101.00000,9.00000,-52.00000
2021-12-31,649,456,-13,443,-76,0,-64,1,1146,-281,-47,46,46,0,-282,0,0,0,-724,-724,-47,2,-769,95,11,-47
2021-09-30,184,582,5,587,-60,1,50,98,816,-275,0,9,9,1,-265,-900,0,-900,-1,-1,-39,-96,-1036,-485,12,-39
2021-06-30,16,531,174,705,-78,0,-8,-66,655,-262,0,6,6,0,-256,-500,0,-500,0,0,-32,-22,-554,-155,11,-32
2021-03-31,97.00000,497.00000,80.00000,577.00000,-175.00000,-2.00000,24.00000,-52.00000,622.00000,-206.00000,,,,-1.00000,-207.00000,,,,-9.00000,-9.00000,-23.00000,,-32.00000,383.00000,6.00000,-23.00000
2020-12-31,-338,423,348,771,-100,1,-13,-15,418,-244,0,0,0,1,-243,-500,0,-500,0,0,-24,-28,-552,-377,14,-24
2020-09-30,-317,652,-3,649,-22,0,57,13,345,-132,-13,0,0,0,-145,400,0,400,0,0,0,-3,397,597,15,0
2020-06-30,-750,597,268,865,82,1,33,-106,9,-316,12,0,0,0,-304,0,0,0,0,0,0,0,0,-295,13,0
2020-03-31,-46.00000,644.00000,-19.00000,625.00000,407.00000,-6.00000,-45.00000,122.00000,701.00000,-618.00000,,7.00000,7.00000,,-611.00000,,,,-92.00000,-92.00000,-40.00000,1.00000,-131.00000,-41.00000,15.00000,-40.00000
2019-12-31,-20,616,100,716,151,-1,-123,4,700,-613,-293,13,13,-1,-894,0,0,0,-66,-66,-40,-7,-113,-307,15,-40
2019-09-30,165,622,-13,609,-4,1,-28,-37,737,-826,0,2,2,29,-795,0,0,0,-30,-30,-40,-2,-72,-131,13,-40
2019-06-30,161,605,49,654,-22,-1,61,-18,797,-563,0,37,37,-39,-565,0,0,0,-236,-236,-41,-1,-278,-46,18,-41
2019-03-31,174.00000,554.00000,123.00000,677.00000,-73.00000,4.00000,-165.00000,-336.00000,515.00000,-588.00000,,12.00000,12.00000,12.00000,-564.00000,,,,-30.00000,-30.00000,-41.00000,-1.00000,-72.00000,-120.00000,14.00000,-41.00000
2018-12-31,390,613,-194,419,256,10,-65,46,855,-560,0,9,9,2,-549,0,0,0,-364,-364,-41,1,-404,-102,9,-41
2018-09-30,254,626,123,749,-133,6,-114,-40,963,-709,0,16,16,4,-689,0,0,0,-338,-338,-43,4,-377,-103,16,-43
2018-06-30,96,612,114,726,-126,-8,27,-55,767,-692,-21,23,23,9,-681,0,0,0,-2,-2,-43,16,-29,54,14,-43
2018-03-31,356.00000,590.00000,-149.00000,441.00000,-130.00000,-9.00000,-90.00000,-148.00000,649.00000,446.00000,-4.00000,9.00000,9.00000,-2.00000,449.00000,,,,-9.00000,-9.00000,-42.00000,2.00000,-49.00000,1050.00000,14.00000,-42.00000
2017-12-31,-28,583,107,690,-142,6,-133,-161,501,-641,-63,15,15,-2,-691,-1000,0,-1000,-1,-1,-42,0,-1043,-1232,11,-42
2017-09-30,-599,641,497,1138,-177,9,-37,25,564,-522,0,0,0,2,-520,-775,0,-775,0,0,-43,-46,-864,-819,12,-43
2017-06-30,-139,592,-59,533,-14,5,-18,-67,327,1234,-1648,37,37,3,-374,-1,0,-1,-3,-3,-43,1,-46,124,12,-43
2017-03-31,-4957.00000,556.00000,4982.00000,5538.00000,-1.00000,-10.00000,27.00000,15.00000,596.00000,-283.00000,-180.00000,12.00000,12.00000,-8.00000,-459.00000,,,,-7.00000,-7.00000,-42.00000,-1.00000,-50.00000,2.00000,14.00000,-42.00000
2016-12-31,-1371,573,1146,1719,-58,-5,-82,-70,278,127,0,8,8,31,166,0,0,0,-1,-1,-43,1,-43,700,14,-43
2016-09-30,-192,522,-12,510,33,44,-23,49,367,-142,-813,10,10,-9,-954,-1,0,-1,-1,-1,-42,0,-44,-730,11,-42
2016-06-30,-170,512,-83,429,-14,21,16,-77,182,471,-89,23,23,-29,376,0,0,0,0,0,-43,0,-43,540,13,-43
2016-03-31,-407.00000,549.00000,-94.00000,455.00000,106.00000,4.00000,23.00000,26.00000,74.00000,-441.00000,,14.00000,14.00000,6.00000,-421.00000,,,,1232.00000,1232.00000,-34.00000,,1198.00000,859.00000,13.00000,-34.00000
2015-12-31,-793,51,982,1033,52,-5,28,123,363,-417,0,16,716,-41,258,-1035,0,-1035,-11,-11,-33,0,-1079,-370,11,-33
2015-09-30,-749,1098,167,1265,204,9,-49,-20,496,-525,0,30,255,23,-247,0,0,0,0,0,-142,3,-139,108,34,-142
2015-06-30,-386,751,174,925,146,43,-19,-131,408,-868,0,21,-904,1,-1771,1962,0,1962,0,0,-143,-12,1807,446,0,-143
2015-03-31,-276.00000,821.00000,-110.00000,711.00000,388.00000,-22.00000,-23.00000,-126.00000,309.00000,-1450.00000,,10.00000,10.00000,-2.00000,-1442.00000,,,,,,-142.00000,4.00000,-138.00000,-1272.00000,,-142.00000
2014-12-31,926,933,-1079,-146,389,21,-117,375,1155,2,-9,15,15,-6,2,-34,135,101,0,0,-142,-132,-173,1637,52,-142
2014-09-30,431,716,711,1427,-4,26,-22,-84,1774,-1404,-12,19,19,-147,-1544,0,0,0,0,0,-141,64,-77,-408,0,-141
2014-06-30,540,701,158,859,-197,-17,-33,-311,1088,-1117,0,7,7,-142,-1252,-34,0,-34,-449,-449,-127,77,-533,-795,0,-127
2014-03-31,1149.00000,643.00000,-245.00000,398.00000,-69.00000,-41.00000,0.00000,-77.00000,1470.00000,1119.00000,,20.00000,20.00000,-91.00000,1048.00000,,-135.00000,-135.00000,-551.00000,-551.00000,-133.00000,9.00000,-810.00000,1700.00000,,-133.00000
2013-12-31,375,682,13,695,350,-8,5,159,1229,-1012,0,16,16,-114,-1110,-34,-65,-99,0,0,-132,23,-208,-90,0,-132
2013-09-30,569,619,183,802,-122,8,124,274,1645,-909,-74,16,16,-145,-1112,0,200,200,-500,-500,-135,24,-411,108,0,-135
2013-06-30,426,575,239,814,-50,-2,-107,-372,868,-1063,0,11,11,-210,-1262,-34,0,-34,0,0,-121,25,-130,-522,0,-121
