,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,33.552,159.015,27.818,186.833,183.165,139.11,-43.964,21.3329,241.718,-150.658,-52.328,-48,0,-48,0,-250.986,204.3037,1.337,205.6408,0,0,-8.316,197.326,182.652,4.921
2022-09-30,-533.713,849.236,-21.857,827.379,50.438,-114.025,7.928,-68.8918,224.774,-150.043,-158.225,155,0,155,0,-153.268,45.9009,-2.228,43.6728,-0.384,-0.384,-3.419,39.87,102.985,6.179
2022-06-30,280.51,141.569,-6.414,135.155,-92.062,-293.342,-18.72,-267.9581,147.707,-150.571,0,45,0,45,0,-105.571,-44.6086,1.162,-43.4466,-0.611,-0.611,-7.747,-51.805,-6.573,5.654
2022-03-31,245.43400,141.41500,20.17700,161.59200,-225.92200,-141.34400,-24.71400,-352.07200,54.95400,-129.47000,0.95100,13.00000,,13.00000,,-115.51900,322.57200,-0.52200,322.05000,-306.57700,-306.57700,-6.51600,8.95700,-38.33600,5.65500
2021-12-31,189.1,143.412,61.289,204.701,68.905,-188.484,-40.995,-181.417,212.384,-300.941,-46.782,-323,0,-323,0,-670.723,35.23,-1.72,33.51,-427,-427,-3.782,-397.272,-859.132,6.24
2021-09-30,271.184,148.618,-10.329,138.289,21.198,-146.602,112.024,89.266,498.739,-147.74,-70.849,661.067,0,661.067,0,442.478,-352.609,3.536,-349.073,-208.833,-208.833,-1.255,-559.161,374.35,7.425
2021-06-30,336.453,148.465,-30.479,117.986,-158.386,-74.593,-39.309,-116.048,338.391,-112.704,0,117.477,0,117.477,0,4.773,-3.182,-3.331,-6.513,-141.625,-141.625,-7.471,-155.609,196.415,6.018
2021-03-31,236.81100,151.21600,16.48600,167.70200,-138.76400,-109.55000,-19.34200,-144.90800,259.60500,-114.73500,-6.33800,-212.20900,,-212.20900,,-333.28200,2.96700,-1.12600,1.84100,-122.87600,-122.87600,0.85200,-120.18300,-211.36300,5.96800
2020-12-31,248.397,156.555,113.768,270.323,155.74,-31.551,-91.863,-110.875,407.845,-160.143,0,-163.957,0,-163.957,0,-324.1,0.0855,1.437,1.5225,-119.985,-119.985,-0.684,-119.146,-12.613,5.138
2020-09-30,205.453,151.342,-3.224,148.118,-113.917,82.924,-10.119,244.928,598.499,-69.143,0,-351.084,0,-351.084,0,-420.227,-131.6817,1.138,-130.5437,0,0,-1.464,-132.008,43.526,4.883
