,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,-48.588,154.094,20.336,174.43,71.94,281.859,42.428,442.679,568.521,-80.639,0,3.6,0,3.6,0,-77.039,-6.946,-3.886,-10.832,0,0,-13.4,-24.232,474.626,4.635
2020-03-31,110.46500,145.51600,21.13200,166.64800,-168.74000,24.28400,-3.85800,-82.13900,194.97400,-115.63200,,-17.80000,,-17.80000,,-133.43200,162.98900,-2.94500,160.04400,-68.64000,-68.64000,-4.20300,87.20100,128.30100,5.04100
2019-12-31,264.673,148.493,-65.908,82.585,285.4,67.689,43.03,93.417,440.675,-139.848,-4.235,2.5,0,2.5,0,-141.583,-251.3897,5.859,-245.5307,-23.409,-23.409,-10.631,-279.57,23.482,6.392
2019-09-30,155.669,210.092,12.283,222.375,-0.79,-1.227,-9.272,33.715,411.759,-124.555,0,4,0,4,0,-120.555,-232.917,-3.487,-236.404,-67.709,-67.709,-0.757,-304.871,-16.793,5.651
2019-06-30,202.654,140.482,11.559,152.041,-60.139,-19.841,-12.959,41.495,396.19,-144.111,0,2,0,2,0,-142.111,-227.1604,3.929,-223.2314,-8.963,-8.963,-0.042,-232.236,22.428,5.788
2019-03-31,121.57500,137.29100,49.79300,187.08400,-142.51800,-39.40900,-27.79400,-138.52200,170.13700,-136.94800,-76.84700,2.00000,,2.00000,,-211.79500,42.43290,-10.96500,31.46790,0.00100,0.00100,-4.66900,26.80000,-13.38200,5.78900
2018-12-31,230.043,139.092,34.695,173.787,194.686,-45.576,-6.144,-116.971,286.859,-151.161,-143.656,-9.037,0,-9.037,0,-303.854,701.9912,-345.653,356.3382,-274.146,-274.146,-35.707,46.484,27.699,4.685
2018-09-30,228.026,132.971,38.8,171.771,17.301,-77.307,-27.593,-126.298,273.499,-144.595,-400.894,3,0,3,0,-542.489,-155.7226,-0.697,-156.4196,0,0,-0.064,-156.484,-426.875,5.104
2018-06-30,197.545,127.048,60.875,187.923,-93.844,-58.009,-38.896,52.29,437.758,-247.418,0,3,0,3,0,-244.418,-136.7359,359.008,222.2721,0.001,0.001,-0.844,221.43,403.383,13.645
2018-03-31,209.24100,122.65400,44.25400,166.90800,-104.28700,-74.49900,0.11500,-192.92100,183.22800,-250.93600,-24.41000,33.90400,,33.90400,,-241.44200,102.64700,-6.90500,95.74200,0.00100,0.00100,-9.14400,86.59900,29.95900,7.94800
2017-12-31,240.866,118.372,-74.357,44.015,106.209,-31.275,-39.464,34.492,319.373,-251.368,-0.033,-83.904,0,-83.904,0,-335.305,15.8242,1.602,17.4262,-1.204,-1.204,0.12,16.342,0.382,5.715
2017-09-30,271.022,113.515,31.099,144.614,-0.132,-28.722,64.817,44.708,460.344,-229.207,-0.298,0,0,0,0,-229.505,-632.9175,353.103,-279.8145,0.002,0.002,-0.833,-280.645,-45.736,7.177
2017-06-30,261.748,109.761,12.144,121.905,-56.882,-41.782,-66.779,-135.657,247.996,-224.153,-249.641,0,0,0,0,-473.794,164.6763,0.62,165.2963,1.202,1.202,-0.058,166.44,-58.198,13.963
2017-03-31,201.05600,105.02400,33.23300,138.25700,-109.76100,-51.46600,-0.01600,-173.43100,165.88200,-201.27000,-0.82700,0.00000,,,,-202.09700,104.79000,-1.15800,103.63200,,,-12.76400,90.86800,66.77100,9.46700
2016-12-31,234.508,104.379,25.04,129.419,96.423,-28.345,-2.356,-18.98,344.947,-211.365,0,0,0,0,0,-211.365,-123.7304,0.17,-123.5605,0,0,-1.194,-124.754,9.557,6.218
2016-09-30,270.827,151.585,-29.62,121.965,-54.062,-12.273,18.748,42.811,435.603,-183.846,0,0,0,0,0,-183.846,-254.2969,2.057,-252.2399,0,0,0.026,-252.215,0.059,5.294
2016-06-30,256.114,101.214,21.503,122.717,-57.13,-17.804,23.844,34.037,412.868,-136.081,0,0,0,0,0,-136.081,-264.1577,-2.27,-266.4277,0,0,1.99,-264.437,13.744,14.488
2016-03-31,172.11700,100.19400,26.52200,126.71600,-144.11900,-23.50100,25.90900,-146.96200,151.87100,-140.83300,,,,,,-140.83300,12.09520,-1.71100,10.38420,,,-10.61400,-0.23000,16.61300,9.05900
2015-12-31,192.005,94.025,31.379,125.404,126.092,9.619,-41.368,-45.209,272.2,-151.587,-158.852,0,0,0,0,-310.439,29.7432,-3.761,25.9822,-9.798,-9.798,0.113,16.298,-29.024,8.064
2015-09-30,215.703,94.955,-9.418,85.537,40.461,-40.665,24.099,88.193,389.433,-123.648,-20.432,0,0,0,0,-144.08,-295.2576,-3.673,-298.9306,9.798,9.798,-9.501,-298.634,-60.371,8.292
2015-06-30,186.774,88.011,2.865,90.876,-72.708,29.688,9.359,39.515,317.165,-122.628,-1187.955,0,0,0,0,-1310.583,1061.2381,-4.347,1056.8911,-8.225,-8.225,5.17,1053.836,64.046,7.76
2015-03-31,22.50400,85.65600,14.93500,100.59100,-108.22800,7.75800,-80.82200,-172.74100,-49.64600,-105.79400,-3.32800,,,,,-109.12200,159.87790,9.72900,169.60690,8.22500,8.22500,-2.52800,175.30400,9.16400,8.43600
2014-12-31,147.08,95.665,46.766,142.431,79.538,41.859,-2.028,49.254,338.765,-170.224,0,0,0,0,-3.867,-174.091,58.3896,-207.247,-148.8574,-11.55,-11.55,8.27,-152.137,-7.692,6.464
2014-09-30,151.26,85.167,6.11,91.277,13.441,-34.275,-18.379,-16.988,225.549,-141.883,0,0,0,0,0,-141.883,-233.4428,202.389,-31.0538,4.728,4.728,-15.45,-41.776,35.525,7.3
2014-06-30,152.861,83.754,-1.203,82.551,-85.929,-8.955,-6.699,-66.532,168.88,-127.616,0,0,0,0,0,-127.616,-51.5249,-6.118,-57.6429,0.546,0.546,12.417,-44.68,-2.601,6.583
2014-03-31,81.05300,80.98400,2.86700,83.85100,-114.75500,-65.64500,-19.14500,-235.91000,-71.00600,-122.08100,0.01900,,,,,-122.06200,210.12790,9.05600,219.18390,6.27600,6.27600,-12.41700,213.04300,18.57900,7.61400
2013-12-31,94.783,86.329,21.203,107.532,70.279,25.713,-29.34,-4.125,198.19,-111.027,6,0,0,0,0,-105.027,2297.1489,-2408.165,-111.0161,46.776,46.776,-38.65,-102.89,-9.514,4.477
2013-09-30,119.559,81.55,-4.245,77.305,5.865,-5.369,15.963,16.195,213.059,-109.426,-0.002,0,0,0,0,-109.428,-2630.586,2412.12,-218.466,0,0,6.937,-211.529,-105.165,4.336
2013-06-30,84.382,80.643,14.264,94.907,-51.643,9.579,-15.919,-26.431,152.858,-82.815,-301.695,0,0,0,0,-384.51,-728.57,-3.354,-731.924,-27.619,-27.619,29.214,-730.329,-951.422,3.994
2013-03-31,50.56700,60.34900,7.79200,68.14100,-120.81400,-50.13400,-2.27200,-157.65200,-38.94400,-63.28200,-147.76900,,,,,-211.05100,923.59500,-8.06900,915.52600,27.61900,27.61900,-5.17000,937.97500,642.49500,5.50400
2012-12-31,66.389,63.878,45.512,109.39,108.168,7.644,-2.097,113.264,289.043,-73.296,0,0,0,0,0,-73.296,-142.0181,6.861,-135.1571,6.797,6.797,-0.779,-129.139,96.83,2.872
2012-09-30,70.304,71.298,14.438,85.736,2.623,27.763,-7.087,46.931,202.971,-47.311,0,0,0,0,0,-47.311,-102.909,-0.71,-103.619,2.744,2.744,0,-100.875,61.379,2.811
2012-06-30,73.188,71.831,17.323,89.154,-8.418,-6.155,-9.909,-22.296,140.046,-44.436,0,0,-7.007,-7.007,0,-51.443,-71.843,11.994,-59.849,1.073,1.073,0,-58.776,14.688,2.828
2012-03-31,41.01200,73.28600,-30.80800,42.47800,-91.48500,-46.33100,-3.95800,-127.96000,-44.47000,-43.25100,,,,,,-43.25100,113.11600,-10.25500,102.86100,5.53900,5.53900,-36.44100,71.95900,-7.17000,5.57100
2011-12-31,43.897,74.93,3.613,78.543,76.007,14.477,-2.862,40.365,162.805,-93.313,0,0,0,0,0,-93.313,-52.377,27.94,-24.437,1.084,1.084,-1.802,-25.155,35.789,2.03
2011-09-30,47.696,74.207,4.801,79.008,10.605,-29.906,4.106,-15.849,109.598,-69.741,-24.097,0,0,0,0,-93.838,-267.922,270.862,2.94,0.057,0.057,-7.553,-4.556,-9.266,2.091
2011-06-30,62.094,74.344,11.19,85.534,-40.177,-24.476,-6.003,-51.625,96.003,-59.708,0,0,0,0,0,-59.708,-21.589,10.35,-11.239,1.579,1.579,-2.145,-11.805,29.191,2.177
2011-03-31,24.53800,74.25300,8.99100,83.24400,-131.82600,-60.30000,-2.45600,-175.19500,-67.41300,-52.81100,,,,,,-52.81100,-23.78400,6.43800,-17.34600,1.06700,1.06700,24.67100,8.39200,-97.98600,3.86100
2010-12-31,47.436,74.522,-6.921,67.601,83.922,-14.959,-6.998,-5.719,109.318,-69.94,79.917,0,-79.917,-79.917,0.001,-69.939,-1.01,-15.763,-16.773,1.319,1.319,-28.442,-43.896,-11.618,1.664
2010-09-30,52.264,72.956,6.931,79.887,20.934,-21.043,7.434,-10.734,121.417,-39.101,-79.917,0,0,0,4.614,-114.404,0.01,1.092,1.102,0.113,0.113,-0.478,0.737,23.162,1.74
2010-06-30,68.965,72.497,-0.017,72.48,-1.119,-38.805,-14.244,-6.276,135.169,-23.83,0,0,0,0,0,-23.83,-200.3,-2.34,-202.64,0.619,0.619,-7.977,-209.998,-109.662,1.626
2010-03-31,21.27000,76.79800,0.49600,77.29400,-116.01000,-44.09600,-4.29400,-144.75600,-46.19200,-23.30900,,,,,,-23.30900,0.49600,-0.88900,-0.39300,0.39400,0.39400,-2.04300,-2.04200,-79.12300,1.85800
2009-12-31,21.288,81.827,35.727,117.554,120.92,43.2,-3.165,120.643,259.485,-37.644,0,0,0,0,0,-37.644,-0.24,7.843,7.603,0.545,0.545,-1.053,7.095,225.313,2.913
2009-09-30,35.395,76.435,50.781,127.216,19.361,5.424,11.959,-19.437,143.174,-18.358,-5.924,0,0,0,0,-24.282,-4.054,-18.227,-22.281,0.258,0.258,-23.903,-45.926,79.602,2.11
2009-06-30,47.207,77.062,9.932,86.994,58.04,54.423,-4.934,97.426,231.627,-25.83,0,0,0,0,0,-25.83,-77.215,-40.343,-117.558,0.072,0.072,-3.505,-120.991,89.991,2.111
2009-03-31,-104.90900,67.68000,-48.13100,19.54900,-95.52200,173.12200,0.08800,123.27900,37.91900,-27.09300,,,,,,-27.09300,41.04600,-7.08000,33.96600,0.00900,0.00900,0.00300,33.97800,43.03300,2.51900
