,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,509.00000,29.00000,176.00000,205.00000,485.00000,109.00000,-3882.00000,-552.00000,-3840.00000,-3136.00000,-27.00000,,173.00000,173.00000,-812.00000,-666.00000,-141.00000,-141.00000,-189.00000,-189.00000,-81.00000,632.00000,221.00000,-3366.00000,81.00000,-81.00000
2022-09-30,439,23,81,104,-203,155,-2985,-2032,-5065,-4498,-23,-308,147,147,-1848,-2032,-61,-61,-48,-48,-77,1467,1281,-5550,43,-77
2022-06-30,301,52,224,276,0,-13,-3571,8732,5148,5740,-26,98,-308,-308,-2480,-2716,119,121,-89,-89,-69,2610,2573,5357,40,-69
2022-03-31,323,44,-2,42,234,118,1535,-1146,741,1117,-23,1671,-797,-797,-1699,-848,1,-1,24,24,-71,576,528,745,44,-71
2021-12-31,446.00000,49.00000,158.00000,207.00000,-234.00000,267.00000,5021.00000,-7993.00000,-2939.00000,-2287.00000,-19.00000,,-448.00000,-448.00000,-1088.00000,-1555.00000,-1.00000,-1.00000,-51.00000,-51.00000,-60.00000,1609.00000,1497.00000,-2342.00000,65.00000,-60.00000
2021-09-30,429,40,34,74,-420,-171,-4694,9265,3980,4502,25,-21,-608,-608,-1379,-1983,-2,-2,9,9,-55,2152,2104,4585,29,-55
2021-06-30,307,31,19,50,0,81,-797,1752,1036,1409,-37,0,258,258,-941,-720,-136,-108,-39,-39,-54,1080,879,1589,29,-54
2021-03-31,355,47,38,85,-254,-11,521,-1890,-1634,-1185,-37,-27,-511,-511,-739,-1314,26,-2,-50,-50,-54,1464,1358,-1121,31,-54
2020-12-31,312.00000,31.00000,-68.00000,-37.00000,254.00000,13.00000,4970.00000,-3613.00000,1624.00000,1921.00000,-25.00000,-218.00000,-180.00000,-180.00000,-700.00000,-1123.00000,-26.00000,-26.00000,-17.00000,-17.00000,-55.00000,989.00000,891.00000,1762.00000,43.00000,-55.00000
2020-09-30,209,35,-23,12,1,12,-1621,2717,1109,1418,-27,0,-1892,-1892,-46,-1965,-1,-1,-62,-62,-51,1430,1316,797,23,-51
