,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,737,2612,855,3467,-158,796,1224,1862,1158,-2516,0,-2848,1023,-1825,-46,-4387,-880,-880,0,0,3,-877,-4106,0
2022-09-30,0,0,0,0,0,0,0,0,741,-1282,0,-5082,846,-4236,-10,-5528,-812,-812,0,0,-6,-818,-5605,0
2022-06-30,0,0,0,0,0,0,0,0,2691,-478,0,-3208,215,-2993,-13,-3484,-800,-800,0,0,2,-798,-1591,0
2022-03-31,0.00000,,,,,,,,1476.00000,-336.00000,,-94.00000,,-94.00000,,-430.00000,-783.00000,-783.00000,,,-73.00000,-856.00000,190.00000,
2021-12-31,-1964,2656,12,2668,-448,985,826,1363,-269,-454,0,-21,126,105,1,-348,-575,-575,0,0,0,-575,-1192,0
2021-09-30,0,0,0,0,0,0,0,0,-786,-254,0,-47,87,40,0,-214,-578,-578,0,0,-5,-583,-1583,0
2021-06-30,0,0,0,0,0,0,0,0,2675,-859,0,-105,184,79,-1,-781,6277,6277,0,0,-1,6276,8170,0
2021-03-31,0.00000,,,,,,,,447.00000,-433.00000,,105.00000,,105.00000,-1.00000,-329.00000,1299.00000,1299.00000,,,-21.00000,1278.00000,1396.00000,
2020-12-31,-7069,2582,826,3408,135,-1079,472,-472,-2177,-91,0,-2182,2319,137,-6,40,482,482,0,0,-1,481,-1656,0
2020-09-30,0,0,0,0,0,0,0,0,-1889,368,0,406,0,406,-4,770,7906,7906,0,0,-1,7905,6786,0
2020-06-30,0,0,0,0,0,0,0,0,-130,-39,0,838,0,838,13,812,2382,2382,0,0,0,2382,3064,0
2020-03-31,0.00000,,,,,,,,63.00000,-1959.00000,,386.00000,,386.00000,1.00000,-1572.00000,2560.00000,2560.00000,-353.00000,-353.00000,-18.00000,2189.00000,680.00000,
2019-12-31,3009,2288,1360,3648,44,324,-116,252,1181,-1143,0,-51,0,-51,-135,-1329,117,117,-214,-214,50,-47,-195,0
2019-09-30,0,0,0,0,0,0,0,0,1103,-869,0,73,0,73,1,-795,-182,-182,-369,-369,-20,-571,-263,0
2019-06-30,0,0,0,0,0,0,0,0,2710,-858,0,-3,0,-3,5,-856,84,84,-549,-549,-14,-479,1375,0
2019-03-31,0.00000,,,,,,,,1915.00000,-1609.00000,,44.00000,,44.00000,-15.00000,-1580.00000,376.00000,376.00000,-513.00000,-513.00000,-46.00000,-183.00000,152.00000,
2018-12-31,2122,2165,1316,3481,17,130,414,561,1129,-1604,0,60,0,60,-404,-1948,123,123,-225,-225,-6,-108,-927,0
2018-09-30,0,0,0,0,0,0,0,0,883,-795,0,-125,0,-125,66,-854,-247,-247,-41,-41,-6,-294,-265,0
2018-06-30,0,0,0,0,0,0,0,0,2443,-727,0,725,-979,-254,23,-958,-554,-554,-440,-440,-10,-1004,481,0
2018-03-31,0.00000,,,,,,,,1709.00000,-944.00000,,-596.00000,840.00000,244.00000,5.00000,-695.00000,466.00000,466.00000,-529.00000,-529.00000,-32.00000,-95.00000,919.00000,
2017-12-31,2143,2096,85,2181,-73,66,-843,-850,789,-978,0,-3037,3175,138,-9,-849,239,239,-553,-553,-14,-328,-388,0
2017-09-30,0,0,0,0,0,0,0,0,577,-1117,0,1383,-1561,-178,19,-1276,758,758,-579,-579,-2,177,-522,0
2017-06-30,0,0,0,0,0,0,0,0,1561,-1088,0,-813,751,-62,115,-1035,146,146,-454,-454,-10,-318,208,0
2017-03-31,0.00000,,,,,,,,547.00000,-687.00000,,-774.00000,810.00000,36.00000,8.00000,-643.00000,409.00000,409.00000,-258.00000,-258.00000,-65.00000,86.00000,-10.00000,
2016-12-31,2234,1977,1870,3847,-16,239,-762,-539,658,-904,0,-779,749,-30,60,-874,-47,-47,-172,-172,-16,-235,-451,0
2016-09-30,0,0,0,0,0,0,0,0,1138,-684,0,-716,693,-23,1,-706,-52,-52,-260,-260,-16,-328,104,0
2016-06-30,0,0,0,0,0,0,0,0,2547,-836,0,-1288,1296,8,-7,-835,-225,-225,-790,-790,-22,-1037,675,0
2016-03-31,0.00000,,,,,,,,1199.00000,-799.00000,,15.00000,-40.00000,-25.00000,1.00000,-823.00000,-219.00000,-219.00000,-1392.00000,-1392.00000,-2.00000,-1613.00000,-1237.00000,
2015-12-31,7340,1819,-3033,-1214,-15,-77,-42,-134,1115,-727,0,-658,768,110,-271,-888,-233,-233,-507,-507,-22,-762,-535,0
