,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-6128,-2367,-3306,-5673,1235,-152,5086,6169,-5652,644,1127,0,-7861,-7861,24381,18291,-14561,-14561,4566,4566,890,-6771,-15876,-3237,-238,719
2022-09-30,1694,744,1358,2102,-1217,100,78,-1039,2777,-221,-1127,0,3190,3190,-7631,-5789,-3109,-3109,-233,-233,-289,9684,6053,3041,66,-232
2022-06-30,2031,784,978,1762,74,72,-969,-823,2954,-193,0,0,3131,3131,-17213,-14275,14171,14171,-1918,-1918,-293,-5474,6486,-4835,65,-236
2022-03-31,2403.00000,839.00000,970.00000,1809.00000,-92.00000,-20.00000,-4195.00000,-4307.00000,-79.00000,-230.00000,,,1540.00000,1540.00000,463.00000,1773.00000,3499.00000,3499.00000,-2415.00000,-2415.00000,-308.00000,2561.00000,3337.00000,5031.00000,107.00000,-251.00000
2021-12-31,2426,853,470,1323,733,40,102,875,4662,-194,-118,0,1282,1282,-17425,-16455,5917,5917,-2589,-3690,-328,5090,6989,-4804,61,-254
2021-09-30,3104,914,-315,599,-1301,-60,-396,-1757,1954,-163,-527,0,4027,4027,-10692,-7355,1334,1334,-2619,-3207,-608,-348,-2829,-8230,64,-529
2021-06-30,3537,859,-809,50,745,13,-221,537,4058,-163,-24,0,-3177,-3177,-11599,-14963,-2095,-2095,-1593,48,-241,-3993,-6281,-17186,87,-181
2021-03-31,3327.00000,855.00000,-366.00000,489.00000,-177.00000,-64.00000,-2005.00000,-2246.00000,1636.00000,-178.00000,,,-271.00000,-271.00000,7721.00000,7272.00000,-1602.00000,-1602.00000,-496.00000,-496.00000,-245.00000,4938.00000,2595.00000,11503.00000,119.00000,-184.00000
2020-12-31,2568,800,132,932,796,20,354,1170,4627,-167,0,0,-1106,-1106,-4651,-5924,-2171,-2171,95,-405,-113,-244,-2933,-4230,75,-45
2020-09-30,2406,897,521,1418,-542,-48,100,-490,2857,-201,-7,0,-13473,-13473,-295,-13976,-8795,-2036,62,183,-114,1529,-438,-11557,54,-47
2020-06-30,-917,911,3462,4373,512,21,-183,350,3806,-188,0,0,-5350,-5350,9556,4018,-5049,-10881,56,56,-273,34532,23434,31258,50,-183
2020-03-31,-1340.00000,893.00000,4700.00000,5593.00000,-684.00000,-80.00000,1920.00000,1156.00000,5409.00000,-154.00000,,,39.00000,39.00000,1156.00000,1041.00000,-465.00000,-1392.00000,-303.00000,31.00000,-240.00000,6702.00000,5101.00000,11551.00000,24.00000,-185.00000
2019-12-31,1178,905,1681,2586,761,69,-474,356,4120,-256,-8308,0,1663,1663,-10211,-17112,-3167,5797,-882,-1883,-281,5571,9204,-3788,64,-184
2019-09-30,1329,849,1371,2220,485,-67,-555,-137,3412,-235,-85,0,1287,1287,-6728,-5761,595,700,-414,1049,-243,2559,4065,1716,46,-190
2019-06-30,1616,881,1317,2198,-1072,55,1429,412,4226,-213,0,0,957,957,-5882,-5138,-1764,-1751,44,44,-268,-730,-2705,-3617,57,-188
2019-03-31,1410.00000,704.00000,1804.00000,2508.00000,583.00000,-76.00000,456.00000,963.00000,4881.00000,-183.00000,,,1975.00000,1975.00000,3221.00000,5013.00000,150.00000,-8932.00000,-13.00000,-13.00000,-243.00000,5243.00000,-3945.00000,5949.00000,72.00000,-191.00000
2018-12-31,1264,675,2106,2781,-120,67,-103,-156,3940,-205,-600,0,-541,-541,-8401,-9747,6127,6127,-600,-600,-269,2410,7668,1861,17,-189
2018-09-30,1501,589,1564,2153,-445,-59,252,-252,3351,-240,0,0,1707,1707,-3723,-2256,-989,-989,-506,-506,-244,-1024,-2763,-1668,45,-191
2018-06-30,1917,582,1362,1944,-24,97,146,219,4080,-224,0,0,-14367,-14367,10294,-4297,2826,2826,-755,-755,-276,-2599,-804,-1021,41,-196
2018-03-31,1343.00000,550.00000,1776.00000,2326.00000,-630.00000,-60.00000,-1372.00000,-2062.00000,1607.00000,-205.00000,,,-3659.00000,-3659.00000,4546.00000,682.00000,-9155.00000,-9155.00000,-210.00000,-210.00000,-249.00000,7290.00000,-2324.00000,-35.00000,67.00000,-197.00000
2017-12-31,-836,721,3323,4044,915,112,-140,887,4091,-242,33,0,807,807,-4394,-3796,761,761,-178,58,-275,4725,5269,5564,80,-195
2017-09-30,1107,588,1673,2261,-753,-76,533,-296,3068,-293,-3220,0,346,346,-4283,-7450,7028,7049,285,49,-247,-696,6155,1773,53,-195
2017-06-30,1051,565,1736,2301,-17,116,409,508,3860,-261,0,0,-475,-475,-5637,-6373,1413,1392,53,53,-275,-1443,-273,-2786,34,-195
2017-03-31,795.00000,566.00000,1936.00000,2502.00000,292.00000,-67.00000,-359.00000,-134.00000,3163.00000,-222.00000,,,-987.00000,-987.00000,3287.00000,2078.00000,-11980.00000,-11980.00000,-112.00000,-112.00000,-248.00000,4407.00000,-7933.00000,-2692.00000,77.00000,-195.00000
2016-12-31,774,609,1796,2405,-120,90,-1153,-1183,1995,-271,-640,0,-792,-792,-8750,-10453,1368,1271,-697,-214,-269,10782,11570,3112,89,-194
2016-09-30,1016,612,1404,2016,-138,-64,463,261,3293,-184,11,0,-1501,-1501,-4585,-6259,751,830,-1159,-576,-239,4918,4933,1967,60,-202
2016-06-30,943,616,1400,2016,-120,84,-447,-483,2466,-190,0,0,274,274,-8274,-8190,8450,8532,-595,-595,-270,-724,6943,1219,46,-205
2016-03-31,1018.00000,591.00000,1448.00000,2039.00000,-116.00000,-82.00000,1243.00000,1045.00000,4102.00000,-134.00000,,,-1228.00000,-1228.00000,634.00000,-728.00000,-9025.00000,-9089.00000,-937.00000,-937.00000,-248.00000,4055.00000,-6219.00000,-2845.00000,44.00000,-211.00000
2015-12-31,908,542,1024,1566,-391,101,-1062,-1352,1122,-121,-9314,0,-995,-995,-9736,-20166,690,16725,-597,-597,-282,5167,21013,1969,40,-214
2015-09-30,1118,546,958,1504,331,-64,1768,2035,4657,-182,0,0,-273,-273,-4634,-5089,-2488,-3331,-581,-97,-246,3787,113,-319,-3,-217
2015-06-30,852,529,1333,1862,480,67,-906,-359,2355,-76,0,0,-535,-535,-6931,-7542,9735,4939,-547,441,-247,-1681,3452,-1735,74,-218
2015-03-31,1134.00000,483.00000,971.00000,1454.00000,-715.00000,-59.00000,179.00000,-595.00000,1993.00000,-153.00000,,,-390.00000,-390.00000,3614.00000,3071.00000,2810.00000,-7586.00000,-520.00000,-520.00000,-199.00000,4890.00000,-3415.00000,1649.00000,50.00000,-167.00000
2014-12-31,970,470,880,1350,-262,80,-535,-717,1603,-97,-24,0,-87,-87,-7696,-7904,6062,6062,-418,67,-187,1453,7395,1094,38,-166
2014-09-30,1125,515,1051,1566,384,-60,-234,90,2781,-155,0,0,-162,-162,-3903,-4220,3238,3238,-522,-522,-189,-1672,855,-584,30,-169
2014-06-30,1204,503,768,1271,-423,52,-343,-714,1761,-121,0,0,-666,-666,-6466,-7253,8847,8847,-859,-375,-183,-2247,6042,550,53,-170
