,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,189.106,77.545,-88.785,-11.24,23.599,-2.24,-8.631,53.593,56.891,234.757,-89.024,163.275,-28.911,1.445,-27.466,-2.402,44.383,-254.4841,-254.4841,37.774,37.774,-32.246,-248.956,45.037,22.069
2022-09-30,97.612,74.605,39.554,114.159,-56.527,-12.558,-25.487,23.661,-65.472,132.779,-72.393,0,-20.521,2.899,-17.622,-2.171,-92.186,-49.9709,-49.9709,-28.418,-28.418,26.795,-51.594,-11.031,21.999
2022-06-30,110.664,76.421,6.41,82.831,-59.7,-40.561,-9.466,15.775,-52.33,149.474,-82.852,-283.392,-95.546,0,-95.546,-0.324,-462.114,310.511,310.511,-1.102,-1.102,-37.973,271.436,-36.188,14.93
2022-03-31,95.22600,75.29900,18.53700,93.83600,-57.94200,-23.16400,40.93200,28.32600,-91.64300,102.63000,-80.46400,,-13.29600,0.20500,-13.09100,-4.45000,-98.00500,13.73800,13.73800,-21.79500,-21.79500,-5.22600,-13.28300,-2.91800,14.61900
2021-12-31,139.827,67.241,-25.169,42.072,8.959,-19.52,33.47,-4.944,44.059,229.258,-98.775,121.692,-13.592,0.572,-13.02,-0.59,9.307,-221.0429,-221.0429,2.071,2.071,0,-218.972,19.809,19.185
2021-09-30,105.159,68.686,1.302,69.988,-30.368,1.468,24.814,-1.092,-0.9,174.722,-55.536,-291.588,-8.697,0.756,-7.941,0.015,-355.05,171.02,171.02,7.873,7.873,0.002,178.895,-0.985,22.023
2021-06-30,89.916,68.105,26.357,94.462,-10.822,4.297,-23.005,-18.579,3.183,186.59,-46.431,-906.308,-6.716,5.204,-1.512,0.058,-954.193,508.8679,508.8679,11.417,11.417,-2.33,517.955,-243.535,17.077
2021-03-31,63.93500,61.50800,47.69000,109.19800,5.59800,-11.40400,9.62200,30.14400,-3.40000,170.22900,-28.03000,-94.19700,-16.55000,,-16.55000,0.78100,-137.99600,211.13600,211.13600,-16.41600,-16.41600,,194.72000,237.90600,13.18900
2020-12-31,144.19,60.876,-43.459,17.417,-34.171,-4.324,13.075,-2.412,-16.789,138.379,-87.854,0.518,-6.805,5.591,-1.214,0.127,-88.423,-60.4048,-60.4048,2.706,2.706,-1.53,-59.229,-14.304,15.368
2020-09-30,102.611,59.58,-4,55.58,-32.085,-12.154,13.292,25.69,15.453,177.3,-26.185,-36.896,-7.823,0.129,-7.694,-0.035,-70.81,-275.7251,-275.7251,7.086,7.086,0,-268.639,-156.619,16.87
2020-06-30,67.668,57.208,-18.142,39.066,12.765,-5.977,-15.616,-0.06,45.085,162.306,-26.8,0,-4.943,3.177,-1.766,-0.06,-28.626,-117.966,-117.966,13.882,13.882,-0.012,-104.096,29.589,13.143
2020-03-31,50.83700,57.26000,30.51700,87.77700,-32.13600,4.07600,-10.00300,13.28400,-70.02400,68.59000,-25.72100,-382.25000,-7.12100,2.50400,-4.61700,-1.09700,-413.68500,484.68400,484.68400,-1.06700,-1.06700,-4.40500,479.21200,134.40700,10.96000
