,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-11-30,1176,215,452,667,-344,55,510,482,2325,-91,0,29,-7,22,0,-69,0,0,0,-1750,-1750,-161,-1911,366,388
2022-08-31,1136,216,496,712,-141,-49,74,-144,1704,-125,0,31,-9,22,0,-103,0,0,0,-1013,-1013,-47,-1060,505,378
2022-05-31,1178,212,450,662,96,54,-96,200,2040,-126,-20,10,-2,8,0,-138,0,0,0,-1200,-1200,-50,-1250,626,352
2022-02-28,1266.00000,213.00000,492.00000,705.00000,191.00000,6.00000,-46.00000,-202.00000,1769.00000,-100.00000,-106.00000,-26.00000,-28.00000,-54.00000,,-260.00000,,,,-2309.00000,-2309.00000,-295.00000,-2604.00000,-1105.00000,322.00000
2021-11-30,1233,205,363,568,-325,-38,430,265,2066,-99,-1212,-423,-5,-428,0,-1739,0,0,0,-999,-999,-79,-1078,-779,269
2021-08-31,1212,193,204,397,-66,19,-63,-205,1404,-95,0,-28,-10,-38,0,-133,0,0,0,-797,-797,-102,-899,373,280
2021-05-31,1116,194,363,557,43,58,-18,315,1988,-95,0,-10,-2,-12,0,-107,0,0,0,-1000,-1000,-80,-1080,798,260
2021-02-28,1261.00000,196.00000,398.00000,594.00000,-82.00000,-59.00000,229.00000,-83.00000,1772.00000,-59.00000,-1470.00000,-4.00000,-25.00000,-29.00000,,-1558.00000,,,,-863.00000,-863.00000,-381.00000,-1244.00000,-1026.00000,260.00000
2020-11-30,2250,190,-966,-776,-81,77,303,308,1782,-103,0,-22,-6,-28,0,-131,0,0,0,-850,-850,-90,-940,711,233
2020-08-31,955,191,248,439,32,-61,10,42,1436,-126,0,-191,2,-189,0,-315,0,0,0,-319,-319,-95,-414,723,232
2020-05-31,1100,188,89,277,10,25,-260,-193,1184,-96,0,176,0,176,0,80,0,0,0,-849,-849,-52,-901,356,227
2020-02-29,955.00000,188.00000,153.00000,341.00000,145.00000,55.00000,-83.00000,29.00000,1325.00000,-94.00000,,48.00000,-2.00000,46.00000,,-48.00000,-6.00000,,-6.00000,-762.00000,-762.00000,-465.00000,-1233.00000,38.00000,217.00000
2019-11-30,851,191,214,405,-174,22,111,121,1377,-95,-1,-85,12,-73,0,-169,0,0,0,-749,-749,-17,-766,441,203
2019-08-31,793,193,203,396,-100,18,-70,-267,922,-89,0,-40,-36,-76,0,-165,0,0,0,-592,-592,-32,-624,126,196
2019-05-31,633,187,215,402,21,24,-113,75,1110,-146,0,100,56,156,0,10,0,0,0,-748,-748,-24,-772,344,204
2019-02-28,674.00000,186.00000,125.00000,311.00000,65.00000,-41.00000,18.00000,28.00000,1013.00000,-65.00000,-100.00000,111.00000,-78.00000,33.00000,,-132.00000,,,,-428.00000,-428.00000,-356.00000,-784.00000,96.00000,185.00000
2018-11-30,678.466,106.228,125.444,231.672,-201.002,29.638,283.573,197.551,1107.689,-62.984,-4680.959,1605.981,-0.621,1605.36,0,-3138.583,2248,0,2248,-298.743,-298.743,-23.958,1925.299,-104.072,170.059
2018-08-31,666.291,86.89,140.602,227.492,58.321,21.706,50.314,61.521,955.304,-63.558,-1618.427,163.229,-1.578,161.651,0,-1520.334,0.815,0,0.815,-624.939,-624.939,-47.537,-671.661,-1240.842,159.039
2018-05-31,663.167,76.36,178.394,254.754,-13.717,-13.896,20.404,58.485,976.406,-45.316,-14.614,131.896,-4.287,127.609,0,67.679,-0.511,0,-0.511,-699.702,-699.702,-17.152,-717.365,321.005,145.376
2018-02-28,583.07600,76.52200,-295.44000,-218.91800,154.39800,17.55200,12.70900,625.44300,989.60100,-95.14200,,7.89400,-6.51400,1.38000,,-93.76200,-0.30400,,-0.30400,-235.61600,-235.61600,-305.35300,-541.27300,360.90900,135.52600
