,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,130,34,-13.6,20.4,-9.2,27.2,-8,3.4,16.9,167.3,-18.1,0,-713,39.7,39.7,-1.4,-692.8,275.4,0,275.4,8.5,8.5,-45.2,-2.4,236.3,-250.5,5.2,-45.2
2022-09-30,178.7,29.7,-15.1,14.6,6.2,-15.1,-10.6,-11.3,4.8,198.1,-15.9,0,51.7,0,0,-0.1,35.7,0,0,0,-32.1,-32.1,-45.3,-0.1,-77.5,122.9,2.9,-45.3
2022-06-30,138.1,29.8,6,35.8,-19.7,-34.3,8.1,-9.5,-61.6,112.3,-15.5,0,-120.2,0,0,0,-135.7,0,0,0,-80.3,-80.3,-45.5,0,-125.8,-175.4,6.9,-45.5
2022-03-31,139.90000,27.90000,4.90000,32.80000,-49.00000,-50.20000,28.10000,-5.60000,-93.00000,79.70000,-9.60000,,-114.70000,,,-0.10000,-124.40000,,,,-24.90000,-24.90000,-41.40000,-5.00000,-71.30000,-122.20000,6.60000,-41.40000
2021-12-31,118.7,30.3,4.9,35.2,9.8,-18,1.9,8.6,9.2,163.1,-27.4,0,-1.8,-45.2,-45.2,0.5,-73.9,-0.1,0,-0.1,7.2,7.2,-40.8,-0.4,-34.1,48.9,5,-40.8
2021-09-30,115.7,27.4,12.4,39.8,-12.9,-7.2,-1.6,6.2,1.1,156.6,-14.9,0,0,0,0,0,-14.9,0,0,0,1.8,1.8,-41.1,-0.1,-39.4,92.1,4.9,-41.1
2021-06-30,102.2,25,2,27,0,-13.4,2.6,4.5,7.1,136.3,-16,0,-469.4,0,0,-4.4,-489.8,149.4,0,149.4,7.5,7.5,-41.1,-11.4,104.4,-243.7,4.3,-41.1
2021-03-31,112.70000,22.00000,7.70000,29.70000,-46.30000,-7.50000,20.00000,11.80000,-33.10000,109.30000,-14.40000,,-106.20000,,,1.10000,-119.50000,,,,3.20000,3.20000,-38.10000,-5.50000,-40.40000,-67.80000,6.20000,-38.10000
2020-12-31,101.09,21.875,4.384,26.259,-12.391,18.58,14.196,27.492,34.052,161.401,-14.392,0,-4.941,0,0,2.338,-16.995,-0.4,0,-0.4,15.913,15.913,-37.552,0.247,-21.792,148.123,-6.355,-37.552
2020-09-30,103.848,21.726,7.346,29.072,-0.962,27.449,-4.654,-4.276,20.766,153.686,-18.237,0,2.68,0,0,0.398,-15.159,0,0,0,15.618,15.618,-37.75,-0.726,-22.858,131.41,7.49,-37.75
2020-06-30,70.864,21.259,10.083,31.342,58.443,14.188,-20.988,-5.182,67.247,169.453,-6.25,0,0,0,0,-0.476,-6.726,49.1,0,49.1,9.587,9.587,-37.762,-11.073,9.852,177.129,6.935,-37.762
2020-03-31,101.99800,20.34000,10.28700,30.62700,-24.19000,-23.71700,14.14600,9.76600,-47.86500,84.76000,-12.72100,,-120.83900,,,-0.16000,-133.72000,150.00000,,150.00000,-106.81800,-106.81800,-38.73600,-12.24800,-7.80200,-63.36200,6.73000,-38.73600
2019-12-31,96.829,19.941,-1.365,18.576,24.371,13.687,-11.907,30.42,35.793,151.198,-15.084,0,-0.02,0,0,0.693,-14.411,-0.177,0,-0.177,3.173,3.173,-37.973,0.048,-34.929,116.622,1.48,-37.973
2019-09-30,105.194,19.867,18.296,38.163,12.106,4.02,-14.469,-4.33,13.707,157.064,-10.854,0,-87.18,0,0,-0.094,-98.128,-49.923,0,-49.923,14.834,14.834,-37.944,-1.01,-74.043,-27.204,6.207,-37.944
2019-06-30,113.209,19.498,16.094,35.592,7.225,-2.459,-0.212,-7.184,-17.626,131.175,-12.716,0,0,0,0,0.696,-12.02,0,0,0,8.02,8.02,-37.837,-1.83,-31.647,87.059,6.853,-37.837
2019-03-31,110.26800,18.99400,12.17500,31.16900,-21.40200,-18.54800,17.48800,-5.70600,-52.77400,88.66300,-12.24600,,,,,-0.19500,-12.44100,,,,-41.92700,-41.92700,-33.44600,-11.60800,-86.98100,-10.27700,7.56000,-33.44600
2018-12-31,98.137,18.648,4.627,23.275,10.638,4.872,3.2,6.378,32.18,153.592,-16.081,0,0,0,0,-0.32,-16.401,-0.156,0,-0.156,-122.426,-122.426,-32.565,-0.295,-155.442,-25.36,4.94,-32.565
2018-09-30,106.352,18.94,9.713,28.653,5.987,0.108,-9.852,-19.085,-1.678,133.327,-18.677,0,-20.205,0,0,-0.319,-39.201,-11.128,0,-11.128,-17.978,-17.978,-32.997,-0.51,-62.613,33.016,6.562,-32.997
2018-06-30,107.126,19.902,6.247,26.149,-9.228,-6.895,-2.783,0.186,-12.578,120.697,-10.959,-4,0,0,0,-0.677,-15.636,0,0,0,-12.473,-12.473,-32.971,-0.025,-45.469,45.778,5.6,-32.971
2018-03-31,98.95800,21.38600,7.24300,28.62900,-30.81600,-21.11600,8.21500,15.13200,-55.85800,71.72900,-10.00900,,,,,-0.18400,-10.19300,,,,6.59000,6.59000,-28.94500,-4.13200,-26.48700,37.02300,7.65200,-28.94500
2017-12-31,93.746,20.741,-36.675,-15.934,12.604,5.629,8.875,21.455,58.361,136.173,-14.952,0,-16.366,0,0,-0.196,-31.514,-18.926,0,-18.926,-2.469,-2.469,-28.303,9.005,-40.693,72.659,6.262,-28.303
2017-09-30,83.768,21.61,6.9,28.51,2.703,-0.073,-2.788,-7.831,11.722,124,-3.356,0,0,0,0,-0.433,-3.789,-15.395,0,-15.395,-6.855,-6.855,-28.297,-0.089,-50.636,84.93,5.745,-28.297
2017-06-30,83.844,22.164,9.006,31.17,-11.052,-2.035,1.281,-17.373,-27.413,87.601,-9.377,0,0,0,0,-0.45,-9.827,-66.073,0,-66.073,4.116,4.116,-28.245,3.501,-86.701,2.266,6.239,-28.245
