,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,57.6,107.4,-4.2,103.2,-4.7,-307.4,-37.8,-30.6,123.1,-19.5,0,0,0,0,-2,-21.5,40,0,40,1.6,1.6,-85.3,-2.2,-45.9,52.9,20.9,-85.3
2022-09-30,50.40000,108.70000,5.90000,114.60000,115.60000,,-169.40000,-373.10000,-204.50000,-13.60000,,,,,,-13.60000,270.00000,,270.00000,28.10000,28.10000,-75.00000,-0.30000,222.80000,2.40000,15.60000,-75.00000
2022-06-30,248.1,112,46.6,158.6,49.3,0,-124.6,50.7,457.4,-18.7,0,0,0,0,-10.8,-29.4,-375,0,-375,-10.9,-10.9,-74.8,-13.8,-474.4,-52.6,13.6,-74.8
2022-03-31,176.6,113.4,51.3,164.7,-183.9,236.5,-162,-262.1,80.7,-25.2,0,0,0,0,-1.8,-27.1,10.5,0,10.5,9.5,9.5,-74.7,-0.7,-55.6,-3.9,18.6,-74.7
2021-12-31,47.2,118.6,50.1,168.7,-47.4,-236.5,-195.8,-155,40.8,-13.3,0,0,0,0,-4.3,-17.5,-11,0,-11,30.1,30.1,-74.4,-2.6,-57.8,-35.6,22.6,-74.4
2021-09-30,67.20000,120.00000,10.60000,130.60000,96.60000,,-105.90000,-334.00000,-135.40000,-15.90000,,-13.30000,,,-7.10000,-36.40000,280.00000,,280.00000,8.70000,8.70000,-66.80000,-4.90000,217.00000,42.20000,13.60000,-66.80000
2021-06-30,260.4,107.2,-30,77.2,95.9,0,-130.4,108.2,450.6,-29.5,0,-2603.6,0,0,44.5,-2588.7,2149.9,0,2149.9,-19.1,-19.1,-66.6,-11.3,2052.9,-81.3,12.2,-66.6
2021-03-31,165,78.4,61.1,139.5,-238.6,0,-65.1,-161.9,106.2,-20.4,0,0,0,0,-0.8,-21.1,-27.8,0,-27.8,6.1,6.1,-66.6,-10.1,-98.5,-9.8,17.7,-66.6
2020-12-31,56.3,75.1,-2.6,72.5,-0.8,0,-97,-17.4,127.5,-26.8,0,0,0,0,-8.3,-35.2,-7.8,0,-7.8,6.5,6.5,-66.3,-16.3,-83.9,9,18.3,-66.3
2020-09-30,65.80000,74.00000,46.80000,120.80000,101.10000,,-95.20000,-214.70000,-44.20000,-6.00000,,,,,-2.70000,-8.70000,-20.00000,,-20.00000,20.30000,20.30000,-62.20000,-10.90000,-72.70000,-120.00000,10.40000,-62.20000
