,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,170.369,148.353,1.595,149.948,-103.196,24.38,-37.695,297.304,-164.446,-1.643,0,0,-82.301,-248.39,104.748,104.748,-105.865,-105.865,-14.257,0.001,-15.373,35.456,22.637,-14.257
2022-09-30,176.811,145.874,20.026,165.9,-65.413,-85.569,-114.444,220.672,-161.593,-4.412,0,0,92.679,-73.326,38.06,38.06,-154.464,-154.464,-14.551,-48.039,-178.994,-36.53,21.101,-14.551
2022-06-30,158.781,143.85,-87.858,55.992,-74.656,-152.794,-170.416,32.614,-207.96,-12.485,0,0,63.825,-156.62,367.712,367.712,-196.519,-196.519,-14.766,-2.421,154.006,26.775,22.585,-14.766
2022-03-31,151.02100,143.78400,38.25600,182.04000,-15.07300,89.60000,116.39200,445.43300,-200.00200,10.23200,0.10000,0.10000,20.71000,-168.96000,105.43400,105.43400,-362.00200,-362.00200,-14.87500,-6.59600,-278.03900,-3.79800,19.05500,-14.87500
2021-12-31,233.911,133.363,-7.769,125.594,20.206,-12.758,54.197,322.02,-189.634,-61.742,0,0,-3.38,-254.756,331.6201,331.6201,-446.946,-446.946,-15.612,-1.992,-132.93,-65.483,18.138,-15.612
2021-09-30,219.375,134.462,-8.184,126.278,6.824,43.399,92.019,442.227,-183.814,-39.391,0,0,47.196,-176.009,157.6931,157.6931,-398.919,-398.919,-16.44,-16.481,-274.147,-9.271,18.517,-16.44
2021-06-30,325.276,133.985,-82.891,51.094,-92.754,-295.412,-331.146,47.653,-234.752,21.143,0.129,0.129,-7.894,-221.374,-20.377,-20.377,-357.531,-357.531,-16.826,2.738,-391.996,-565.48,19.009,-16.826
2021-03-31,209.07000,131.40300,53.05000,184.45300,56.85100,-426.80200,-324.35100,71.79500,-247.45900,,-0.02900,-0.02900,-14.83900,-262.32700,-251.83000,-251.83000,-4.10700,-4.10700,-17.01800,3.07800,-269.87700,-459.98600,18.02200,-17.01800
2020-12-31,307.734,133.93,-1.265,132.665,-191.336,-146.937,-292.123,142.012,-184.651,0.317,-1.775,-1.775,-41.75,-227.859,209.4249,209.4249,-3.591,-3.591,0,11.833,217.667,133.265,15.909,0
2020-09-30,244.092,125.961,-121.856,4.105,-85.859,457.14,395.501,766.788,-192.046,-49.63,-0.712,-0.712,-35.5,-277.888,83.4861,83.4861,3.392,3.392,0,-15.094,71.784,561.617,15.974,0
2020-06-30,256.504,126.208,52.465,178.673,61.531,423.542,518.751,949.307,-170.508,5.472,0.466,0.466,2.774,-161.796,-274.234,-274.234,-25.112,-25.112,0,-3.15,-302.496,485.049,15.907,0
2020-03-31,144.46000,124.39400,36.32300,160.71700,69.76300,85.01300,199.92300,502.06200,-184.10200,,-0.75100,-0.75100,49.83400,-135.01900,-179.64500,-179.64500,-169.09000,-169.09000,-17.34400,-5.73500,-371.81400,-6.44400,18.04700,-17.34400
2019-12-31,248.01,127.656,14.491,142.147,-4.724,-93.04,-65.166,333.357,-153.848,-6.052,-2.63,-2.63,-57.425,-219.955,35.153,35.153,-179.97,-179.97,-17.447,-2.526,-164.79,-49.17,17.264,-17.447
2019-09-30,100.87,121.528,48.341,169.869,63.997,76.75,161.263,432.548,-156.327,7.497,0,0,25.252,-123.578,-201.658,-201.658,-90.35,-90.35,-17.603,-0.237,-309.848,-1.864,17.491,-17.603
2019-06-30,241.265,121.168,-73.847,47.321,0.29,-75.358,-44.012,240.76,-154.072,0,-11.07,-11.07,28.678,-136.464,254.423,254.423,-348.319,-348.319,-8.872,-1.336,-104.104,-0.875,17.085,-8.872
2019-03-31,237.39800,120.04000,47.56200,167.60200,-101.61900,104.10700,24.19900,431.80400,-169.84800,,-0.87900,-0.87900,-37.68600,-208.41300,-105.84000,-105.84000,-141.05900,-141.05900,-9.08100,-10.31400,-266.29400,-42.10900,17.59100,-9.08100
