,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,13055,5064,0,5064,0,0,-200,-200,17621,-536,-3914,0,-2175,-2175,1270,-5355,577,-5595,-5018,-4675,-4675,-3843,-401,-13937,-799,-3843
2022-09-30,20198,5642,0,5642,0,0,1667,1667,24425,-6108,3914,0,-272,-272,88,-2378,55,-1224,-1169,-4494,-4494,-3753,-377,-9793,11603,-3753
2022-06-30,18574,4451,0,4451,0,0,-2747,-2747,19963,-2605,-293,0,-226,-226,60,-3064,2098,-2399,-301,-3919,-3919,-3790,-661,-8671,7787,-3790
2022-03-31,5750.00000,8883.00000,,8883.00000,,,1086.00000,1086.00000,14788.00000,-3911.00000,293.00000,,-417.00000,-417.00000,90.00000,-3945.00000,-2098.00000,1366.00000,-732.00000,-2067.00000,-2067.00000,-3820.00000,-94.00000,-6713.00000,4272.00000,-3820.00000
2021-12-31,9079,5661,-768,4893,-489,16820,-14401,1930,17124,-913,-575,0,-1762,-1762,1140,-2110,-4,-8820,-8824,-154,-154,-3821,-160,-12959,2034,-3821
2021-09-30,6942,4990,0,4990,0,0,659,659,12091,-3397,575,0,-442,-442,210,-3054,42,-3854,-3812,0,0,-3774,-71,-7657,1303,-3774
2021-06-30,4781,4952,0,4952,0,0,-380,-380,9650,-2190,-307,0,-264,-264,45,-2716,10849,-13802,-2953,0,0,-3781,-288,-7022,-50,-3781
2021-03-31,2796.00000,5004.00000,,5004.00000,,,1953.00000,1953.00000,9264.00000,-2400.00000,307.00000,,-349.00000,-349.00000,87.00000,-2355.00000,-10849.00000,6784.00000,-4065.00000,-1.00000,-1.00000,-3772.00000,53.00000,-7785.00000,-849.00000,-3772.00000
2020-12-31,-20603,30291,-8644,21647,-315,-7142,7343,-114,4005,-2630,-229,0,-1414,-1414,971,-3302,-4,-1525,-1529,-100,-100,-3766,112,-5283,-4468,-3766
2020-09-30,-709,4983,0,4983,0,0,708,708,4389,-3291,229,-129,-1919,-2048,1401,-3709,-1,-927,-928,0,0,-3760,194,-4494,-3744,-3760
2020-06-30,-1169,4916,-2245,2671,0,0,-1305,-1305,0,-4417,-86,129,-796,-667,89,-5081,14719,-4881,9838,0,0,-3763,202,6277,1164,-3763
2020-03-31,-770.00000,5819.00000,2245.00000,8064.00000,,,-942.00000,-942.00000,6274.00000,-5945.00000,86.00000,,-728.00000,-728.00000,220.00000,-6367.00000,8464.00000,4296.00000,12760.00000,-305.00000,-305.00000,-3764.00000,94.00000,8785.00000,8323.00000,-3764.00000
2019-12-31,5730,4923,-6519,-1596,72,3725,-5438,-1641,6352,-6704,3092,0,-1373,-1373,721,-4264,32,-692,-660,-173,-173,-3751,128,-4456,-2262,-3751
2019-09-30,3247,4873,0,4873,0,0,1550,1550,9079,-6285,460,0,-802,-802,477,-6150,6976,-5018,1958,0,0,-3773,149,-1666,1138,-3773
2019-06-30,3391,4631,0,4631,0,0,-1243,-1243,5947,-6173,33,0,-820,-820,83,-6877,43,4322,4365,0,0,-3772,-45,548,-373,-3772
2019-03-31,2406.00000,4571.00000,,4571.00000,,,2257.00000,2257.00000,8338.00000,-5199.00000,107.00000,,-910.00000,-910.00000,209.00000,-5793.00000,,2999.00000,2999.00000,-421.00000,-421.00000,-3548.00000,-74.00000,-1044.00000,1544.00000,-3548.00000
2018-12-31,6206,5028,-2735,2293,-3107,2321,-545,-1331,8607,-6094,884,0,-868,-868,494,-5584,46,-2318,-2272,-196,-196,-3553,520,-5501,-2627,-3553
2018-09-30,6446,4658,0,4658,0,0,957,957,11108,-5204,1491,0,-409,-409,215,-3907,0,-1299,-1299,-1,-1,-3560,-99,-4959,2239,-3560
2018-06-30,3986,4589,0,4589,0,0,-1333,-1333,7780,-4927,307,0,-566,-566,90,-5096,3872,-3304,568,-2,-2,-3594,-216,-3244,-695,-3594
2018-03-31,4783.00000,4470.00000,,4470.00000,,,351.00000,351.00000,8519.00000,-3349.00000,1441.00000,,-138.00000,-138.00000,187.00000,-1859.00000,-3872.00000,1950.00000,-1922.00000,-427.00000,-427.00000,-3334.00000,-59.00000,-5742.00000,948.00000,-3334.00000
2017-12-31,8409,5842,-8255,-2413,-1682,-3954,5534,-102,7411,-4501,1408,0,-3557,-3557,114,-6536,0,1789,1789,-232,-232,-3334,-60,-1837,-1089,-3334
