,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,79.951,26.103,24.979,51.082,-7.947,-0.251,7.517,-31.498,-2.577,128.456,-40.637,-4.12,53.499,53.499,0,8.742,0,453.611,453.611,0,0,-0.153,453.458,590.656,25.817
2022-09-30,52.153,23.69,29.828,53.518,5.182,1.193,-3.496,-25.706,-37.982,67.689,-24.32,0,14.802,14.802,0,-9.518,0,-1671.478,-1671.478,0,0,-5.364,-1676.842,-1618.671,23.616
2022-06-30,57.355,22.392,24.988,47.38,-2.133,-1.29,2.249,-28.95,-53.008,51.727,-33.247,0,78.363,78.363,0,45.116,0.157,-520.53,-520.373,-94.652,-94.652,-5.872,-620.897,-524.054,25.144
2022-03-31,91.93000,21.36100,10.89700,32.25800,-8.45500,0.12400,5.40600,-40.70000,-6.95700,117.23100,-34.47400,,-33.15200,-33.15200,,-67.62600,-0.44400,2099.53000,2099.08600,,,-0.21800,2098.86800,2148.47300,22.05500
2021-12-31,48.687,18.801,41.311,60.112,3.514,0.384,-2.319,-37.385,-19.074,89.725,-33.974,-4,-155.718,-155.718,0,-193.692,-0.444,-1113.4,-1113.844,0,0,-4.431,-1118.275,-1222.242,21.142
2021-09-30,30.379,17.237,35.453,52.69,6.901,0.017,-0.608,-13.048,0.125,83.194,-23.986,-1.5,11.291,11.291,0,-14.195,-0.443,934.601,934.158,0,0,-28.794,905.364,974.363,28.834
2021-06-30,52.278,15.92,27.647,43.567,-0.113,0.205,1.464,-21.956,-38.859,56.986,-37.402,0,-19.836,-19.836,0,-57.238,-0.444,-274.312,-274.756,0,0,-31.978,-306.734,-306.986,23.949
2021-03-31,64.61600,14.84800,25.79500,40.64300,-10.66200,-0.12500,0.80300,-30.10400,-15.80200,89.45700,-25.33000,,32.78500,32.78500,,7.45500,-0.44400,686.19000,685.74600,,,-0.37700,685.36900,782.28100,23.58100
2020-12-31,24.367,14.12,43.516,57.636,3.225,-0.073,-2.962,-26.475,-29.124,52.879,-20.6,0,100.49,100.49,0,79.89,-0.444,91.138,90.694,0,0,-36.712,53.982,186.751,33.577
2020-09-30,27.482,12.417,24.273,36.69,-3.06,0.465,5.508,-10.348,2.644,66.816,-21.044,0,13.27,13.27,0,-7.774,-0.443,488.822,488.379,0,0,-2.85,485.529,544.571,19.502
2020-06-30,28.589,13.085,26.769,39.854,-1.236,-0.687,-1.425,-16.872,-42.961,25.482,-26.732,0,20.368,20.368,0,-6.364,-0.444,-358.844,-359.288,-44.042,-44.042,-23.079,-426.409,-407.291,21.218
2020-03-31,63.01500,12.22400,18.31100,30.53500,1.23900,0.25400,0.40800,-31.51200,-11.52000,82.03000,-25.72600,,-157.90300,-157.90300,,-183.62900,-0.44400,-270.39900,-270.84300,-7.99800,-7.99800,-0.17000,-279.01100,-380.61000,15.81100
2019-12-31,45.38,11.282,11.054,22.336,-6.689,-0.222,0.749,-21.696,-19.872,47.844,-21.854,0,-119.543,-119.543,0,-141.397,-0.444,826.86,826.416,0,0,-0.299,826.117,732.564,6.146
2019-09-30,39.152,10.332,11.49,21.822,0.241,0.067,0.314,-14.049,-7.323,53.651,-36.375,0,5.157,5.157,0,-31.218,-0.443,-131.869,-132.312,0,0,-162.821,-295.133,-272.7,4.454
2019-06-30,48.762,10.501,11.778,22.279,0.985,-0.237,-0.033,-15.57,-28.699,42.342,-19.816,0,-9.925,-9.925,0,-29.741,-0.444,-437.678,-438.122,0,0,140.245,-297.877,-285.276,5.597
2019-03-31,47.28200,9.19100,35.33200,44.52300,-0.42100,-0.01100,-1.25100,-22.75400,-11.37900,80.42600,-14.88900,,-2.30000,-2.30000,,-17.18900,-0.44400,437.67800,437.23400,,,-19.66900,417.56500,480.80200,31.07100
2018-12-31,31.414,9.615,10.716,20.331,-1.201,-0.25,-0.71,-17.387,-12.777,38.968,-15.642,0,52.603,52.603,0,36.961,-0.444,-121.414,-121.858,-62.331,-62.331,186.321,2.132,78.061,5.068
2018-09-30,28.769,7.77,9.144,16.914,0.201,-0.113,1.196,-8.636,0.302,45.985,-12.391,0,-12.712,-12.712,0,-25.103,-0.444,188.914,188.47,-1.168,-1.168,-188.385,-1.083,19.799,4.587
2018-06-30,35.722,6.406,9.337,15.743,-0.064,0.25,1.303,-6.975,-9.088,42.377,-13.165,0,-23.62,-23.62,0,-36.785,0,-194.873,-194.873,-36.69,-36.69,-6.329,-237.892,-232.3,3.699
2018-03-31,41.16000,5.89800,26.67700,32.57500,-0.77400,-0.19300,-0.71000,-18.14300,-16.24800,57.48700,-18.70800,,-5.78200,-5.78200,,-24.49000,,5.95900,5.95900,-4.99900,-4.99900,-11.91300,-10.95300,22.04400,23.22200
2017-12-31,48.866,5.442,-8.863,-3.421,-0.132,0.537,1.542,-12.73,-7.345,38.1,-16.463,0,9.089,9.089,0,-7.374,1.008,296.467,297.475,-37.489,-37.489,-5.769,254.217,284.943,6.413
2017-09-30,20.91,4.567,19.632,24.199,0.359,-0.509,-1.144,-6.314,-8.353,36.756,-21.017,0,-5.348,-5.348,0,-26.365,-0.281,5.719,5.438,-4.204,-4.204,-13.132,-11.898,-1.507,13.357
2017-06-30,20.016,4.743,14.591,19.334,0.044,0.258,1.03,-6.21,-24.282,15.068,-12.773,0,163.965,163.965,0,151.192,3.067,-163.965,-160.898,-15.187,-15.187,-14.973,-191.058,-24.798,12.963
2017-03-31,33.69400,4.30900,4.62800,8.93700,-0.50800,0.17600,-1.34900,-12.20000,-2.40600,40.22500,-9.13600,,-92.73600,-92.73600,,-101.87200,1.81100,92.73600,94.54700,,,-0.14300,94.40400,32.75700,3.34300
2016-12-31,35.214,3.854,18.525,22.379,0.14,-0.545,2.087,-39.882,-33.21,24.383,-11.38,0,-265.068,-265.068,0,-276.448,-0.262,265.203,264.941,-27.182,-27.182,-0.032,237.727,-14.338,1.979
2016-09-30,6.198,3.586,17.588,21.174,1.296,0.311,-6.277,3.245,-7.491,19.881,-7.79,0,441.273,441.273,0,433.483,0.843,-441.273,-440.43,-4.889,-4.889,-14.442,-459.761,-6.397,13.925
2016-06-30,10.421,3.24,2.305,5.545,-0.195,0.229,3.789,3.479,8.64,24.606,-15.977,0,91.305,91.305,0,75.328,3.679,-91.305,-87.626,-3.49,-3.49,0,-91.116,8.818,3.594
2016-03-31,18.58800,2.94100,-2.42100,0.52000,-0.22600,0.42300,-1.17000,0.94100,10.84000,29.94800,-8.36300,,-428.91600,-428.91600,,-437.27900,-0.22400,428.91600,428.69200,,,,428.69200,21.36100,1.22300
2015-12-31,5.157,2.648,1.905,4.553,1.032,-0.469,0.419,1.471,-0.867,8.843,-6.399,0,-80.808,-80.808,0,-87.207,-0.221,80.808,80.587,0,0,-0.056,80.531,2.167,1.412
2015-09-30,3.847,2.425,0.234,2.659,-0.834,0.376,0.12,3.774,4.844,11.35,-5.228,0,-73.088,-73.088,0,-78.316,-0.215,73.088,72.873,0,0,-0.027,72.846,5.88,1.518
2015-06-30,5.946,2.359,-0.079,2.28,-0.868,0.392,-0.455,1.837,1.417,9.643,-2.42,0,48.756,48.756,0,46.336,-0.218,-48.756,-48.974,0,0,-0.011,-48.985,6.994,0.035
2015-03-31,5.99500,2.14600,0.15300,2.29900,1.11000,-0.52300,-0.51500,0.22800,4.84200,13.13600,-2.50200,,68.99400,68.99400,0.37100,66.86300,-0.46400,-68.99400,-69.45800,,,-0.01200,-69.47000,10.52900,0.25400
2014-12-31,2.506,6.081,-2.856,3.225,-1.326,0.072,0.658,1.645,3.305,9.036,-2.322,0,-266.924,-266.924,-0.003,-269.249,-0.209,266.924,266.715,-0.003,-0.003,0.172,266.884,6.671,0.35
2014-09-30,2.69,1.79,1.114,2.904,-0.562,0.136,-0.644,1.929,1.814,7.408,-2.67,0,-78.004,-78.004,0,-80.674,-0.235,78.004,77.769,0.647,0.647,-0.645,77.771,4.505,0.088
2014-06-30,-0.593,1.684,3.571,5.255,-0.169,-0.067,-0.69,2.335,-0.5,4.162,-4.118,0,93.589,93.589,0.001,89.472,-62.954,-93.589,-156.543,62.196,62.196,1.556,-92.791,0.843,0.181
2014-03-31,1.06000,1.79100,0.03500,1.82600,0.96800,0.12600,-1.71000,0.15900,-1.15500,1.73100,-5.16000,,46.56100,46.56100,,41.40100,4.28600,-46.56100,-42.27500,,,-1.09400,-43.36900,-0.23700,0.09300
2013-12-31,5.14,1.53,-1.85,-0.863,-0.998,0.257,2.826,1.35,7.322,11.625,-10.685,0,-213.807,-213.807,0,-224.492,5.229,213.807,87.523,0,0,-14.034,205.002,-7.865,0.009
2013-09-30,-0.424,1.515,0.139,1.654,-0.148,-0.208,0.476,0.865,1.96,3.19,-3.404,0,43.526,43.526,0,40.122,1.947,-43.526,-41.579,0,0,1.629,-39.95,3.362,0.081
2013-06-30,0.36,1.347,0.637,1.984,-0.084,0.117,-0.224,1.161,2.038,4.382,-1.612,0,64.798,64.798,-0.001,63.185,-0.097,-64.798,-64.895,0,0,-2.123,-67.018,0.549,0.122
2013-03-31,2.63500,1.35200,1.61700,2.96900,0.14700,-0.03000,-0.41100,-0.05700,-1.08000,4.52400,-1.22700,,-26.03000,-26.03000,,-27.25700,-0.10000,26.03000,25.93000,,,0.59500,26.52500,3.79200,0.72200
2012-12-31,2.8,0.4,0,0.4,0,0,0,0,3.49,6.7,8.99,0,0,16.19,0.14,25.31,0,-16.19,8.13,0,3.4,-22.33,-26.98,5.04,0
2011-12-31,1.43,5.28,0,5.28,0,0,0,0,2.2,9.08,-14.85,0,0,-87.19,-0.25,-102.29,0,87.19,9.61,0,-1,-1.44,94.36,1.14,0
