,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,954.469,197.773,-549.967,-352.1939,-24.234,36.722,79.116,329.608,294.593,950.597,-896.156,-228.02,-734.185,-734.185,1.308,-1857.053,1924.626,1924.626,4.358,4.358,0,-59.729,1869.255,962.799,14.485,0
2022-09-30,429.585,174.736,77.44,252.176,0,0,0,-54.244,-54.244,675.206,-544.965,-756.289,-12.651,-12.651,509.561,-804.344,-1720.305,-1720.305,4.709,4.709,0,-2.572,-1718.168,-1847.306,26.473,0
2022-06-30,540.007,168.223,121.354,289.577,0,0,0,-144.184,-144.184,760.953,-656.807,0,414.672,414.672,-240.881,-483.016,-337.266,-337.266,4.449,4.449,0,-11.661,-344.478,-66.541,15.207,0
2022-03-31,448.84600,176.34100,90.52600,266.86700,,,,-69.25400,-69.25400,705.34400,-629.37400,,2457.07400,2457.07400,-7470.32600,-5642.62600,-6.99300,-6.99300,4.61600,4.61600,,4.42800,2.05100,-4935.23100,15.28500,
2021-12-31,565.412,170.786,86.2319,257.018,209.456,-167.985,101.034,-388.223,-113.096,771.584,-473.687,-100.529,3.501,3.501,-2.765,-573.48,5234.3611,5234.3611,20.526,20.526,0,-63.253,5191.634,5389.738,15.016,0
2021-09-30,567.52,177.291,189.1161,366.4071,0,0,0,59.188,59.188,1007.768,-333.884,-677.356,-1845.409,-1845.409,278.213,-2578.436,-38.3421,-38.3421,12.684,12.684,0,29.504,3.846,-1566.822,16.743,0
2021-06-30,681.451,186.39,206.974,393.3639,0,0,0,39.349,39.349,1126.401,-262.975,0,-1017.685,-1017.685,-162.419,-1443.079,-311.392,-311.392,18.704,18.704,0,-13.909,-306.597,-623.275,0.546,0
2021-03-31,641.56300,190.38500,157.29000,347.67500,,,,127.12200,127.12200,1125.49800,-115.09600,,241.90300,241.90300,57.77500,184.58200,-224.50300,-224.50300,6.38900,6.38900,,-11.34100,-229.45500,1080.62500,19.37500,
2020-12-31,761.298,196.525,164.616,361.141,-25.172,58.291,73.268,-400.867,-536.917,594.085,-103.753,533.296,623.0301,623.0301,-1733.652,-681.079,1976.744,1976.744,5.402,5.402,0,-325.739,1656.407,1569.413,17.008,0
2020-09-30,532.958,199.083,663.36,862.443,0,0,0,-376.911,-376.911,1006.795,-112.832,-1312.5,-956.277,-956.277,-361.333,-2742.942,958.296,958.296,12.936,12.936,0,-1.67,969.562,-766.585,13.135,0
2020-06-30,480.406,152.124,119.843,271.9669,0,0,0,129.232,129.232,834.943,-99.553,0,519.608,519.608,-376.47,43.585,-1118.863,-1118.863,3.551,3.551,0,-0.001,-1115.313,-236.785,18.393,0
2020-03-31,99.27400,166.82000,423.17000,589.99010,,,,132.16000,132.16000,875.95300,-97.16400,,-144.21200,-144.21200,-239.76000,-481.13600,-16.71300,-16.71300,5.52500,5.52500,,0.00200,-11.18600,383.63100,16.41800,
2019-12-31,413.547,173.555,56.171,229.7261,49.183,-79.542,46.892,115.904,-0.144,633.772,-119.679,734.631,-223.1071,-223.1071,-967.472,-575.627,-20.436,-20.436,1002.812,1002.812,0,-0.02,982.356,1040.501,5.968,0
2019-09-30,377.157,154.181,49.205,203.386,0,0,0,-19.486,-19.486,682.31,-179.68,-734.631,637.888,637.888,495.784,219.361,-1304.613,-1304.613,4.615,4.615,0,-53.573,-1353.571,-451.9,-15.348,0
2019-06-30,340.566,149.702,70.487,220.189,0,0,0,67.591,67.591,613.39,-160.863,0,-12.544,-12.544,-147.895,-321.302,-4.874,-4.874,22.666,22.666,0,20.501,38.293,330.381,12.105,0
2019-03-31,361.29900,153.13900,64.84200,217.98100,,,,158.11800,158.11800,732.92900,-120.85900,,367.87100,367.87100,-287.28000,-40.26800,-28.99700,-28.99700,4.75000,4.75000,,29.00000,4.75300,697.41400,11.53700,
2018-12-31,357.286,171.065,157.428,328.4931,14.724,14.788,-160.952,-82.951,-191.253,502.107,-111.133,0,-546.926,-546.926,-159.189,-817.248,-30.213,-30.213,3.681,3.681,0,-0.51,-27.042,-342.183,11.364,0
