,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,96.385,78.367,5.267,83.634,-16.73,-4.972,-52.446,127.573,-80.058,-5.907,-10.876,-10.876,2.6,-94.241,-3.466,0,-3.466,-0.009,-0.009,-107.246,-8.819,-119.54,-86.208,3.929,-107.246
2022-09-30,88.847,76.649,8.904,85.553,-10.292,14.549,26.085,200.485,-45.754,-6.892,5.919,5.919,0.122,-46.605,-8.77,0,-8.77,-3.571,-3.571,-108.079,0.334,-120.086,33.794,4.091,-108.079
2022-06-30,105.987,75.566,-10.576,64.99,-11.648,-3.679,13.888,184.865,-155.474,-2.759,34.512,34.512,0.105,-123.616,-2.882,0,-2.882,-10.755,-10.755,-107.456,2.304,-118.789,-57.54,4.337,-107.456
2022-03-31,196.81600,73.91900,-93.57500,-19.65600,3.39600,-8.27700,-34.26800,142.89200,-83.77100,-5.55400,147.57000,147.57000,0.10900,58.35400,-2.84600,,-2.84600,-6.18300,-6.18300,-107.36200,-1.15200,-117.54300,83.70300,4.16400,-107.36200
2021-12-31,68.983,72.099,31.172,103.271,-16.21,14.068,-21.344,150.91,-370.744,-1.549,86.824,86.824,0.688,-284.781,-31.057,0,-31.057,-0.017,-0.017,-101.64,-1.073,-133.787,-267.658,3.243,-101.64
2021-09-30,118.848,70.518,0.441,70.959,-21.37,-3.957,-6.616,183.191,-126.703,-8.357,60.397,60.397,0.058,-74.605,-12.572,0,-12.572,82.461,82.461,-101.12,-1.283,-32.514,76.072,3.378,-101.12
2021-06-30,96.832,69.931,2.912,72.843,-3.049,-2.585,16.25,185.925,-41.357,-5.929,113.534,113.534,0.016,66.264,-2.564,0,-2.564,-0.021,-0.021,-101.107,-1.204,-104.896,147.293,3.474,-101.107
2021-03-31,81.62500,73.85000,-7.14000,66.71000,15.76000,-10.01700,-8.97300,139.36200,-30.87800,-8.13600,45.75300,45.75300,0.03100,6.77000,-7.07600,-265.00000,-272.07600,-3.90000,-3.90000,-101.03300,-8.25300,-385.26200,-239.13000,2.42000,-101.03300
2020-12-31,39.216,77.503,6.581,84.084,12.872,7.583,1.229,124.529,-31.511,-14.575,78.639,78.639,7.328,39.881,-66.253,0,-66.253,0,0,0.001,-0.584,-66.836,97.574,2.927,0.001
2020-09-30,13.31,79.746,25.242,104.988,28.183,1.448,38.872,157.17,-41.441,-3.518,7.621,7.621,-0.058,-37.396,-303.021,0,-303.021,0.092,0.092,-101.023,-22.304,-426.256,-306.482,3.437,-101.023
2020-06-30,19.574,77.68,-4.367,73.313,-42.68,3.054,-1.146,91.741,-51.543,-2.67,28.857,28.857,-0.217,-25.573,596.249,-705,-108.751,-0.251,-0.251,-101.017,-5.636,-215.655,-149.487,3.897,-101.017
2020-03-31,-24.78300,211.58200,-28.28400,183.29800,18.56900,-23.90800,-32.83700,125.67800,-73.07600,-4.39200,74.99800,74.99800,-0.08300,-2.55300,-6.43800,485.00000,478.56200,120.52400,120.52400,-99.86400,-1.06400,498.15800,621.28300,3.32000,-99.86400
2019-12-31,41.131,80.61,36.681,117.291,-5.21,9.414,-6.507,151.915,-71.666,-5.503,51.722,51.722,9.063,-16.384,-3.132,35,31.868,-0.04,-0.04,-98.114,-1.144,-67.43,68.101,3.623,-98.114
2019-09-30,57.944,83.778,19.035,102.813,-6.455,7.553,19.276,180.033,-240.581,-6.457,-5.897,-5.897,0.136,-252.799,420.69,-235,185.69,-0.016,-0.016,-97.88,-4.931,82.863,10.097,3.727,-97.88
2019-06-30,52.69,90.173,11.666,101.839,-2.075,-0.111,3.43,157.959,-53.433,-6.139,-1.087,-1.087,0.148,-60.511,-15.542,10,-5.542,0.001,0.001,-97.843,0.516,-102.868,-5.42,3.514,-97.843
2019-03-31,91.49300,87.02500,-22.92200,64.10300,9.05000,-24.37400,-24.23200,131.36400,-56.90100,-5.35900,109.14500,109.14500,0.11600,47.00100,6.43300,-35.00000,-28.56700,-38.91800,-38.91800,-97.81200,-15.47400,-180.77100,-2.40600,3.47500,-97.81200
2018-12-31,79.737,88.454,-10.663,77.791,-13.048,16.952,-11.956,145.572,-51.419,-6.218,98.544,98.544,0.25,41.157,-2.197,0,-2.197,-88.862,-88.862,-93.897,-1.069,-186.025,0.704,3.623,-93.897
2018-09-30,70.534,85.078,4.632,89.71,-9.524,-8.023,3.605,163.849,-51.691,-5.22,103.536,103.536,0.105,46.73,-109.092,-5,-114.092,-0.017,-0.017,-93.91,-1.314,-209.333,1.246,3.438,-93.91
2018-06-30,48.589,80.487,29.819,110.306,-8.098,-7.5,-7.857,151.038,-136.331,-4.183,37.594,37.594,16.215,-86.705,-158.939,150,-8.939,0,0,-93.905,-11.885,-114.729,-50.396,3.177,-93.905
2018-03-31,53.46500,82.81500,22.49700,105.31200,4.29600,0.58800,-8.90900,149.86800,-72.03900,-7.54300,-27.23300,-27.23300,-0.39100,-107.20600,298.47800,-60.00000,238.47800,-131.64500,-131.64500,-95.04300,-10.19700,1.59300,44.25500,3.39700,-95.04300
2017-12-31,85.941,88.449,-25.325,63.124,-14.754,-2.931,-24.707,124.358,-233.215,-9.524,94.863,94.863,-1.611,-149.487,1.36,45,46.36,89.06,89.06,-90.039,-1.512,43.869,18.74,3.713,-90.039
2017-09-30,63.582,86.747,5.264,92.011,-13.079,-2.916,12.763,168.356,-82.952,-3.964,-2.091,-2.091,-0.551,-89.558,0.248,15,15.248,-0.229,-75.229,-90.701,-2.176,-152.858,-74.06,3.01,-90.038
