,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,921.3,-127.6,549.9,422.3,203.9,649.4,34.7,-94.7999,1248.8,-1276.9999,0,-38,-38,600.5001,-714.5,1066,-227.3,838.7,13.9,13.9,-128.8,723.8,1367.4,-128.8
2022-09-30,769.4,203,-51.1,151.9,-128.8,-215.6,0,-240.6001,680.7,-194.7001,0,-42.7,-42.7,-202.1,-439.5,-68.6001,110.8,42.1999,3.2,3.2,-118.3,-72.9,92.2,-118.3
2022-06-30,720.4,196.9,-19.4,177.5,-302.1,-77,0,-259.6999,638.2,-210.5,0,-85.8,-85.8,-176.6001,-472.9,292.0001,-365.1,-73.0999,1.7,1.7,-118.2,-189.6,-83.6,-118.2
2022-03-31,600.50000,185.70000,-147.20000,38.50000,-708.40000,-230.90000,,-179.70010,459.30000,-180.50000,,-3.80000,-3.80000,-221.80000,-406.10000,-13.40000,481.60000,468.20000,14.80000,14.80000,-639.40000,-156.40000,-113.40000,-639.40000
2021-12-31,518.7,211,43,254,-600.8,721.2,-112.5,263.8,1036.5,-255.4999,0,-25,-25,-56.7998,-337.3,289.5001,328.2,617.7001,7.4,7.4,-118.1,507,1200.5,-118.1
2021-09-30,380.5,209.9,-195.5,14.4,450.1,-505.9,0,-112.4,282.5,-153.3001,0,-135.1,-135.1,-70.3001,-358.7,-289.3,-330.9,-620.1999,-0.1,-0.1,-118.1,-738.4,-842,-118.1
2021-06-30,495.5,230.7,-10.8,219.9,270,-572.4,0,-384.5999,330.8,-203.1,0,-11.2,-11.2,-236.7,-451,-437.3,410.9,-26.4001,1.3,1.3,-118.1,-143.2,-250.2,-118.1
2021-03-31,470.80000,251.70000,-49.60000,202.10000,-441.40000,-270.90000,,-136.00010,536.90000,-116.80000,,-4.80000,-4.80000,-94.10000,-215.70000,201.50000,-383.50000,-182.00000,27.40000,27.40000,-353.70000,-508.30000,-219.60000,-353.70000
2020-12-31,408.6,269.5,-71,198.5,274.5,-63.8,-115.2,187.6,794.7,-345.2999,0,-219.1,-219.1,-277.0999,-841.5,-360.6,639.1,278.5,11.9,11.9,-110.9,179.5,195.3,-110.9
2020-09-30,385.5,266.2,-66.4,199.8,-6.6,27.4,0,246.4,831.7,-173.9001,0,-37.2,-37.2,-229.1001,-440.2,149.8001,-278.5,-128.6999,30,30,-110.9,-209.6,216.3,-110.9
