,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,350,27,26,53,-57,0,56,597,-24,0,0,398,398,-1798,-1424,0,2703,2703,1,1,-93,-1472,1139,312,12,-87
2022-09-30,351,31,6,37,-53,0,9,393,-17,0,0,199,199,-471,-289,500,508,1008,3,3,-94,-2584,-1667,-1563,9,-88
2022-06-30,261,31,-25,6,-41,0,8,358,-24,0,0,-2888,-2888,-2130,-5042,0,0,0,2,2,-94,-1241,-1333,-6017,11,-89
2022-03-31,189.00000,33.00000,-7.00000,26.00000,-1.00000,,-94.00000,-710.00000,-17.00000,,,-2799.00000,-2799.00000,-381.00000,-3197.00000,,,,-21.00000,-21.00000,-95.00000,-5106.00000,-5222.00000,-9129.00000,28.00000,-89.00000
2021-12-31,228,33,-80,-47,-4,0,44,429,-20,0,0,-276,-276,-1151,-1447,0,0,0,-38,-38,-94,240,108,-910,5,-88
2021-09-30,262,35,-5,30,16,0,69,202,-15,0,0,-1115,-1115,2611,1481,0,0,0,-216,-216,-97,5718,5405,7088,7,-91
2021-06-30,328,34,-119,-85,6,0,11,-156,-17,0,0,-251,-251,949,681,0,0,0,-443,-443,-100,1648,1105,1630,7,-95
2021-03-31,350.00000,33.00000,-141.00000,-108.00000,-5.00000,,21.00000,159.00000,-18.00000,,,-643.00000,-643.00000,1669.00000,1008.00000,-2800.00000,,-2800.00000,2.00000,2.00000,-101.00000,836.00000,-2063.00000,-896.00000,22.00000,-95.00000
2020-12-31,221,34,-8,26,-7,0,14,208,-28,0,0,-2,-2,58,28,0,-10,-10,2,2,-101,4499,4390,4626,6,-93
2020-09-30,217,33,-11,22,-11,0,3,-24,-22,0,0,-2314,-2314,1050,-1286,-750,-742,-1492,-3,-4,-91,727,-860,-2170,6,-91
2020-06-30,118,29,106,135,35,0,-17,45,-14,0,0,256,256,-52,190,-925,-1511,-2436,2,397,-96,10356,8221,8456,4,-96
