,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-03-31,113.20000,20.00000,23.20000,43.20000,-20.20000,-24.00000,24.90000,-30.30000,-78.30000,78.10000,-18.10000,,,,-41.40000,-59.50000,,22.80000,22.80000,-35.20000,-35.20000,-30.90000,8.00000,-35.30000,-18.50000,11.50000,-30.90000
2014-12-31,118.7,20.5,24.9,45.4,4.3,-3.6,-23.6,-24.5,-61.7,102.4,-17.1,0,0,0,-28.9,-46,0,-1.5,-1.5,-9.6,-9.6,-30.8,-4.5,-46.4,8.2,10.8,-30.8
2014-09-30,106.4,19.7,18.1,37.8,-25.7,-29.1,-1.8,-14.7,-56.2,88,-22.2,0.3,0,0,-34.7,-56.6,0,12.7,12.7,-6.3,-6.3,-25.6,-2.3,-21.5,8.9,8.6,-25.6
2014-06-30,108.8,19.7,8.4,28.1,-5,-9.9,11.4,-23.6,-12.5,124.4,-22.4,-41.6,0,0,-55.7,-119.7,0,29.8,29.8,-21.1,-21.1,-25.6,-0.2,-17.1,-12,10.1,-25.6
2014-03-31,98.20000,19.60000,18.10000,37.70000,-31.00000,-18.50000,7.00000,-25.60000,-47.60000,88.30000,-18.10000,,,,-32.80000,-50.90000,-100.00000,4.00000,-96.00000,-9.30000,-9.30000,-25.60000,3.80000,-127.10000,-89.80000,8.60000,-25.60000
2013-12-31,96.9,19,20.9,39.9,-14.2,3.5,-8.3,12.9,-14.3,122.5,-12.2,0,0,0,-32.3,-44.5,0,-4.2,-4.2,-13.8,-13.8,-25.5,0.8,-42.7,35.1,9.6,-25.5
2013-09-30,87,19.4,8,27.4,-17.9,-16.7,2.4,-29.8,-30.1,84.3,-19.1,0,0,0,-32.8,-51.9,0,3.1,3.1,-3.6,-3.6,-22.1,-2.7,-25.3,7.8,9.4,-22.1
2013-06-30,90.7,19.5,12.3,31.8,2.4,-15.7,4.4,-11.3,-12.4,110.1,-16.5,-38.2,0,0,-52.8,-107.5,0,4,4,-21.7,-21.7,-22.3,-0.5,-40.5,-38.9,10,-22.3
2013-03-31,85.10000,18.80000,27.80000,46.60000,-12.30000,-3.10000,9.90000,-15.80000,-56.00000,75.70000,-14.40000,,,,-32.10000,-46.50000,,6.10000,6.10000,-14.30000,-14.30000,-22.10000,1.00000,-29.30000,-0.90000,9.50000,-22.10000
2012-12-31,86.7,19.5,39.5,59,-24.5,14,-7.2,4,-42.8,102.9,-19.7,0,27,27,-26.8,-19.5,0,-13.7,-13.7,-9.8,-9.8,-22.1,0.7,-44.9,38.4,7.1,-22.1
2012-09-30,76.4,19,14,33,-16,-8,3.7,-29.4,-39.7,69.7,-19.5,0,0,0,-27.3,-46.8,0,4.3,4.3,-5.9,-5.9,-19.8,-0.1,-21.5,2.5,8.9,-19.8
2012-06-30,78.5,19.2,4.1,23.3,-5.9,-15.3,5.1,-15.9,-10.1,91.7,-17.7,0,0,0,-39.8,-57.5,0,0.4,0.4,1,1,-19.5,-2,-20.1,12,7.4,-19.5
2012-03-31,73.00000,19.00000,26.00000,45.00000,3.00000,-4.10000,15.00000,-24.60000,-53.00000,65.00000,-19.90000,,,,-29.40000,-49.30000,,-2.20000,-2.20000,-16.60000,-16.60000,-20.10000,-1.60000,-40.50000,-24.00000,8.70000,-20.10000
2011-12-31,76.1,19.2,26.4,45.6,-21.5,8.3,-7.5,-9.9,-49.4,72.3,-13.9,0,0,0,-35.5,-49.4,0,2.1,2.1,-2.4,-2.4,-20.2,-1.6,-22.1,-0.1,7.9,-20.2
2011-09-30,69.8,18.8,1.8,20.6,-11.9,-19.4,-4.2,-30.3,-48.4,42,-13,0,0,0,-35.9,-48.9,-200,-0.7,-200.7,-1.1,-1.1,-19,-2.1,-222.9,-232.5,0.2,-19
2011-06-30,79.9,18.3,4.8,23.1,6.1,-20.5,-3.5,-28,-116.7,-13.7,-12.2,0,0,0,-49.3,-61.5,0,-2.4,-2.4,-2.4,-2.4,-18.6,-1.4,-24.8,-99.1,6.3,-18.6
2011-03-31,58.00000,18.30000,15.70000,34.00000,-9.50000,-29.30000,-6.30000,-19.00000,-64.10000,27.90000,-18.40000,,,,-41.40000,-59.80000,,1.60000,1.60000,-5.80000,-5.80000,-18.90000,-0.80000,-23.90000,-54.90000,5.90000,-18.90000
2010-12-31,59.8,18.2,18,36.2,-16.4,-6.2,17.9,-18.8,-31.7,64.3,-28.2,0,0,0,-48.7,-76.9,247.7,-2.1,245.6,-1.3,-1.3,-18.7,-1,224.6,212.3,4.6,-18.7
2010-09-30,48.3,18,2.9,20.9,-16.5,-12.8,-5.9,-19.5,-59,10.2,-4.5,0,0,0,-65.4,-69.9,0,2.9,2.9,3.3,3.3,-17.6,-1.7,-13.1,-70.9,4.3,-17.6
2010-06-30,46.9,18.3,0.4,18.7,-0.9,-14,7.6,-30.3,-10.1,55.5,-4.9,-7.7,0,0,-72.8,-85.4,0,-2,-2,11,11,-17.6,-1.9,-10.5,-41.5,3,-17.6
2010-03-31,38.00000,18.20000,8.30000,26.50000,-22.70000,-22.20000,6.60000,-17.60000,-54.10000,10.40000,-5.60000,,,,-65.20000,-70.80000,-150.00000,1.00000,-149.00000,2.00000,2.00000,-17.40000,-1.80000,-166.20000,-227.10000,3.00000,-17.40000
2009-12-31,38.1,19.2,-9.1,10.1,-16.3,9.9,8.3,12,48.5,96.7,-15.1,0,0,0,-70,-85.1,0,-2.4,-2.4,0.4,0.4,-17.2,-2.2,-21.4,-9.6,-1.9,-17.2
2009-09-30,26.4,18.3,3.1,21.4,12.2,26,3.6,-34.5,32.3,80.1,-14.5,-8.1,0,0,-103.7,-126.3,248.2,-0.1,248.1,0.7,0.7,-17.4,-1.9,229.5,184.6,3.1,-17.4
2009-06-30,42,19,-0.3,18.7,29.1,55.1,-14.8,11,94.9,155.6,-19.6,0,0,0,0.3,-19.3,0,1.9,1.9,3.3,3.3,-17,-3.2,-15,123.7,-4.2,-17
2009-03-31,37.20000,18.10000,14.70000,32.80000,27.40000,7.40000,-4.20000,-8.20000,-55.30000,14.70000,-13.90000,,,,2.90000,-11.00000,297.70000,2.30000,300.00000,0.10000,0.10000,-17.40000,-0.20000,282.50000,284.90000,,-17.40000
