,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,977,515,125,640,-400,-389,59,-548,1069,-939,0,0,0,-120,-1059,-73,-73,19,19,-429,39,-444,-434,20,-429
2022-09-30,560,508,-41,467,142,-144,28,-269,758,-932,0,0,0,81,-851,-380,-380,-162,-162,-326,40,-828,-921,13,-326
2022-06-30,1038,507,-24,483,536,-87,-118,100,1621,-787,0,0,0,-29,-816,1503,1503,-639,-639,-527,15,352,1157,13,-527
2022-03-31,1904.00000,489.00000,109.00000,598.00000,-222.00000,47.00000,19.00000,-811.00000,1691.00000,-703.00000,,,,-11.00000,-714.00000,170.00000,170.00000,-440.00000,-440.00000,-424.00000,-9.00000,-703.00000,274.00000,49.00000,-424.00000
2021-12-31,1358,568,-34,534,-254,-308,-24,388,2280,-524,0,0,0,-209,-733,-221,-221,-467,-467,-507,43,-1152,395,19,-507
2021-09-30,1723,528,-466,62,61,-11,-65,180,1965,-557,0,0,0,159,-398,-20,-20,5,5,-203,1,-217,1350,23,-203
2021-06-30,1331,483,58,541,82,-74,-18,523,2395,-422,-33,0,0,-10,-465,-117,-117,78,78,-204,47,-196,1734,15,-204
2021-03-31,953.00000,419.00000,39.00000,458.00000,-361.00000,-225.00000,6.00000,-336.00000,1075.00000,-365.00000,,,,-3.00000,-368.00000,98.00000,98.00000,106.00000,106.00000,,21.00000,225.00000,932.00000,41.00000,
2020-12-31,858,435,-312,123,0,-17,-10,346,1327,316,0,0,0,-147,169,-324,-324,48,48,0,28,-248,1248,39,0
2020-09-30,432,394,233,627,49,-109,-13,178,1237,-552,0,0,0,145,-407,73,73,2,2,0,21,96,926,17,0
2020-06-30,124,358,-13,345,-122,14,85,22,491,-477,0,0,0,-3,-480,-178,-178,0,0,0,29,-149,-138,16,0
2020-03-31,-549.00000,341.00000,51.00000,392.00000,205.00000,154.00000,-89.00000,119.00000,-38.00000,-544.00000,,,,-2.00000,-546.00000,236.00000,236.00000,1.00000,1.00000,-73.00000,9.00000,173.00000,-411.00000,27.00000,-73.00000
2019-12-31,43,391,-339,52,-91,35,45,75,170,-276,0,0,0,-2,-278,-82,-82,2,2,-76,30,-126,-234,11,-76
2019-09-30,-234,322,110,432,-46,-30,41,26,224,-658,0,0,0,0,-658,-1,-1,0,0,-72,13,-60,-494,12,-72
2019-06-30,-74,352,-28,324,237,62,-68,304,554,-619,0,0,0,-2,-621,7,7,0,0,-143,97,-39,-106,11,-143
2019-03-31,76.00000,347.00000,167.00000,514.00000,19.00000,192.00000,42.00000,-56.00000,534.00000,-538.00000,,,,-8.00000,-546.00000,-1242.00000,-1242.00000,,,-82.00000,-7.00000,-1331.00000,-1343.00000,29.00000,-82.00000
2018-12-31,378,403,-341,62,328,-211,-12,-502,-62,-133,-3500,0,0,-4,-3546,-150,-150,3500,3500,168,-278,3240,-368,6,168
2018-09-30,664,458,66,524,12,142,4,59,1247,-560,0,0,0,63,-502,10,10,0,0,-313,240,-63,682,10,-313
2018-06-30,1035,442,24,466,173,-326,22,-192,1309,-419,0,0,0,-63,-478,-434,-434,0,0,-73,-182,-689,142,11,-73
2018-03-31,817.00000,451.00000,122.00000,573.00000,136.00000,-142.00000,-42.00000,-21.00000,1369.00000,-402.00000,,,,,-492.00000,-1511.00000,-1511.00000,,,,-77.00000,-1588.00000,-711.00000,49.00000,
2017-12-31,1209,457,-420,37,7,145,-11,408,1654,-458,0,0,0,89,-367,-1661,-1661,0,0,-107,0,-1768,-436,13,-107
2017-09-30,245,418,474,892,-169,-213,-15,46,1183,-246,0,0,0,0,-251,-552,-552,0,0,-28,-3,-583,297,14,-28
2017-06-30,335,450,98,548,-34,34,11,154,1037,-362,0,0,0,0,-342,14,14,0,0,-40,1,-25,669,10,-40
2017-03-31,306.00000,389.00000,-92.00000,297.00000,623.00000,-135.00000,-13.00000,189.00000,792.00000,-344.00000,,,,,-361.00000,-658.00000,-658.00000,,,-1.00000,-20.00000,-679.00000,-240.00000,34.00000,-1.00000
2016-12-31,200,593,746,1339,-432,-134,157,-396,1143,-914,5932,0,0,-571,4447,-2868,-2868,1073,1073,-607,-16,-2418,3170,86,-607
2016-09-30,286,643,-65,578,-2,160,-67,116,980,-374,0,0,0,15,-359,-238,-238,410,410,-48,1,125,756,-42,-48
2016-06-30,-410,652,400,1052,166,30,15,232,874,-543,0,0,0,988,445,-1192,-1192,0,0,-22,-6,-1220,99,12,-22
2016-03-31,-4101.00000,722.00000,3984.00000,4706.00000,93.00000,61.00000,-68.00000,135.00000,740.00000,-982.00000,,,,2.00000,-980.00000,354.00000,354.00000,32.00000,32.00000,-22.00000,-17.00000,347.00000,54.00000,30.00000,-22.00000
2015-12-31,-4094,780,3861,4641,-177,296,110,65,612,-1449,0,0,0,144,-1305,-264,-264,937,937,-89,-5,579,-37,85,-89
2015-09-30,-3790,888,3088,3976,497,179,-12,636,822,-1526,0,0,0,-23,-1549,-203,-203,999,999,-256,59,599,-85,0,-256
2015-06-30,-1799,890,2186,3076,177,-261,41,-208,1069,-1511,0,0,0,-141,-1652,591,591,0,0,-53,-38,500,-84,0,-53
2015-03-31,-2406.00000,939.00000,2270.00000,3209.00000,316.00000,165.00000,-42.00000,-86.00000,717.00000,-1867.00000,,,,127.00000,-1740.00000,1471.00000,1471.00000,,,-327.00000,-36.00000,1108.00000,85.00000,,-327.00000
2014-12-31,-2735,939,3023,3962,15,18,-150,-109,1118,-1800,1643,0,0,0,-157,-746,-746,0,0,-750,341,-1155,-239,106,-750
2014-09-30,704,945,199,1144,443,-37,-61,78,1926,-1853,-534,0,0,584,-1803,-487,-487,0,0,-76,-360,-923,-800,0,-76
2014-06-30,660,1013,-54,959,-422,36,114,-233,1386,-1950,2084,0,0,-370,-236,-525,-525,0,0,-500,-9,-1034,116,0,-500
2014-03-31,626.00000,966.00000,153.00000,1119.00000,179.00000,-266.00000,-79.00000,-544.00000,1201.00000,-1612.00000,,,,7.00000,-1605.00000,162.00000,162.00000,,,-403.00000,2.00000,-239.00000,-643.00000,,-403.00000
2013-12-31,959,1019,377,1396,-2,-222,-207,41,2396,-1663,0,0,0,-157,-1820,-388,-388,0,-1,-580,159,-810,-234,173,-580
2013-09-30,1048,919,280,1199,-299,94,29,-369,1878,-1645,-27,264,264,-24,-1432,-67,-67,0,-25,-1272,-157,-1521,-1075,-65,-1272
2013-06-30,610,530,-412,118,463,33,51,306,1034,-1173,-5093,-264,-264,-14,-6544,-96,-96,0,-202,-388,-105,-791,-6301,24,-388
2013-03-31,824.00000,329.00000,270.00000,599.00000,-113.00000,-193.00000,-84.00000,-592.00000,831.00000,-805.00000,-321.00000,,,14.00000,-1112.00000,6576.00000,6576.00000,,,-297.00000,-108.00000,6171.00000,5890.00000,41.00000,-297.00000
2012-12-31,945,323,-27,296,238,-148,-141,24,1265,-976,0,0,0,50,-926,-1,-1,0,0,-410,50,-361,-22,23,-410
2012-09-30,1140,298,-97,201,-421,-421,-72,-815,526,-998,0,0,0,12,-986,-1,-1,0,0,-259,-61,-321,-781,23,-259
2012-06-30,894,291,43,334,300,149,-104,-46,1182,-813,0,0,0,-24,-837,0,0,0,0,-334,1,-333,12,22,-334
2012-03-31,1001.00000,267.00000,359.00000,626.00000,-482.00000,-309.00000,-5.00000,-826.00000,801.00000,-707.00000,,,,-7.00000,-714.00000,-155.00000,-155.00000,,,-239.00000,-19.00000,-413.00000,-326.00000,32.00000,-239.00000
2011-12-31,866,266,76,342,212,-253,56,-462,746,-785,0,0,0,-25,-810,1,1,0,0,-278,35,-242,-306,25,-278
2011-09-30,1294,257,245,502,457,-94,-195,39,1835,-717,0,0,0,5,-712,-1,-1,0,0,-392,20,-373,750,23,-392
2011-06-30,1726,267,219,486,66,-93,-18,-532,1680,-527,0,0,0,19,-508,-1261,-1261,0,0,-773,1150,-884,288,26,-773
2011-03-31,1861.00000,232.00000,204.00000,436.00000,511.00000,-253.00000,-70.00000,62.00000,2359.00000,-505.00000,,,,,-505.00000,-4.00000,-4.00000,,,-371.00000,-1127.00000,-1502.00000,352.00000,43.00000,-371.00000
2010-12-31,1964,248,148,396,-289,-404,-11,-305,2055,-535,0,-500,-500,23,-1012,-28,-28,84,84,-1429,348,-1025,18,28,-1429
2010-09-30,1533,268,270,538,-893,-150,-103,-735,1336,-350,0,0,0,12,-338,-6,-6,-3,-3,-142,-169,-320,678,18,-142
