,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1903.4,-1407.5,1845.5,438,0,0,0,-140,-140,2201.4,-551.2,-374,0,0,-146.1,-1071.3,-1172.7,1186.9,14.2,-371,-371,-1111.5,-48.7,-1517,-244.5,-130.9,-1111.5
2022-09-30,1981.6,465.6,-203.6,262,0,0,0,190.3,190.3,2433.9,-520.1,-119.2,0,0,-93.8,-733.1,1499.5999,-305.4,1194.1999,-806.8,-806.8,-1014.7,80.9,-546.4,955.8,38.3,-1014.7
2022-06-30,1188,462.2,136.2,598.4,0,0,0,-1168.3,-1168.3,618.1,-431.6,241.2,0,0,-128.8,-319.2,1023.7001,310.1,1333.8001,-984,-984,-1016.9,-19.6,-686.7,-463.2,38.3,-1016.9
2022-03-31,1104.40000,479.70000,75.80000,555.50000,,,,473.40000,473.40000,2133.30000,-396.30000,-70.20000,,,-88.00000,-554.50000,-1350.60000,6.00000,-1344.60000,-1447.80000,-1447.80000,-1025.10000,-12.60000,-3830.10000,-2373.50000,54.30000,-1025.10000
2021-12-31,1638.8,481.6,-42.9,438.7,309.9,-62.2,225,134.8,589,2666.5,-678.9,-203.2,0,0,-240.6,-1122.7,653.8,7.5,661.3,-716.2,-716.2,-1029.1,-14,-1098,403.4,41.3,-1029.1
2021-09-30,2149.9,469.2,-175.3,293.9001,0,0,0,174,174,2617.8,-460.2,31.5,0,0,43.8,-384.9,-0.4,-0.3,-0.7,48.9,48.9,-963.9,-11.7,-927.4,1256.4,34.1,-963.9
2021-06-30,2219.3,463.4,-403.6,59.7999,0,0,0,-545.9,-545.9,1733.2,-458.8,2.8,0,0,42.5,-413.5,-401.2,1.4,-399.8,69.9,69.9,-963.3,-13.1,-1306.3,29.7,36.5,-963.3
2021-03-31,1537.20000,453.90000,-104.20000,349.70000,,,,237.10000,237.10000,2124.00000,-335.90000,-9.10000,,,100.40000,-244.60000,-1337.80000,6.50000,-1331.30000,37.60000,37.60000,-962.30000,-7.90000,-2263.90000,-429.40000,27.30000,-962.30000
2020-12-31,1377.2,464.3,-239.4,224.9,-6.8,-68.6,-137.5,602.8,390.7,1992.8,-453.5,24.7,0,0,65.9,-362.9,-997.6,-7.4,-1005,31,31,-961.6,0,-1935.6,-234.7,28.4,-961.6
2020-09-30,1762.6,440.1,-87.5,352.6,0,0,0,824.3,824.3,2939.5,-390,1.3,0,0,120.8,-267.9,-448.7,-993.4,-1442.1,104.6,104.6,-930.9,-0.1,-2268.5,428.1,7.3,-930.9
2020-06-30,483.8,425.7,107.9,533.6,0,0,0,-1230.5,-1230.5,-213.1,-303.2,-21.9,0,0,-71.5,-396.6,-699.1,-4.1,-703.2,55.4,55.4,-929.7,-0.4,-1577.9,-2124.1,30.8,-929.7
2020-03-31,1106.90000,421.30000,214.40000,635.70000,,,,-196.60000,-196.60000,1546.00000,-466.70000,6.10000,,,-57.80000,-518.40000,5276.70000,111.80000,5388.50000,-803.30000,-803.30000,-930.70000,-121.50000,3533.00000,4481.30000,25.90000,-930.70000
2019-12-31,1572.2,413.6,-102.8,310.8,27,128.8,-26.8,-292.2,6.3,1889.3,-693,-15.2,0,0,-98.8,-807,6.4,904.8,911.2,-1417.8,-1417.8,-935.2,0,-1441.8,-278.8,19.5,-935.2
2019-09-30,1607.9,413.4,43.9,457.3,0,0,0,221.5,221.5,2286.7,-527.6,8.4,0,0,-73.6,-592.8,1307.1,-600.7,706.4,-1394.4,-1394.4,-876.9,-12.7,-1577.6,42.8,29.6,-876.9
2019-06-30,1516.9,398.3,101.8,500.1,0,0,0,-91.5,-91.5,1925.5,-528.9,-316.2,0,0,-54.9,-900,-974.7,589.1,-385.6,-928,-928,-883,0.5,-2196.1,-1154.6,28.9,-883
2019-03-31,1328.40000,392.60000,137.40000,530.00000,,,,162.20000,162.20000,2020.60000,-493.00000,122.90000,,,-401.20000,-771.30000,2098.30000,-94.00000,2004.30000,-885.50000,-885.50000,-886.80000,-11.30000,220.70000,1423.10000,31.60000,-886.80000
2018-12-31,1415.3,379,17,396,-479.4,-1.9,129.4,173,-299.7,1511.6,-849.2,65.2,0,0,-99.9,-883.9,-752.5,101.6,-650.9,-759.9,-759.9,-892.5,-7.9,-2311.2,-1708.5,25.4,-892.5
2018-09-30,1637.3,375.1,14.4,389.5,0,0,0,444.3,444.3,2471.1,-692.5,69.3,0,0,-98.1,-721.3,1790,-801.4,988.6,-971.5,-971.5,-779.8,-5.3,-768,951,36,-779.8
2018-06-30,1496.3,365,-12.4,352.6,0,0,0,-510.1,-510.1,1338.8,-558.5,131.6,0,0,-63.9,-490.8,499.3,239.7,739,-1515.5,-1515.5,-786.1,-1.6,-1564.2,-844.5,23.9,-786.1
2018-03-31,1375.40000,362.90000,14.10000,377.00000,,,,-107.20000,-107.20000,1645.20000,-481.10000,163.00000,,,-41.00000,-359.10000,498.10000,556.00000,1054.10000,-1557.60000,-1557.60000,-797.50000,-5.20000,-1306.20000,4.20000,39.80000,-797.50000
2017-12-31,698.7,342.8,649.8999,992.7,-340.7,-37.3,-59.7,398.4,-582.1,1109.3,-626.9,84.9,0,0,-62,-604,954.7,-216,738.7,-664.6,-664.6,-801.8,-19.4,-747.1,-207.4,34,-801.8
2017-09-30,1883.7,355.8,-679.7,-323.9,0,0,0,124.7,124.7,1684.5,-357.7,1578.1,0,0,-45.7,1174.7,-3.2,-55.8,-59,-1999.2,-1999.2,-755.3,3.5,-2810,278.8,39.5,-755.3
2017-06-30,1395.1,339.5,9.9,349.4,0,0,0,-531.1,-531.1,1213.4,-339.9,289.1,0,0,-96,-146.8,535.7,-9.3,526.4,-933.3,-933.3,-761.5,1.9,-1166.5,-19.8,21.3,-761.5
2017-03-31,1214.80000,325.30000,-4.10000,321.20000,,,,8.00000,8.00000,1544.00000,-362.40000,542.70000,,,-42.20000,138.10000,1590.90000,-769.20000,821.70000,-631.80000,-631.80000,-770.60000,-6.50000,-587.20000,1188.80000,22.70000,-770.60000
2016-12-31,1193.4,378.9,-226.9,152,-159,28.1,89.8,-697.5,-530.5,814.9,-643.8,500,0,0,-27.1,-170.9,403.5,456.7,860.2,-1459.3,-1459.3,-773,0.9,-1371.2,-1043.3,29.2,-773
2016-09-30,1275.4,370.6,-178.8,191.8,0,0,0,783.9,783.9,2251.1,-388.5,87.1,0,0,-49.7,-351.1,-5.1,-80,-85.1,-1933.7,-1933.7,-745.1,-11.8,-2775.7,-861.3,34.3,-745.1
2016-06-30,1092.9,383.3,75.7,459,0,0,0,-303.5,-303.5,1248.4,-327.2,144.4,0,0,-20.9,-203.7,2771,146.7,2917.7,-3298.2,-3298.2,-759.3,3,-1136.8,-182.1,27.3,-759.3
2016-03-31,1124.80000,383.70000,19.60000,403.30000,,,,217.10000,217.10000,1745.20000,-378.70000,134.60000,,,-11.80000,-255.90000,-212.80000,-809.60000,-1022.40000,-4180.40000,-4180.40000,-780.80000,4.90000,-5978.70000,-4375.40000,40.50000,-780.80000
2015-12-31,1206.2,389.7,-95,294.7,-180.6,44.9,-15,-290.1,-122.2,1378.7,-379.6,63.7,0,0,10.1,-305.8,5989.2,458.3,6447.5,-1398.8,-1398.8,-813.9,-15.2,4219.6,5233,33.3,-813.9
2015-09-30,1309.2,387.7,56.1,443.8,0,0,0,194.4,194.4,1947.4,-412.7,38.2,0,0,-44,-418.5,-4.8,170.2,165.4,-2356.6,-2356.6,-789.1,1.7,-2978.6,-1546,29,-789.1
2015-06-30,1202.4,392.2,49.7,441.9,0,0,0,-130.8,-130.8,1513.5,-415.9,51,0,0,18.4,-346.5,3725.9,-293.8,3432.1,-1518.8,-1518.8,-811,-14.7,1087.6,2363.7,27.7,-811
2015-03-31,811.50000,386.10000,275.40000,661.50000,,,,226.50000,226.50000,1699.50000,-392.60000,47.60000,,,-4.20000,-349.20000,-544.80000,255.00000,-289.80000,-507.80000,-507.80000,-816.30000,20.60000,-1593.30000,-443.10000,20.00000,-816.30000
