,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,484.921,157.415,164.976,322.3909,172.939,102.884,-322.616,279.93,233.137,1040.449,-316.016,0,58.65,-275.38,749.393,-901.277,-151.884,32.442,32.442,-418.18,-29.435,-567.057,198.012,0,-418.18
2022-09-30,431.751,157.102,117.232,274.3341,79.516,-0.143,-272.195,102.659,-90.163,615.922,-326.731,0,-12.352,-321.069,-895.814,901.277,5.463,0,0,-418.093,4.218,-408.412,-113.559,0,-418.093
2022-06-30,414.378,157.757,137.52,295.277,-96.228,-118.102,183.623,9.271,77.718,787.373,-302.332,0,3.25,-299.082,120,-78,42,0,0,-417.892,8.765,-367.127,121.164,0,-417.892
2022-03-31,391.17100,153.85800,134.47900,288.33700,-243.50100,-46.78800,385.08200,-212.93600,-217.29700,462.21100,-256.97800,,13.27300,-243.70500,,78.00000,78.00000,,,-417.41700,-10.87000,-350.28700,-131.78100,,-417.41700
2021-12-31,379.373,153.118,163.5751,316.693,76.5,175.801,-133.647,240.39,359.044,1055.11,-206.525,0,35.848,-189.865,-536.107,0,-536.107,32.791,32.791,-417.227,-22.648,-943.191,-77.946,0,-417.227
2021-09-30,392.018,154.542,136.817,291.3591,-418.49,-109.185,392.378,-134.901,-270.198,413.179,-166.207,0,-3.843,-150.862,0,0,0,0,0,-417.121,4.764,-412.357,-150.04,0,-417.121
2021-06-30,342.139,156.921,137.838,294.7589,-183.329,-48.275,112.35,-77.85,-92.232,544.666,-147.388,0,-6.486,-153.874,-68.787,56.492,-12.295,0,0,-416.854,10.321,-418.828,-28.036,0,-416.854
2021-03-31,386.17600,157.12000,128.40800,285.52800,-85.21200,-123.37900,251.34400,-76.26800,-138.38700,533.31700,-176.73400,,6.04300,-170.69100,,-56.49200,-56.49200,,,-416.22900,-11.98800,-484.70900,-122.08300,,-416.22900
2020-12-31,308.029,-489.106,790.929,301.823,-112.926,167.967,118.552,12.495,186.088,795.94,-271.378,0,-17.28,-288.658,-23.742,0,-23.742,10.106,10.106,-415.791,-0.488,-429.915,77.367,0,-415.791
2020-09-30,312.316,153.2449,114.953,268.198,-108.929,-98.694,42.032,-48.213,-213.804,366.71,-380.042,0,-46.943,-426.985,-27.361,0,-27.361,5.23,5.23,-415.614,-0.583,-438.328,-498.603,0,-415.614
2020-06-30,134.321,140.416,51.595,192.0109,-113.812,-70.842,109.86,-6.759,-12.635,313.697,-594.282,0,4.188,-590.094,142.826,0,142.826,954.423,954.423,-387.294,-19.456,690.499,414.102,0,-387.294
2020-03-31,-141.85700,774.10710,-89.37900,684.72810,334.37000,173.88500,-350.70100,-208.78600,-120.15000,422.72100,-949.67900,,-15.11300,-964.79200,1695.83200,-220.00000,1475.83200,,,-386.66700,-36.42200,1052.74300,510.67200,,-386.66700
2019-12-31,320.251,125.983,98.411,224.3939,-119.938,-23.315,99.86,79.368,75.289,619.934,-1109.011,0,-11.873,-1120.884,-1.912,220,218.088,9.707,9.707,-378.249,-0.947,-151.401,-652.351,0,-378.249
