,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,1343.934,28.303,-6.059,22.2439,-258.015,1510.349,-424.463,1348.038,2714.216,-23.241,0,0,-373.416,-373.416,399.822,3.165,225.576,409.067,634.643,-120.627,-120.627,-108.321,141.364,547.059,3264.44,29.376,-108.321
2022-08-31,1472.694,18.049,276.107,294.156,-290.63,-779.812,-101.817,-1268.008,498.842,-16.668,0,0,-50.031,-50.031,0,-66.699,-826.055,404.06,-421.995,-13.139,-13.139,-108.749,109.661,-434.222,-2.079,38.2,-108.749
2022-05-31,1322.558,18.961,107.498,126.459,-254.255,-1200.724,-49.437,-1324.176,124.841,13.161,0,0,-57.937,-57.937,0,-44.776,-3.824,124.607,120.783,-324.243,-324.243,-110.846,182.076,-132.23,-52.165,35.053,-110.846
2022-02-28,509.31500,19.59900,476.06500,495.66400,380.50200,-1913.63400,359.46700,-1077.21000,-72.23100,-5.78000,,,-14.21200,-14.21200,,-19.99200,-18.77600,-528.66700,-547.44300,-581.30000,-581.30000,-110.12200,-19.02100,-1257.88600,-1350.10900,81.45700,-110.12200
2021-11-30,1193.65,19.591,105.8139,125.405,-421.058,292.206,-337.078,-98.628,1220.427,-20.556,0,0,-315.559,-315.559,362.197,26.082,-532.189,262.107,-270.082,-977.704,-977.704,-75.788,220.758,-1102.816,143.693,29.235,-75.788
2021-08-31,1409.218,19.563,-292.575,-273.012,13.372,-676.4,-208.242,-541.979,594.227,-10.713,0,0,-70.383,-70.383,0,-81.096,-707.91,535.734,-172.176,-278.864,-278.864,-77.662,44.616,-484.086,29.045,24.751,-77.662
2021-05-31,836.772,20.061,113.283,133.344,72.261,-714.3,3.403,-637.504,332.612,-15.793,3.327,0,55.746,55.746,0,43.28,-54.544,-34.885,-89.429,-104.164,-104.164,-78.483,83.931,-188.145,187.747,31.817,-78.483
2021-02-28,1016.90900,19.96400,-278.57400,-258.61000,45.64900,-862.12000,260.09600,-372.79100,385.50800,23.44100,,,-116.79300,-116.79300,,-93.35200,-46.44700,-500.84900,-547.29600,-69.48000,-69.48000,-77.84300,64.93100,-629.68800,-337.53200,48.81800,-77.84300
2020-11-30,890.909,19.639,19.392,39.031,-238.775,667.933,-165.965,364.035,1293.975,-29.058,0,0,-204.397,-204.397,220.717,-12.738,-429.743,-281.835,-711.578,-2.535,-2.535,-77.931,211.459,-580.585,700.652,23.332,-77.931
2020-08-31,669.323,19.514,96.891,116.405,272.401,272.567,101.843,800.313,1586.041,-13.756,5.882,0,-85.52,-85.52,-0.031,-93.425,-857.104,0,-857.104,-22.896,-22.896,-38.967,1.547,-917.42,575.196,28.658,-38.967
2020-05-31,516.098,17.154,43.544,60.698,-253.452,617.874,-13.971,351.0309,927.827,8.838,9.096,0,-205.148,-205.148,-0.007,-187.221,-659.786,455.602,-204.184,-0.105,-0.105,-38.905,84.428,-158.766,581.84,23.286,-38.905
2020-02-29,391.22300,13.47100,152.79200,166.26300,245.69400,-777.01200,345.24400,-174.50990,382.97600,-4.84200,,,16.34400,16.34400,1.67700,13.17900,-65.67300,-455.60200,-521.27500,-295.98800,-295.98800,-39.24000,66.69900,-789.80400,-393.64900,31.85500,-39.24000
