,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-4900,-385,-612,-997,-2480,-2480,-14231,0,-5592,-5592,32669,27077,-233,-13270,-13503,39,702,2273,-15065,-25593,-12747,2060
2022-09-30,1812,128,256,384,-951,-951,3505,0,3405,3405,-10966,-7561,3181,103,3284,0,0,-746,4046,6584,2528,-687
2022-06-30,1531,125,286,411,-678,-678,2249,0,2057,2057,-14209,-12152,-3983,3921,-62,0,0,-770,5556,4724,-5179,-686
2022-03-31,1557.00000,132.00000,70.00000,202.00000,4109.00000,4109.00000,8477.00000,,130.00000,130.00000,-7494.00000,-7364.00000,1035.00000,9246.00000,10281.00000,-39.00000,-702.00000,-757.00000,5463.00000,14285.00000,15398.00000,-687.00000
2021-12-31,1673,125,-114,11,-758,-758,703,-661,-26066,-26066,-14991,-41718,-3414,-4292,-7706,-13,1478,-770,13014,6016,-34999,-685
2021-09-30,2028,126,-268,-142,-683,-683,2647,0,9846,9846,-259,9587,-616,2675,2059,2,2,-684,5720,7097,19331,-626
2021-06-30,1982,124,-296,-172,2738,2738,5583,0,-2932,-2932,-2958,-5890,-1015,1315,300,-872,-1622,-720,3421,1379,1072,-631
2021-03-31,2280.00000,122.00000,-893.00000,-771.00000,-744.00000,-744.00000,937.00000,,-22596.00000,-22596.00000,3130.00000,-19466.00000,-3761.00000,332.00000,-3429.00000,-629.00000,-399.00000,-713.00000,3991.00000,-550.00000,-19079.00000,-637.00000
2020-12-31,1519,134,371,505,-1574,-1574,-1069,-556,-2945,-2945,9911,6410,-1169,-1957,-3126,-8,478,-713,16553,13192,18533,-635
2020-09-30,1580,133,588,721,153,153,3284,0,-6214,-6214,2359,-3855,-107,-6872,-6979,1,1,-707,-89,-7774,-8345,-635
2020-06-30,689,131,1630,1761,-3600,-3600,-853,0,-4039,-4039,8303,4264,-9814,-5749,-15563,1,1,-714,18452,2176,5587,-635
2020-03-31,1171.00000,129.00000,873.00000,1002.00000,847.00000,847.00000,2354.00000,,1416.00000,1416.00000,-23675.00000,-22259.00000,11115.00000,2621.00000,13736.00000,-1651.00000,-1651.00000,-718.00000,32938.00000,44305.00000,24400.00000,-647.00000
2019-12-31,1486,130,277,407,-1867,-1867,-62,0,1366,1366,-1555,-189,-963,9144,8181,-2256,-2256,-742,2201,7384,7133,-663
2019-09-30,1908,127,225,352,-251,-251,3046,0,-4990,-4990,-4509,-9499,133,-453,-320,-764,-764,-661,6538,4793,-1660,-589
2019-06-30,1821,125,256,381,-1173,-1173,609,0,-725,-725,-4603,-5328,267,-364,-97,-784,-784,-673,5090,3536,-1183,-594
