,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,414.934,226.538,144.698,371.236,736.351,-203.905,-228.587,0,0,0,0,-432.492,0,-11.225,-11.225,7.358,7.358,-399.916,-6.598,-410.381,-106.522,12.106,-399.916
2022-09-30,2778.152,220.772,-2136.815,-1916.043,927.017,-200.443,-297.94,0,2636.011,2636.011,10.676,2148.304,0,-501.798,-501.798,16.421,16.421,-2709.079,-10.574,-3205.03,-129.709,13.741,-2709.079
2022-06-30,656.893,218.708,-101.946,116.762,797.532,-192.682,-119.14,0,0,0,4.537,-307.285,0,-0.236,-0.236,3.419,3.419,-399.918,-19.871,-416.606,73.468,16.928,-399.918
2022-03-31,516.29500,222.12800,-49.37200,172.75600,656.24100,-176.25400,-112.27700,,,,,-288.53100,,-0.23600,-0.23600,8.07300,250.90500,-399.58400,-12.33800,-161.25300,206.63000,13.92800,-399.58400
2021-12-31,622.019,205.289,-85.509,119.78,728.835,-181.589,-2201.822,0,0,0,10.979,-2372.432,1738.744,-0.633,1738.111,14.448,86.592,-399.012,-5.347,1420.344,-223.061,12.168,-399.012
2021-09-30,491.628,188.552,-43.566,144.986,684.265,-144.806,-326.926,0,0,0,0.357,-471.375,817.631,-0.532,817.099,33.814,-152.213,-397.463,-2.537,264.886,477.916,14.975,-397.463
2021-06-30,411.73,172.728,26.175,198.903,621.293,-128.06,-2200.835,0,0,0,12.916,-2315.979,1986.294,-0.526,1985.768,42.895,429.233,-396.237,-2.882,2015.882,321.191,18.265,-396.237
2021-03-31,434.26200,146.85900,-44.36000,102.49900,509.16200,-97.76400,-317.52300,,,,11.56200,-403.72500,496.23500,-0.52700,495.70800,4.70300,-295.29700,-396.17600,-7.20600,-202.97100,-97.35600,14.40700,-396.17600
2020-12-31,352.432,141.406,59.12,200.526,512.562,-93.966,-509.849,0,0,0,14.252,-589.563,0,-0.515,-0.515,7.159,441.6241,-398.108,-1.874,41.127,-36.108,11.828,-398.108
2020-09-30,325.847,138.333,44.861,183.194,528.266,-76.88,-29.086,0,0,0,2.649,-103.317,0,-0.505,-0.505,1.819,-993.61,-403.728,-1.179,-1399.022,-974.237,8.734,-403.728
2020-06-30,315.812,137.618,30.353,167.971,539.124,-83.445,-67.148,0,0,0,15.663,-134.93,0,-0.503,-0.503,1.923,551.093,-402.786,-1.122,146.682,550.817,7.124,-402.786
2020-03-31,367.13600,135.90000,-12.91000,122.99000,462.95000,-105.12000,-186.18300,,,,1.39900,-289.90400,545.15100,-0.49700,544.65400,1.76300,1.76300,-401.80700,-9.11300,135.49700,308.57400,5.67700,-401.80700
2019-12-31,387.097,134.885,22.007,156.892,499.989,-117.188,-121.115,0,0,0,11.63,-226.673,0,-0.488,-0.488,0.555,-1.86,-401.368,-0.634,-404.35,-131.138,6.345,-401.368
2019-09-30,399.42,129.233,-12.068,117.165,552.46,-137.41,-120.458,0,0,0,0.324,-257.544,0,-0.484,-0.484,15.619,322.967,-399.773,-36.81,-114.1,180.861,7.114,-399.773
2019-06-30,371.456,126.859,14.8,141.659,545.353,-107.393,-116.686,0,0,0,0.438,-223.641,496.9,-0.481,496.419,15.797,-271.703,-403.118,-0.878,-179.28,142.428,5.71,-403.118
2019-03-31,367.67800,121.94100,-3.36400,118.57700,469.83200,-109.99400,-79.49900,,,,,-189.49300,,-0.46700,-0.46700,1.59300,-6.68400,-404.49000,-11.36400,-423.00500,-142.61600,6.66400,-404.49000
2018-12-31,587.906,121.374,-172.51,-51.136,492.164,-138.744,-73.245,0,-91.927,-91.927,142.721,-161.195,0,-0.455,-0.455,4.582,4.582,-403.281,-2.88,-402.034,-71.093,18.1,-403.281
2018-09-30,379.589,124.516,65.858,190.374,592.21,-118.224,-73.845,0,91.927,91.927,1.443,-98.699,0,-0.447,-0.447,6.244,6.244,-403.246,-2.224,-399.673,93.682,18.605,-403.246
2018-06-30,405.292,119.777,-34.015,85.762,520.753,-125.221,-15.906,0,0,0,0,-141.127,0,-0.442,-0.442,0.732,0.732,-403.061,-1.464,-404.235,-24.571,17.253,-403.061
2018-03-31,344.43600,117.97900,9.22600,127.20500,458.51900,-98.82300,-18.02400,,,,1.94700,-114.90000,,-0.44000,-0.44000,0.96700,0.96700,-403.09200,-11.08100,-413.64600,-70.05200,15.97800,-403.09200
2017-12-31,390.963,120.1,12.632,132.732,470.37,-132.609,-203.603,0,0,0,0.507,-335.705,992.077,-992.563,-0.486,7.746,7.746,-402.75,-2.117,-397.607,-262.903,12.043,-402.75
2017-09-30,358.274,113.32,25.219,138.539,537.192,-108.64,-47.269,0,0,0,0,-155.909,0,991.703,991.703,2.852,-629.528,-409.61,-1.954,-49.389,331.833,12.343,-409.61
2017-06-30,355.207,110.177,21.935,132.112,506.244,-121.302,-11.623,0,0,0,5.596,-127.329,0,-0.421,-0.421,13.868,284.925,-409.653,-16.286,-141.435,237.359,4.265,-409.653
2017-03-31,344.02100,110.92900,7.76600,118.69500,459.08300,-95.33700,-22.78400,,,,,-118.12100,,-0.42000,-0.42000,18.03400,18.03400,-408.33400,-13.06800,-403.78800,-62.80900,8.89700,-408.33400
2016-12-31,415.681,111.741,-16.111,95.63,465.296,-98.907,-159.526,0,0,0,14.881,-243.552,0,-16.464,-16.464,11.35,349.425,-406.995,-3.438,-77.472,144.09,10.638,-406.995
2016-09-30,369.05,109.432,9.678,119.11,515.326,-79.21,-71.995,0,0,0,-16.559,-167.764,0,-9.403,-9.403,3.466,-169.584,-369.718,-1.838,-550.543,-202.911,11.376,-369.718
2016-06-30,358.359,107.013,38.381,145.394,523.734,-93.742,-99.499,0,67.42,67.42,0.704,-125.117,0,108.98,108.98,1.058,-180.381,-371.71,-1.434,-444.545,-45.581,8.404,-371.71
2016-03-31,317.34900,105.12800,14.91700,120.04500,440.98000,-79.49200,-85.15800,,,,1.97200,-162.67800,,-5.95200,-5.95200,9.66700,299.78400,-357.33500,-12.76300,-76.26600,201.42000,7.06500,-357.33500
2015-12-31,365.259,106.307,27.239,133.546,436.465,-81.606,-72.161,0,0,0,-16.282,-170.049,16.741,247.018,263.759,3.749,-121.251,-353.705,-3.242,-214.439,52.587,32.57,-353.705
2015-09-30,341.136,106.082,-3.257,102.825,472.189,-82.316,-17.132,0,-13.929,-13.929,15.265,-98.112,-27.741,16.282,-11.459,29.017,29.017,-355.693,-20.5,-358.635,15.412,0,-355.693
2015-06-30,328.04,106.473,-15.972,90.501,457.133,-59.057,-55.492,0,13.929,13.929,6.793,-93.827,11,-10.745,0.255,6.489,-138.511,-355.77,-1.369,-495.395,-132.541,0,-355.77
2015-03-31,283.25400,107.14600,-9.49100,97.65500,382.49200,-71.09300,-32.29100,,,,9.23700,-94.14700,,-5.53700,-5.53700,-9.59200,-9.59200,-305.86300,-1.82200,-322.81400,-34.91500,,-305.86300
2014-12-31,348.426,110.573,32.596,143.169,450.393,-80.796,-124.317,0,0,0,-3,-208.113,0,-22.412,-22.412,1.962,185.81,-303.875,-13.419,-153.896,89.46,29.541,-303.875
2014-09-30,294.977,111.077,-3.147,107.93,427.103,-60.335,-237.906,0,0,0,206.302,-91.939,-322,-3.226,-325.226,5.419,560.525,-302.747,-556.926,-624.374,-289.731,0,-302.747
2014-06-30,278.279,106.443,-0.769,105.674,395.337,-42.747,-30.741,0,0,0,2.14,-71.348,-50,-18.058,-68.058,5.082,-222.415,-299.697,553.485,-36.685,286.871,0,-299.697
2014-03-31,228.27300,109.02100,0.62000,109.64100,330.70900,-38.65300,,,,,211.72200,173.06900,-378.10000,-0.71000,-378.81000,25.40900,252.90600,-294.22600,-1.77900,-421.90900,81.94300,,-294.22600
2013-12-31,297.977,108.927,-18.393,90.534,390.676,-25.447,-728.811,0,-105.04,-105.04,-6.433,-865.731,617.1,116.041,733.141,5.111,706.798,-293.161,-709.545,437.233,-37.796,0,-293.161
