,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-100.6,147.1,79.6,226.7001,109,-792.4,-991.4,2376.1,525,651.1,-128.7,15.4,12.2,0,12.2,-23.5,-124.6,-992.6,-466.1001,-1458.7001,11.4,11.4,-125.8,973,-600.1,-9.7,90.7,-120
2022-09-30,36.6,138,-403.4,-265.3999,0,0,0,-196.8,-196.8,-425.6,-89.7,4105.4,-12.2,9.3,-2.9,2.1,4014.9,0,-3263.4,-3263.4,-1.2,-1.2,-115.5,-24.5,-3404.6,106.5,0,-115.5
2022-06-30,78.7,143.4,177.2,320.5999,0,0,0,-843.2,-843.2,-443.9,-139.5,-9.1,0.1,-9.3,-9.2,3.5,-154.3,-2.2,746.6,744.4,4.8,4.8,-114,-27,608.2,-12.4,0,-114
2022-03-31,155.60000,143.70000,19.80000,163.50000,,,,-1560.20000,-1560.20000,-1241.10000,-130.80000,-36.50000,-0.10000,,-0.10000,4.00000,-163.40000,994.80000,2844.80000,3839.60000,-2299.30000,-2299.30000,-116.30000,1.40000,1425.40000,25.70000,,-116.30000
2021-12-31,279.2,146.5,-125.5,20.9999,-280.6,-1970.4,758.3,1120.4,71.7,371.9,-195.3,-2024.4,14.5,0,14.5,-18.9,-2224.1,-1.5,2073.9,2072.4,9.1,9.1,-127.1,-95.2,1859.2,-8.6,118.3,-127.1
2021-09-30,379.5,144.2,24.8,169,0,0,0,-543.9,-543.9,4.6,-127.4,-12.6,-14.5,11,-3.5,0.5,-143,0,149.6,149.6,4.9,4.9,-126,-20.7,7.8,-146.1,0,-126
2021-06-30,432.5,142.4,24.2,166.6,0,0,0,-154.7,-154.7,444.4,-101,-1.3,7,-11,-4,-2.5,-108.8,0,1.8,1.8,33.9,-716.1,-121.1,-17.9,-853.3,-509.2,0,-111.6
2021-03-31,459.60000,144.00000,26.40000,170.40000,,,,-787.80000,-787.80000,-157.80000,-87.00000,-0.20000,-7.00000,,-7.00000,-53.70000,-147.90000,,-0.70000,-0.70000,49.20000,49.20000,-119.50000,-24.00000,-95.00000,-439.60000,,-110.10000
2020-12-31,387.8,147,127.5,274.5,-39.6,-401.5,310.4,508.6,759.6,1421.9,-118.7,35.3,14.6,0,14.6,-24,-92.8,-2636.9,-0.8,-2637.7,38.2,38.2,-120.2,2062.1,-657.6,702.2,109.1,-110.8
2020-09-30,395.2,145.3,-4,141.3,0,0,0,140.7,140.7,677.2,-62.1,1.4,-14.6,13.6,-1,-2.1,-63.8,0,-712.9,-712.9,-709.4,40.6,-119,-18.9,-810.2,-180.5,0,-109.6
2020-06-30,238.7,144.7,-10.3,134.4,0,0,0,-44.9,-44.9,328.2,-64.5,0.4,6.5,-13.6,-7.1,14.4,-56.8,-3.8,-980.8,-984.6,756.4,756.4,-105.8,-57.5,-391.5,-121.7,0,-105.8
2020-03-31,133.10000,141.10000,0.20000,141.30000,,,,-679.60000,-679.60000,-405.20000,-82.90000,-1302.40000,-6.50000,,-6.50000,28.10000,-1363.70000,1486.40000,1351.90000,2838.30000,35.60000,35.60000,-105.60000,-293.10000,2475.20000,683.70000,,-105.60000
2019-12-31,197.5,139.8,129.6,269.3999,137.8,137.7,-169.1,546.4,776.4,1243.3,-41.1,-3.3,-2,0,-2,-22.3,-68.7,-750,-1136,-1886,84.3,819.3,-104.4,-32.3,-1203.4,-9.8,88.8,-104.4
2019-09-30,231.1,140.9,4.4,145.3,0,0,0,-183.7,-183.7,192.7,-96.7,-6.2,-258.6,253.7,-4.9,7.4,-100.4,0,28.6,28.6,18.8,18.8,-102.3,-12.5,-67.4,-0.5,0,-102.3
2019-06-30,357.4,141.7,-22.5,119.2,0,0,0,24.4,24.4,501,-97.2,76.9,0,-8.3,-8.3,-3.6,-32.2,-0.7,-330.6,-331.3,13.3,13.3,-97.7,-14.2,-429.9,39.1,0,-97.7
2019-03-31,170.40000,137.80000,-0.30000,137.50000,,,,-739.20000,-739.20000,-431.30000,-89.60000,-676.20000,,-245.40000,-245.40000,3.90000,-1007.30000,96.90000,1419.90000,1516.80000,2.10000,2.10000,-97.60000,-13.10000,1408.20000,-25.60000,,-97.60000
2018-12-31,-106,125.5,315.3,440.8,-48.8,-401.6,211,1055.3,886,1220.8,-119.5,-2.7,-21.7,16.1,-5.6,-13.1,-140.9,12.5,-1011.9,-999.4,-6.9,-6.9,-98.4,-32.7,-1137.4,-57.3,76.5,-98.4
2018-09-30,248.3,129.7,0,129.7,0,0,0,-186.5,-186.5,191.5,-109.4,-16.2,0,-5.8,-5.8,-3,-134.4,0,309.5,309.5,-291.6,-291.6,-97.4,-18.1,-97.6,-34.7,0,-97.4
2018-06-30,293.4,127.7,0.8,128.5,0,0,0,-223.9,-223.9,198,-111.7,-507.5,0,-6.3,-6.3,38,-587.5,0,753.6,753.6,-191.8,-191.8,-94.2,-10.1,457.5,-19.8,0,-94.2
2018-03-31,170.10000,123.60000,,123.60000,,,,-643.10000,-643.10000,-349.40000,-106.30000,-1.20000,,-4.00000,-4.00000,-14.80000,-126.30000,,382.00000,382.00000,1.70000,1.70000,-94.90000,-72.90000,215.90000,-231.90000,,-94.90000
2017-12-31,281.1,165.9,17.4,183.3,-905.6,-303,240.4,1095.7,250.8,715.2,-142.3,10.2,-17.9,0,-17.9,257.8,107.8,-2.8,-575.9,-578.7,30.8,29.3,-95,-6.3,-650.7,171.8,78.7,-95
