,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,227,361,-23,338,-333,427,29,-5,560,-171,-303,-1,-6,-7,4,-477,-548,425,-123,-136,-136,0,66,-193,-58,58,0
2022-09-30,283,252,50,302,55,0,223,278,863,-165,-548,-1,-14,-15,11,-717,-39,0,-39,-210,-210,0,-2,-251,-154,61,0
2022-06-30,256,273,46,319,-197,0,-49,-246,329,-161,-34,0,6,6,-10,-199,1227,-750,477,-423,-423,0,-83,-29,41,45,0
2022-03-31,325.00000,259.00000,35.00000,294.00000,54.00000,,-165.00000,-111.00000,508.00000,-177.00000,-430.00000,-3.00000,-6.00000,-9.00000,3.00000,-613.00000,-24.00000,650.00000,626.00000,-470.00000,-470.00000,,-12.00000,144.00000,21.00000,30.00000,
2021-12-31,318,265,-21,244,-801,244,689,130,692,-184,-464,-1,-2,-3,4,-647,-23,100,77,-263,-263,0,48,-138,-104,42,0
2021-09-30,261,340,8,348,182,0,53,235,844,-162,-929,-1,-7,-8,4,-1095,-74,110,36,-95,-95,0,-7,-66,-337,48,0
2021-06-30,175,348,31,379,139,0,-154,-15,539,-145,-46,-1,11,10,-4,-185,-36,0,-36,11,11,0,-838,-863,-498,48,0
2021-03-31,217.00000,328.00000,-8.00000,320.00000,342.00000,,-12.00000,330.00000,867.00000,-149.00000,-19.00000,-7.00000,-2.00000,-9.00000,1.00000,-176.00000,-7.00000,,-7.00000,-118.00000,-118.00000,,-43.00000,-168.00000,491.00000,32.00000,
2020-12-31,130,349,3,352,-73,253,171,268,750,-176,-59,-1,2,1,-2,-236,-72,-25,-97,-102,-102,0,1,-198,350,26,0
2020-09-30,108,324,-31,293,120,0,53,173,574,-157,-26,-1,-7,-8,0,-191,-36,0,-36,-43,-43,0,26,-53,355,33,0
2020-06-30,-21,313,-47,266,292,0,-65,227,472,-142,-78,0,2,2,-1,-219,60,-100,-40,40,40,0,-73,-73,182,36,0
